The Shawshank Redemption,"Here are my recommendations for The Shawshank Redemption:<br><a href='http://localhost:3000/movie/625c2b50f0a5bc6c426c06aa' target=""_blank"">Fight Club</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075c' target=""_blank"">American Beauty</a><br><a href='http://localhost:3000/movie/625c2b6df0a5bc6c426c06e8' target=""_blank"">American History X</a><br><a href='http://localhost:3000/movie/625c2b59f0a5bc6c426c06ba' target=""_blank"">One Flew Over the Cuckoo's Nest</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075a' target=""_blank"">Requiem for a Dream</a><br>"
The Godfather,"Here are my recommendations for The Godfather:<br><a href='http://localhost:3000/movie/625c2b4ef0a5bc6c426c06a4' target=""_blank"">Pulp Fiction</a><br><a href='http://localhost:3000/movie/625c2b4cf0a5bc6c426c069e' target=""_blank"">The Godfather: Part II</a><br><a href='http://localhost:3000/movie/625c2b4df0a5bc6c426c06a0' target=""_blank"">12 Angry Men</a><br><a href='http://localhost:3000/movie/625c2bcbf0a5bc6c426c0770' target=""_blank"">Scarface</a><br><a href='http://localhost:3000/movie/625c2b5ff0a5bc6c426c06c4' target=""_blank"">Cidade de Deus</a><br>"
The Dark Knight,"Here are my recommendations for The Dark Knight:<br><a href='http://localhost:3000/movie/625c2bacf0a5bc6c426c0716' target=""_blank"">The Dark Knight Rises</a><br><a href='http://localhost:3000/movie/625c2b6ef0a5bc6c426c06ec' target=""_blank"">Léon</a><br><a href='http://localhost:3000/movie/625c2c42f0a5bc6c426c087a' target=""_blank"">Kill Bill: Vol. 1</a><br><a href='http://localhost:3000/movie/625c2e0bf0a5bc6c426c0d88' target=""_blank"">Baby Driver</a><br><a href='http://localhost:3000/movie/625c2e0df0a5bc6c426c0d92' target=""_blank"">Sicario</a><br>"
The Godfather: Part II,"Here are my recommendations for The Godfather: Part II:<br><a href='http://localhost:3000/movie/625c2e33f0a5bc6c426c0e34' target=""_blank"">The Godfather: Part III</a><br><a href='http://localhost:3000/movie/625c2b4ef0a5bc6c426c06a4' target=""_blank"">Pulp Fiction</a><br><a href='http://localhost:3000/movie/625c2b47f0a5bc6c426c069a' target=""_blank"">The Godfather</a><br><a href='http://localhost:3000/movie/625c2b4df0a5bc6c426c06a0' target=""_blank"">12 Angry Men</a><br><a href='http://localhost:3000/movie/625c2bcbf0a5bc6c426c0770' target=""_blank"">Scarface</a><br>"
12 Angry Men,"Here are my recommendations for 12 Angry Men:<br><a href='http://localhost:3000/movie/625c2b4ef0a5bc6c426c06a4' target=""_blank"">Pulp Fiction</a><br><a href='http://localhost:3000/movie/625c2b47f0a5bc6c426c069a' target=""_blank"">The Godfather</a><br><a href='http://localhost:3000/movie/625c2b4cf0a5bc6c426c069e' target=""_blank"">The Godfather: Part II</a><br><a href='http://localhost:3000/movie/625c2bcbf0a5bc6c426c0770' target=""_blank"">Scarface</a><br><a href='http://localhost:3000/movie/625c2b5ff0a5bc6c426c06c4' target=""_blank"">Cidade de Deus</a><br>"
The Lord of the Rings: The Return of the King,"Here are my recommendations for The Lord of the Rings: The Return of the King:<br><a href='http://localhost:3000/movie/625c2b51f0a5bc6c426c06ac' target=""_blank"">The Lord of the Rings: The Fellowship of the Ring</a><br><a href='http://localhost:3000/movie/625c2b55f0a5bc6c426c06b2' target=""_blank"">The Lord of the Rings: The Two Towers</a><br><a href='http://localhost:3000/movie/625c2b6cf0a5bc6c426c06e6' target=""_blank"">Gladiator</a><br><a href='http://localhost:3000/movie/625c2b7cf0a5bc6c426c070e' target=""_blank"">Avengers: Endgame</a><br><a href='http://localhost:3000/movie/625c2cb6f0a5bc6c426c0946' target=""_blank"">The Revenant</a><br>"
Pulp Fiction,"Here are my recommendations for Pulp Fiction:<br><a href='http://localhost:3000/movie/625c2b47f0a5bc6c426c069a' target=""_blank"">The Godfather</a><br><a href='http://localhost:3000/movie/625c2b4cf0a5bc6c426c069e' target=""_blank"">The Godfather: Part II</a><br><a href='http://localhost:3000/movie/625c2b4df0a5bc6c426c06a0' target=""_blank"">12 Angry Men</a><br><a href='http://localhost:3000/movie/625c2bcbf0a5bc6c426c0770' target=""_blank"">Scarface</a><br><a href='http://localhost:3000/movie/625c2b5ff0a5bc6c426c06c4' target=""_blank"">Cidade de Deus</a><br>"
Schindler's List,"Here are my recommendations for Schindler's List:<br><a href='http://localhost:3000/movie/625c2bc6f0a5bc6c426c0764' target=""_blank"">Braveheart</a><br><a href='http://localhost:3000/movie/625c2c27f0a5bc6c426c0846' target=""_blank"">12 Years a Slave</a><br><a href='http://localhost:3000/movie/625c2cb7f0a5bc6c426c094c' target=""_blank"">The King's Speech</a><br><a href='http://localhost:3000/movie/625c2c21f0a5bc6c426c0840' target=""_blank"">Hacksaw Ridge</a><br><a href='http://localhost:3000/movie/625c2bcaf0a5bc6c426c076e' target=""_blank"">Amadeus</a><br>"
Inception,"Here are my recommendations for Inception:<br><a href='http://localhost:3000/movie/625c2cc0f0a5bc6c426c0962' target=""_blank"">The Avengers</a><br><a href='http://localhost:3000/movie/625c2d22f0a5bc6c426c0a84' target=""_blank"">Iron Man</a><br><a href='http://localhost:3000/movie/625c2c30f0a5bc6c426c0856' target=""_blank"">Mad Max: Fury Road</a><br><a href='http://localhost:3000/movie/625c2c53f0a5bc6c426c08a4' target=""_blank"">Jurassic Park</a><br><a href='http://localhost:3000/movie/625c2ba9f0a5bc6c426c0710' target=""_blank"">Avengers: Infinity War</a><br>"
Fight Club,"Here are my recommendations for Fight Club:<br><a href='http://localhost:3000/movie/625c2b46f0a5bc6c426c0698' target=""_blank"">The Shawshank Redemption</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075c' target=""_blank"">American Beauty</a><br><a href='http://localhost:3000/movie/625c2b6df0a5bc6c426c06e8' target=""_blank"">American History X</a><br><a href='http://localhost:3000/movie/625c2b59f0a5bc6c426c06ba' target=""_blank"">One Flew Over the Cuckoo's Nest</a><br><a href='http://localhost:3000/movie/625c2bc5f0a5bc6c426c075a' target=""_blank"">Requiem for a Dream</a><br>"
