_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2dd4f0a5bc6c426c0c8c,Death Note: Desu nôto,2006,126 min,"Crime, Drama, Fantasy",7.7,0.4527374175112808,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.",,Shûsuke Kaneko,"['Tatsuya Fujiwara', ""Ken'ichi Matsuyama"", 'Asaka Seto', 'Yû Kashii']",28630,2022-04-17 15:10:12.284,2022-04-17 15:10:12.284
625c2d12f0a5bc6c426c0a66,Låt den rätte komma in,2008,114 min,"Crime, Drama, Fantasy",7.9,0.5697269236016356,"Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",82.0,Tomas Alfredson,"['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar', 'Henrik Dahl']",205609,2022-04-17 15:06:58.837,2022-04-17 15:06:58.837
625c2d57f0a5bc6c426c0b28,The Hateful Eight,2015,168 min,"Crime, Drama, Mystery",7.8,1.5927685431898764,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",68.0,Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins']",517059,2022-04-17 15:08:07.632,2022-04-17 15:08:07.632
625c2b4ef0a5bc6c426c06a4,Pulp Fiction,1994,154 min,"Crime, Drama",8.9,4.664637176527167,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",94.0,Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",1826188,2022-04-17 14:59:26.767,2022-04-17 14:59:26.767
625c2d09f0a5bc6c426c0a58,Bir Zamanlar Anadolu'da,2011,157 min,"Crime, Drama",7.9,4.488120834276128,A group of men set out in search of a dead body in the Anatolian steppes.,82.0,Nuri Bilge Ceylan,"['Muhammet Uzuner', 'Yilmaz Erdogan', 'Taner Birsel', 'Ahmet Mümtaz Taylan']",41995,2022-04-17 15:06:49.711,2022-04-17 15:06:49.711
625c2d60f0a5bc6c426c0b4e,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",7.8,1.4927004395228083,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",71.0,David Fincher,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Stellan Skarsgård']",423010,2022-04-17 15:08:16.635,2022-04-17 15:08:16.635
625c2b4cf0a5bc6c426c069e,The Godfather: Part II,1974,202 min,"Crime, Drama",9.0,4.8909190356088175,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",90.0,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",1129952,2022-04-17 14:59:24.973,2022-04-17 14:59:24.973
625c2d95f0a5bc6c426c0bd2,Boyz n the Hood,1991,112 min,"Crime, Drama",7.8,2.2531176555395604,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",76.0,John Singleton,"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Hudhail Al-Amir', 'Lloyd Avery II']",126082,2022-04-17 15:09:09.508,2022-04-17 15:09:09.508
625c2d20f0a5bc6c426c0a7a,The Fall,2006,117 min,"Adventure, Drama, Fantasy",7.9,1.4508468121286944,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",64.0,Tarsem Singh,"['Lee Pace', 'Catinca Untaru', 'Justine Waddell', 'Kim Uylenbroek']",107290,2022-04-17 15:07:12.454,2022-04-17 15:07:12.454
625c2bcef0a5bc6c426c077a,A Clockwork Orange,1971,136 min,"Crime, Drama, Sci-Fi",8.3,0.05659038523109117,"In the future, a sadistic gang leader is imprisoned and volunteers for a conduct-aversion experiment, but it doesn't go as planned.",77.0,Stanley Kubrick,"['Malcolm McDowell', 'Patrick Magee', 'Michael Bates', 'Warren Clarke']",757904,2022-04-17 15:01:34.158,2022-04-17 15:01:34.158
625c2deef0a5bc6c426c0d06,Glengarry Glen Ross,1992,100 min,"Crime, Drama, Mystery",7.7,0.002808918853294262,An examination of the machinations behind the scenes at a real estate office.,82.0,James Foley,"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin', 'Alan Arkin']",95826,2022-04-17 15:10:38.259,2022-04-17 15:10:38.259
625c2b47f0a5bc6c426c069a,The Godfather,1972,175 min,"Crime, Drama",9.2,1.2255383890480909,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,100.0,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",1620367,2022-04-17 14:59:19.890,2022-04-17 14:59:19.890
625c2d63f0a5bc6c426c0b5e,Män som hatar kvinnor,2009,152 min,"Crime, Drama, Mystery",7.8,4.1763922606534445,A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,76.0,Niels Arden Oplev,"['Michael Nyqvist', 'Noomi Rapace', 'Ewa Fröling', 'Lena Endre']",208994,2022-04-17 15:08:19.625,2022-04-17 15:08:19.625
625c2bcdf0a5bc6c426c0776,Taxi Driver,1976,114 min,"Crime, Drama",8.3,3.9121916868713837,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",94.0,Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']",724636,2022-04-17 15:01:33.218,2022-04-17 15:01:33.218
625c2d92f0a5bc6c426c0bc8,A Bronx Tale,1993,121 min,"Crime, Drama, Romance",7.8,2.882802386450697,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,80.0,Robert De Niro,"['Robert De Niro', 'Chazz Palminteri', 'Lillo Brancato', 'Francis Capra']",128171,2022-04-17 15:09:06.724,2022-04-17 15:09:06.724
625c2d24f0a5bc6c426c0a8a,Mystic River,2003,138 min,"Crime, Drama, Mystery",7.9,0.006923244516883198,The lives of three men who were childhood friends are shattered when one of them has a family tragedy.,84.0,Clint Eastwood,"['Sean Penn', 'Tim Robbins', 'Kevin Bacon', 'Emmy Rossum']",419420,2022-04-17 15:07:16.482,2022-04-17 15:07:16.482
625c2b5ff0a5bc6c426c06c4,Cidade de Deus,2002,130 min,"Crime, Drama",8.6,2.487574768903338,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",79.0,Fernando Meirelles,"['Kátia Lund', 'Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']",699256,2022-04-17 14:59:43.029,2022-04-17 14:59:43.029
625c2e36f0a5bc6c426c0e40,Blood Simple,1984,99 min,"Crime, Drama, Thriller",7.6,1.7240105246019743,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",82.0,Joel Coen,"['Ethan Coen', 'John Getz', 'Frances McDormand', 'Dan Hedaya']",87745,2022-04-17 15:11:50.032,2022-04-17 15:11:50.032
625c2b6cf0a5bc6c426c06e2,The Departed,2006,151 min,"Crime, Drama, Thriller",8.5,4.516432964673011,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,85.0,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",1189773,2022-04-17 14:59:56.308,2022-04-17 14:59:56.308
625c2c3ff0a5bc6c426c0868,No Country for Old Men,2007,122 min,"Crime, Drama, Thriller",8.1,0.47881730820227175,Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.,91.0,Ethan Coen,"['Joel Coen', 'Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']",856916,2022-04-17 15:03:27.379,2022-04-17 15:03:27.379
