_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2bd8f0a5bc6c426c0792,M - Eine Stadt sucht einen Mörder,1931,117 min,"Crime, Mystery, Thriller",8.3,0.5009306475379904,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",,Fritz Lang,"['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke']",143434,2022-04-17 15:01:44.029,2022-04-17 15:01:44.029
625c2e3bf0a5bc6c426c0e66,The 39 Steps,1935,86 min,"Crime, Mystery, Thriller",7.6,3.233511306713889,"A man in London tries to help a counter-espionage Agent. But when the Agent is killed, and the man stands accused, he must go on the run to save himself and stop a spy ring which is trying to steal top secret information.",93.0,Alfred Hitchcock,"['Robert Donat', 'Madeleine Carroll', 'Lucie Mannheim', 'Godfrey Tearle']",51853,2022-04-17 15:11:55.730,2022-04-17 15:11:55.730
625c2cc2f0a5bc6c426c096c,The Bourne Ultimatum,2007,115 min,"Action, Mystery, Thriller",8.0,4.986239548051403,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,85.0,Paul Greengrass,"['Matt Damon', 'Edgar Ramírez', 'Joan Allen', 'Julia Stiles']",604694,2022-04-17 15:05:38.941,2022-04-17 15:05:38.941
625c2c49f0a5bc6c426c0888,The Sixth Sense,1999,107 min,"Drama, Mystery, Thriller",8.1,0.29274374703442185,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,64.0,M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']",911573,2022-04-17 15:03:37.072,2022-04-17 15:03:37.072
625c2df3f0a5bc6c426c0d1c,Blue Velvet,1986,120 min,"Drama, Mystery, Thriller",7.7,1.4546634168008121,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.",76.0,David Lynch,"['Isabella Rossellini', 'Kyle MacLachlan', 'Dennis Hopper', 'Laura Dern']",181285,2022-04-17 15:10:43.527,2022-04-17 15:10:43.527
625c2b6cf0a5bc6c426c06e2,The Departed,2006,151 min,"Crime, Drama, Thriller",8.5,4.516432964673011,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,85.0,Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",1189773,2022-04-17 14:59:56.308,2022-04-17 14:59:56.308
625c2d57f0a5bc6c426c0b28,The Hateful Eight,2015,168 min,"Crime, Drama, Mystery",7.8,1.5927685431898764,"In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.",68.0,Quentin Tarantino,"['Samuel L. Jackson', 'Kurt Russell', 'Jennifer Jason Leigh', 'Walton Goggins']",517059,2022-04-17 15:08:07.632,2022-04-17 15:08:07.632
625c2b62f0a5bc6c426c06d0,The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller",8.6,0.6873090839614726,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",85.0,Jonathan Demme,"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']",1270197,2022-04-17 14:59:46.727,2022-04-17 14:59:46.727
625c2c75f0a5bc6c426c0902,The Third Man,1949,104 min,"Film-Noir, Mystery, Thriller",8.1,3.517676385577837,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",97.0,Carol Reed,"['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']",158731,2022-04-17 15:04:21.670,2022-04-17 15:04:21.670
625c2e2af0a5bc6c426c0e00,The Others,2001,101 min,"Horror, Mystery, Thriller",7.6,0.6620977419123497,A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,74.0,Alejandro Amenábar,"['Nicole Kidman', 'Christopher Eccleston', 'Fionnula Flanagan', 'Alakina Mann']",337651,2022-04-17 15:11:38.995,2022-04-17 15:11:38.995
