_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c28f0a5bc6c426c0848,Rush,2013,123 min,"Action, Biography, Drama",8.1,3.324795556198634,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,74.0,Ron Howard,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']",432811,2022-04-17 15:03:04.312,2022-04-17 15:03:04.312
625c2d90f0a5bc6c426c0bbe,Tombstone,1993,130 min,"Action, Biography, Drama",7.8,0.15030896987843212,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",50.0,George P. Cosmatos,"['Kevin Jarre', 'Kurt Russell', 'Val Kilmer', 'Sam Elliott']",126871,2022-04-17 15:09:04.158,2022-04-17 15:09:04.158
625c2e24f0a5bc6c426c0dd0,Huo Yuan Jia,2006,104 min,"Action, Biography, Drama",7.6,0.20375091104472554,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",70.0,Ronny Yu,"['Jet Li', 'Li Sun', 'Yong Dong', 'Yun Qu']",72863,2022-04-17 15:11:32.543,2022-04-17 15:11:32.543
625c2c29f0a5bc6c426c084a,Ford v Ferrari,2019,152 min,"Action, Biography, Drama",8.1,1.9409899059711255,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,81.0,James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe']",291289,2022-04-17 15:03:05.128,2022-04-17 15:03:05.128
625c2cb9f0a5bc6c426c0956,Yip Man,2008,106 min,"Action, Biography, Drama",8.0,1.3439128442498882,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",59.0,Wilson Yip,"['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan', 'Ka Tung Lam']",211427,2022-04-17 15:05:29.603,2022-04-17 15:05:29.603
625c2e0bf0a5bc6c426c0d8a,Only the Brave,2017,134 min,"Action, Biography, Drama",7.6,1.7928361463344267,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.",72.0,Joseph Kosinski,"['Josh Brolin', 'Miles Teller', 'Jeff Bridges', 'Jennifer Connelly']",58371,2022-04-17 15:11:07.978,2022-04-17 15:11:07.978
625c2e0df0a5bc6c426c0d92,Sicario,2015,121 min,"Action, Crime, Drama",7.6,1.2943894086814034,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,82.0,Denis Villeneuve,"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro', 'Jon Bernthal']",371291,2022-04-17 15:11:09.256,2022-04-17 15:11:09.256
625c2beef0a5bc6c426c07b8,Warrior,2011,140 min,"Action, Drama, Sport",8.2,2.1665358942157917,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision course with his estranged, older brother.",71.0,Gavin O'Connor,"['Tom Hardy', 'Nick Nolte', 'Joel Edgerton', 'Jennifer Morrison']",435950,2022-04-17 15:02:06.750,2022-04-17 15:02:06.750
625c2d4df0a5bc6c426c0b0c,Raazi,2018,138 min,"Action, Drama, Thriller",7.8,0.6883257703817103,A Kashmiri woman agrees to marry a Pakistani army officer in order to spy on Pakistan during the Indo-Pakistan War of 1971.,,Meghna Gulzar,"['Alia Bhatt', 'Vicky Kaushal', 'Rajit Kapoor', 'Shishir Sharma']",25344,2022-04-17 15:07:57.525,2022-04-17 15:07:57.525
625c2b6cf0a5bc6c426c06e6,Gladiator,2000,155 min,"Action, Adventure, Drama",8.5,4.66248624777033,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,67.0,Ridley Scott,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']",1341460,2022-04-17 14:59:56.830,2022-04-17 14:59:56.830
625c2d61f0a5bc6c426c0b52,Ajeossi,2010,119 min,"Action, Crime, Drama",7.8,4.377903297457262,A quiet pawnshop keeper with a violent past takes on a drug-and-organ trafficking ring in hope of saving the child who is his only friend.,,Jeong-beom Lee,"['Won Bin', 'Sae-ron Kim', 'Tae-hoon Kim', 'Hee-won Kim']",62848,2022-04-17 15:08:17.680,2022-04-17 15:08:17.680
625c2d3cf0a5bc6c426c0ae2,Spartacus,1960,197 min,"Adventure, Biography, Drama",7.9,4.6226128435299305,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,87.0,Stanley Kubrick,"['Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton']",124339,2022-04-17 15:07:40.889,2022-04-17 15:07:40.889
625c2c16f0a5bc6c426c082a,Haider,2014,160 min,"Action, Crime, Drama",8.1,2.7322831857962893,"A young man returns to Kashmir after his father's disappearance to confront his uncle, whom he suspects of playing a role in his father's fate.",,Vishal Bhardwaj,"['Shahid Kapoor', 'Tabu', 'Shraddha Kapoor', 'Kay Kay Menon']",50445,2022-04-17 15:02:46.039,2022-04-17 15:02:46.039
625c2e25f0a5bc6c426c0ddc,Watchmen,2009,162 min,"Action, Drama, Mystery",7.6,1.8883478568262746,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",56.0,Zack Snyder,"['Jackie Earle Haley', 'Patrick Wilson', 'Carla Gugino', 'Malin Akerman']",500799,2022-04-17 15:11:33.749,2022-04-17 15:11:33.749
625c2d7df0a5bc6c426c0b7a,Apocalypto,2006,139 min,"Action, Adventure, Drama",7.8,4.9359980677421955,"As the Mayan kingdom faces its decline, a young man is taken on a perilous journey to a world ruled by fear and oppression.",68.0,Mel Gibson,"['Gerardo Taracena', 'Raoul Max Trujillo', 'Dalia Hernández', 'Rudy Youngblood']",291018,2022-04-17 15:08:45.490,2022-04-17 15:08:45.490
625c2dadf0a5bc6c426c0c08,Badlands,1973,94 min,"Action, Crime, Drama",7.8,1.964025686202222,An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,93.0,Terrence Malick,"['Martin Sheen', 'Sissy Spacek', 'Warren Oates', 'Ramon Bieri']",66009,2022-04-17 15:09:33.604,2022-04-17 15:09:33.604
625c2c08f0a5bc6c426c0802,Yôjinbô,1961,110 min,"Action, Drama, Thriller",8.2,4.337841290326461,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,,Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']",111244,2022-04-17 15:02:32.715,2022-04-17 15:02:32.715
625c2d5df0a5bc6c426c0b3e,Kaze tachinu,2013,126 min,"Animation, Biography, Drama",7.8,2.8439164302287034,"A look at the life of Jiro Horikoshi, the man who designed Japanese fighter planes during World War II.",83.0,Hayao Miyazaki,"['Hideaki Anno', 'Hidetoshi Nishijima', 'Miori Takimoto', 'Masahiko Nishimura']",73690,2022-04-17 15:08:13.686,2022-04-17 15:08:13.686
625c2bdff0a5bc6c426c079c,K.G.F: Chapter 1,2018,156 min,"Action, Drama",8.2,2.031586741323016,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",,Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']",36680,2022-04-17 15:01:51.549,2022-04-17 15:01:51.549
625c2c02f0a5bc6c426c07f0,Ran,1985,162 min,"Action, Drama, War",8.2,1.775980655148165,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",96.0,Akira Kurosawa,"['Tatsuya Nakadai', 'Akira Terao', 'Jinpachi Nezu', 'Daisuke Ryû']",112505,2022-04-17 15:02:26.946,2022-04-17 15:02:26.946
