_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2ccdf0a5bc6c426c0990,Dogville,2003,178 min,"Crime, Drama",8.0,4.596795647818935,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",60.0,Lars von Trier,"['Nicole Kidman', 'Paul Bettany', 'Lauren Bacall', 'Harriet Andersson']",137963,2022-04-17 15:05:49.180,2022-04-17 15:05:49.180
625c2e0ef0a5bc6c426c0d96,Leviafan,2014,140 min,"Crime, Drama",7.6,1.2513835818163765,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",92.0,Andrey Zvyagintsev,"['Aleksey Serebryakov', 'Elena Lyadova', 'Roman Madyanov', 'Vladimir Vdovichenkov']",49397,2022-04-17 15:11:10.242,2022-04-17 15:11:10.242
625c2e0af0a5bc6c426c0d82,Victoria,2015,138 min,"Crime, Drama, Romance",7.6,0.6496112250353636,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,77.0,Sebastian Schipper,"['Laia Costa', 'Frederick Lau', 'Franz Rogowski', 'Burak Yigit']",52903,2022-04-17 15:11:06.030,2022-04-17 15:11:06.030
625c2be3f0a5bc6c426c07a8,Drishyam,2015,163 min,"Crime, Drama, Mystery",8.2,2.3221049880847544,"Desperate measures are taken by a man who tries to save his family from the dark side of the law, after they commit an unexpected crime.",,Nishikant Kamat,"['Ajay Devgn', 'Shriya Saran', 'Tabu', 'Rajat Kapoor']",70367,2022-04-17 15:01:55.036,2022-04-17 15:01:55.036
625c2c0ef0a5bc6c426c0812,Rashômon,1950,88 min,"Crime, Drama, Mystery",8.2,3.99287335952223,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",98.0,Akira Kurosawa,"['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura']",152572,2022-04-17 15:02:38.530,2022-04-17 15:02:38.530
625c2d04f0a5bc6c426c0a4c,Nightcrawler,2014,117 min,"Crime, Drama, Thriller",7.9,3.6778174734497315,"When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.",76.0,Dan Gilroy,"['Jake Gyllenhaal', 'Rene Russo', 'Bill Paxton', 'Riz Ahmed']",466134,2022-04-17 15:06:44.267,2022-04-17 15:06:44.267
625c2c15f0a5bc6c426c0824,Contratiempo,2016,106 min,"Crime, Drama, Mystery",8.1,1.3774072784193292,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,,Oriol Paulo,"['Mario Casas', 'Ana Wagener', 'Jose Coronado', 'Bárbara Lennie']",141516,2022-04-17 15:02:45.439,2022-04-17 15:02:45.439
625c2bcbf0a5bc6c426c0770,Scarface,1983,170 min,"Crime, Drama",8.3,1.9615119865685948,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",65.0,Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']",740911,2022-04-17 15:01:31.001,2022-04-17 15:01:31.001
625c2bc1f0a5bc6c426c0746,Drishyam,2013,160 min,"Crime, Drama, Thriller",8.3,4.938834684300563,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,,Jeethu Joseph,"['Mohanlal', 'Meena', 'Asha Sharath', 'Ansiba']",30722,2022-04-17 15:01:21.411,2022-04-17 15:01:21.411
625c2cf5f0a5bc6c426c0a3a,Manbiki kazoku,2018,121 min,"Crime, Drama",7.9,4.430013072403255,A family of small-time crooks take in a child they find outside in the cold.,93.0,Hirokazu Koreeda,"['Lily Franky', 'Sakura Andô', 'Kirin Kiki', 'Mayu Matsuoka']",62754,2022-04-17 15:06:29.304,2022-04-17 15:06:29.304
625c2be0f0a5bc6c426c07a2,Talvar,2015,132 min,"Crime, Drama, Mystery",8.2,3.2725202134333387,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,,Meghna Gulzar,"['Irrfan Khan', 'Konkona Sen Sharma', 'Neeraj Kabi', 'Sohum Shah']",31142,2022-04-17 15:01:52.614,2022-04-17 15:01:52.614
625c2d10f0a5bc6c426c0a62,Un prophète,2009,155 min,"Crime, Drama",7.9,0.5231508342104352,A young Arab man is sent to a French prison.,90.0,Jacques Audiard,"['Tahar Rahim', 'Niels Arestrup', 'Adel Bencherif', 'Reda Kateb']",93560,2022-04-17 15:06:56.893,2022-04-17 15:06:56.893
625c2bfbf0a5bc6c426c07e0,Heat,1995,170 min,"Crime, Drama, Thriller",8.2,3.958137797978565,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,76.0,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",577113,2022-04-17 15:02:19.834,2022-04-17 15:02:19.834
625c2bb9f0a5bc6c426c0736,Witness for the Prosecution,1957,116 min,"Crime, Drama, Mystery",8.4,4.428824742858506,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,,Billy Wilder,"['Tyrone Power', 'Marlene Dietrich', 'Charles Laughton', 'Elsa Lanchester']",108862,2022-04-17 15:01:13.540,2022-04-17 15:01:13.540
625c2ddaf0a5bc6c426c0cae,Ray,2004,152 min,"Biography, Drama, Music",7.7,2.359722815799458,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",73.0,Taylor Hackford,"['Jamie Foxx', 'Regina King', 'Kerry Washington', 'Clifton Powell']",138356,2022-04-17 15:10:18.589,2022-04-17 15:10:18.589
625c2e36f0a5bc6c426c0e40,Blood Simple,1984,99 min,"Crime, Drama, Thriller",7.6,1.7240105246019743,"The owner of a seedy small-town Texas bar discovers that one of his employees is having an affair with his wife. A chaotic chain of misunderstandings, lies and mischief ensues after he devises a plot to have them murdered.",82.0,Joel Coen,"['Ethan Coen', 'John Getz', 'Frances McDormand', 'Dan Hedaya']",87745,2022-04-17 15:11:50.032,2022-04-17 15:11:50.032
625c2bc8f0a5bc6c426c0766,Reservoir Dogs,1992,99 min,"Crime, Drama, Thriller",8.3,2.54028073683074,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",79.0,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']",918562,2022-04-17 15:01:28.908,2022-04-17 15:01:28.908
625c2dd4f0a5bc6c426c0c8e,This Is England,2006,101 min,"Crime, Drama",7.7,0.16069497990716997,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.",86.0,Shane Meadows,"['Thomas Turgoose', 'Stephen Graham', 'Jo Hartley', 'Andrew Shim']",115576,2022-04-17 15:10:12.486,2022-04-17 15:10:12.486
625c2cf0f0a5bc6c426c0a1c,Rope,1948,80 min,"Crime, Drama, Mystery",8.0,0.2301731777240401,Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,73.0,Alfred Hitchcock,"['James Stewart', 'John Dall', 'Farley Granger', 'Dick Hogan']",129783,2022-04-17 15:06:24.816,2022-04-17 15:06:24.816
625c2bfdf0a5bc6c426c07e2,Casino,1995,178 min,"Crime, Drama",8.2,2.4822582211891344,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",73.0,Martin Scorsese,"['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods']",466276,2022-04-17 15:02:21.030,2022-04-17 15:02:21.030
