_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2de1f0a5bc6c426c0cda,Happiness,1998,134 min,"Comedy, Drama",7.7,2.1681064599251734,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.",81.0,Todd Solondz,"['Jane Adams', 'Jon Lovitz', 'Philip Seymour Hoffman', 'Dylan Baker']",66408,2022-04-17 15:10:25.629,2022-04-17 15:10:25.629
625c2d65f0a5bc6c426c0b62,Druk,2020,117 min,"Comedy, Drama",7.8,2.5716716518311244,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",81.0,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe']",33931,2022-04-17 15:08:21.845,2022-04-17 15:08:21.845
625c2d22f0a5bc6c426c0a80,C.R.A.Z.Y.,2005,129 min,"Comedy, Drama",7.9,4.813812645866239,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",81.0,Jean-Marc Vallée,"['Michel Côté', 'Marc-André Grondin', 'Danielle Proulx', 'Émile Vallée']",31476,2022-04-17 15:07:14.361,2022-04-17 15:07:14.361
625c2ccdf0a5bc6c426c0992,Vizontele,2001,110 min,"Comedy, Drama",8.0,1.4120134484560687,Lives of residents in a small Anatolian village change when television is introduced to them,,Yilmaz Erdogan,"['Ömer Faruk Sorak', 'Yilmaz Erdogan', 'Demet Akbag', 'Altan Erkekli']",33592,2022-04-17 15:05:49.380,2022-04-17 15:05:49.380
625c2d38f0a5bc6c426c0ac2,Manhattan,1979,96 min,"Comedy, Drama, Romance",7.9,1.2750438494021743,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,83.0,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Mariel Hemingway', 'Michael Murphy']",131436,2022-04-17 15:07:36.029,2022-04-17 15:07:36.029
625c2d48f0a5bc6c426c0af2,Harvey,1950,104 min,"Comedy, Drama, Fantasy",7.9,3.672078736620321,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",,Henry Koster,"['James Stewart', 'Wallace Ford', 'William H. Lynn', 'Victoria Horne']",52573,2022-04-17 15:07:52.918,2022-04-17 15:07:52.918
625c2cfbf0a5bc6c426c0a46,Captain Fantastic,2016,118 min,"Comedy, Drama",7.9,3.5701799330001927,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",72.0,Matt Ross,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']",189400,2022-04-17 15:06:35.672,2022-04-17 15:06:35.672
625c2de2f0a5bc6c426c0cde,Rushmore,1998,93 min,"Comedy, Drama, Romance",7.7,2.853612588618496,The extracurricular king of Rushmore Preparatory School is put on academic probation.,86.0,Wes Anderson,"['Jason Schwartzman', 'Bill Murray', 'Olivia Williams', 'Seymour Cassel']",169229,2022-04-17 15:10:26.671,2022-04-17 15:10:26.671
625c2d51f0a5bc6c426c0b14,Perfetti sconosciuti,2016,96 min,"Comedy, Drama",7.8,1.357510889281348,"Seven long-time friends get together for a dinner. When they decide to share with each other the content of every text message, email and phone call they receive, many secrets start to unveil and the equilibrium trembles.",,Paolo Genovese,"['Giuseppe Battiston', 'Anna Foglietta', 'Marco Giallini', 'Edoardo Leo']",57168,2022-04-17 15:08:01.851,2022-04-17 15:08:01.851
625c2cf3f0a5bc6c426c0a2e,La règle du jeu,1939,110 min,"Comedy, Drama",8.0,4.752221594103673,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",,Jean Renoir,"['Marcel Dalio', 'Nora Gregor', 'Paulette Dubost', 'Mila Parély']",26725,2022-04-17 15:06:27.065,2022-04-17 15:06:27.065
625c2c4ef0a5bc6c426c0898,Underground,1995,170 min,"Comedy, Drama, War",8.1,0.6946024045715204,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love and hate.",,Emir Kusturica,"[""Predrag 'Miki' Manojlovic"", 'Lazar Ristovski', 'Mirjana Jokovic', 'Slavko Stimac']",55220,2022-04-17 15:03:42.590,2022-04-17 15:03:42.590
625c2dbdf0a5bc6c426c0c44,En man som heter Ove,2015,116 min,"Comedy, Drama, Romance",7.7,1.3772437051615438,"Ove, an ill-tempered, isolated retiree who spends his days enforcing block association rules and visiting his wife's grave, has finally given up on life just as an unlikely friendship develops with his boisterous new neighbors.",70.0,Hannes Holm,"['Rolf Lassgård', 'Bahar Pars', 'Filip Berg', 'Ida Engvoll']",47444,2022-04-17 15:09:49.326,2022-04-17 15:09:49.326
