_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c48f0a5bc6c426c0884,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,"Animation, Action, Drama",8.1,3.4756313086775337,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,,Hideaki Anno,"['Kazuya Tsurumaki', 'Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura']",38847,2022-04-17 15:03:36.561,2022-04-17 15:03:36.561
625c2cbbf0a5bc6c426c095a,Nefes: Vatan Sagolsun,2009,128 min,"Action, Drama, Thriller",8.0,3.6433251929306176,Story of 40-man Turkish task force who must defend a relay station.,,Levent Semerci,"['Erdem Can', 'Mete Horozoglu', 'Ilker Kizmaz', 'Baris Bagci']",31838,2022-04-17 15:05:31.252,2022-04-17 15:05:31.252
625c2c42f0a5bc6c426c087a,Kill Bill: Vol. 1,2003,111 min,"Action, Crime, Drama",8.1,3.452438236538349,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",69.0,Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']",1000639,2022-04-17 15:03:30.525,2022-04-17 15:03:30.525
625c2d85f0a5bc6c426c0b96,Lilja 4-ever,2002,109 min,"Crime, Drama",7.8,2.1473410970935047,"Sixteen-year-old Lilja and her only friend, the young boy Volodja, live in Russia, fantasizing about a better life. One day, Lilja falls in love with Andrej, who is going to Sweden, and invites Lilja to come along and start a new life.",82.0,Lukas Moodysson,"['Oksana Akinshina', 'Artyom Bogucharskiy', 'Pavel Ponomaryov', 'Lyubov Agapova']",42673,2022-04-17 15:08:53.545,2022-04-17 15:08:53.545
625c2b7af0a5bc6c426c0706,Vikram Vedha,2017,147 min,"Action, Crime, Drama",8.4,0.24758548754079568,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",,Gayatri,"['Pushkar', 'Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath']",28401,2022-04-17 15:00:10.907,2022-04-17 15:00:10.907
625c2bcbf0a5bc6c426c0770,Scarface,1983,170 min,"Crime, Drama",8.3,1.9615119865685948,"In 1980 Miami, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.",65.0,Brian De Palma,"['Al Pacino', 'Michelle Pfeiffer', 'Steven Bauer', 'Mary Elizabeth Mastrantonio']",740911,2022-04-17 15:01:31.001,2022-04-17 15:01:31.001
625c2badf0a5bc6c426c0718,3 Idiots,2009,170 min,"Comedy, Drama",8.4,0.035680101700276134,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",67.0,Rajkumar Hirani,"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']",344445,2022-04-17 15:01:01.232,2022-04-17 15:01:01.232
625c2be1f0a5bc6c426c07a4,Baahubali 2: The Conclusion,2017,167 min,"Action, Drama",8.2,2.4993116785348626,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",,S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']",75348,2022-04-17 15:01:53.893,2022-04-17 15:01:53.893
625c2d8af0a5bc6c426c0bac,October Sky,1999,108 min,"Biography, Drama, Family",7.8,1.4756045304490895,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",71.0,Joe Johnston,"['Jake Gyllenhaal', 'Chris Cooper', 'Laura Dern', 'Chris Owen']",82855,2022-04-17 15:08:58.712,2022-04-17 15:08:58.712
625c2c6ff0a5bc6c426c08f2,Kakushi-toride no san-akunin,1958,139 min,"Adventure, Drama",8.1,0.7344966395143482,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",,Akira Kurosawa,"['Toshirô Mifune', 'Misa Uehara', 'Minoru Chiaki', 'Kamatari Fujiwara']",34797,2022-04-17 15:04:15.649,2022-04-17 15:04:15.649
625c2dcef0a5bc6c426c0c7c,(500) Days of Summer,2009,95 min,"Comedy, Drama, Romance",7.7,0.499753647201443,"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",76.0,Marc Webb,"['Zooey Deschanel', 'Joseph Gordon-Levitt', 'Geoffrey Arend', 'Chloë Grace Moretz']",472242,2022-04-17 15:10:06.324,2022-04-17 15:10:06.324
625c2b4cf0a5bc6c426c069e,The Godfather: Part II,1974,202 min,"Crime, Drama",9.0,4.8909190356088175,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",90.0,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",1129952,2022-04-17 14:59:24.973,2022-04-17 14:59:24.973
625c2cb4f0a5bc6c426c0940,Blade Runner 2049,2017,164 min,"Action, Drama, Mystery",8.0,3.718526542970002,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",81.0,Denis Villeneuve,"['Harrison Ford', 'Ryan Gosling', 'Ana de Armas', 'Dave Bautista']",461823,2022-04-17 15:05:24.942,2022-04-17 15:05:24.942
625c2bdff0a5bc6c426c079c,K.G.F: Chapter 1,2018,156 min,"Action, Drama",8.2,2.031586741323016,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",,Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']",36680,2022-04-17 15:01:51.549,2022-04-17 15:01:51.549
625c2b5ff0a5bc6c426c06c4,Cidade de Deus,2002,130 min,"Crime, Drama",8.6,2.487574768903338,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",79.0,Fernando Meirelles,"['Kátia Lund', 'Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']",699256,2022-04-17 14:59:43.029,2022-04-17 14:59:43.029
625c2cb7f0a5bc6c426c094a,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 min,"Action, Crime, Drama",8.0,3.0995381918906837,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",71.0,José Padilha,"['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz']",79200,2022-04-17 15:05:27.121,2022-04-17 15:05:27.121
625c2b7cf0a5bc6c426c070e,Avengers: Endgame,2019,181 min,"Action, Adventure, Drama",8.4,4.237611668886724,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",78.0,Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",809955,2022-04-17 15:00:12.991,2022-04-17 15:00:12.991
625c2e25f0a5bc6c426c0dd8,300,2006,117 min,"Action, Drama",7.6,0.9172471492612255,King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.,52.0,Zack Snyder,"['Gerard Butler', 'Lena Headey', 'David Wenham', 'Dominic West']",732876,2022-04-17 15:11:33.345,2022-04-17 15:11:33.345
