_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c15f0a5bc6c426c0828,Mommy,2014,139 min,Drama,8.1,1.5907389193399124,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",74.0,Xavier Dolan,"['Anne Dorval', 'Antoine Olivier Pilon', 'Suzanne Clément', 'Patrick Huard']",50700,2022-04-17 15:02:45.832,2022-04-17 15:02:45.832
625c2dcaf0a5bc6c426c0c64,Detachment,2011,98 min,Drama,7.7,2.905118128670966,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,52.0,Tony Kaye,"['Adrien Brody', 'Christina Hendricks', 'Marcia Gay Harden', 'Lucy Liu']",77071,2022-04-17 15:10:02.007,2022-04-17 15:10:02.007
625c2d4df0a5bc6c426c0b10,Forushande,2016,124 min,Drama,7.8,0.40603181667901,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",85.0,Asghar Farhadi,"['Shahab Hosseini', 'Taraneh Alidoosti', 'Babak Karimi', 'Mina Sadati']",51240,2022-04-17 15:07:57.959,2022-04-17 15:07:57.959
625c2c09f0a5bc6c426c0808,Smultronstället,1957,91 min,"Drama, Romance",8.2,4.8093598415686785,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",88.0,Ingmar Bergman,"['Victor Sjöström', 'Bibi Andersson', 'Ingrid Thulin', 'Gunnar Björnstrand']",96381,2022-04-17 15:02:33.294,2022-04-17 15:02:33.294
625c2d84f0a5bc6c426c0b90,Ondskan,2003,113 min,Drama,7.8,1.9684349447129423,"A teenage boy expelled from school for fighting arrives at a boarding school where the systematic bullying of younger students is encouraged as a means to maintain discipline, and decides to fight back.",61.0,Mikael Håfström,"['Andreas Wilson', 'Henrik Lundström', 'Gustaf Skarsgård', 'Linda Zilliacus']",35682,2022-04-17 15:08:52.351,2022-04-17 15:08:52.351
625c2bc1f0a5bc6c426c0748,Jagten,2012,115 min,Drama,8.3,0.6773284923913447,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",77.0,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']",281623,2022-04-17 15:01:21.623,2022-04-17 15:01:21.623
625c2bc0f0a5bc6c426c0742,Tumbbad,2018,104 min,"Drama, Fantasy, Horror",8.3,2.140188204697926,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,,Rahi Anil Barve,"['Anand Gandhi', 'Adesh Prasad', 'Sohum Shah', 'Jyoti Malshe']",27793,2022-04-17 15:01:20.045,2022-04-17 15:01:20.045
625c2ceaf0a5bc6c426c09fa,Vivre sa vie: Film en douze tableaux,1962,80 min,Drama,8.0,3.2085803844982683,Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,,Jean-Luc Godard,"['Anna Karina', 'Sady Rebbot', 'André S. Labarthe', 'Guylaine Schlumberger']",28057,2022-04-17 15:06:18.237,2022-04-17 15:06:18.237
625c2d5cf0a5bc6c426c0b32,La grande bellezza,2013,141 min,Drama,7.8,3.8388957207929564,"Jep Gambardella has seduced his way through the lavish nightlife of Rome for decades, but after his 65th birthday and a shock from the past, Jep looks past the nightclubs and parties to find a timeless landscape of absurd, exquisite beauty.",86.0,Paolo Sorrentino,"['Toni Servillo', 'Carlo Verdone', 'Sabrina Ferilli', 'Carlo Buccirosso']",81125,2022-04-17 15:08:12.279,2022-04-17 15:08:12.279
625c2df5f0a5bc6c426c0d2a,Ordinary People,1980,124 min,Drama,7.7,3.4760837368322015,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",86.0,Robert Redford,"['Donald Sutherland', 'Mary Tyler Moore', 'Judd Hirsch', 'Timothy Hutton']",47099,2022-04-17 15:10:45.524,2022-04-17 15:10:45.524
625c2c5cf0a5bc6c426c08c6,Rocky,1976,120 min,"Drama, Sport",8.1,4.334345380352095,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,70.0,John G. Avildsen,"['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers']",518546,2022-04-17 15:03:56.729,2022-04-17 15:03:56.729
625c2debf0a5bc6c426c0cfc,Philadelphia,1993,125 min,Drama,7.7,1.4984271079705747,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",66.0,Jonathan Demme,"['Tom Hanks', 'Denzel Washington', 'Roberta Maxwell', 'Buzz Kilman']",224169,2022-04-17 15:10:35.495,2022-04-17 15:10:35.495
625c2db7f0a5bc6c426c0c38,Roma,2018,135 min,Drama,7.7,4.479173475976166,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,96.0,Alfonso Cuarón,"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey', 'Carlos Peralta']",140375,2022-04-17 15:09:43.490,2022-04-17 15:09:43.490
625c2bb4f0a5bc6c426c0730,Anand,1971,122 min,"Drama, Musical",8.4,2.0462433705154313,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",,Hrishikesh Mukherjee,"['Rajesh Khanna', 'Amitabh Bachchan', 'Sumita Sanyal', 'Ramesh Deo']",30273,2022-04-17 15:01:08.530,2022-04-17 15:01:08.530
625c2d1af0a5bc6c426c0a6e,Boyhood,2014,165 min,Drama,7.9,3.0962818810399737,"The life of Mason, from early childhood to his arrival at college.",100.0,Richard Linklater,"['Ellar Coltrane', 'Patricia Arquette', 'Ethan Hawke', 'Elijah Smith']",335533,2022-04-17 15:07:06.436,2022-04-17 15:07:06.436
625c2c04f0a5bc6c426c07f6,Höstsonaten,1978,99 min,"Drama, Music",8.2,4.085435837347583,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",,Ingmar Bergman,"['Ingrid Bergman', 'Liv Ullmann', 'Lena Nyman', 'Halvar Björk']",26875,2022-04-17 15:02:28.995,2022-04-17 15:02:28.995
625c2e3bf0a5bc6c426c0e60,Giant,1956,201 min,"Drama, Western",7.6,0.28293887733291,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,84.0,George Stevens,"['Elizabeth Taylor', 'Rock Hudson', 'James Dean', 'Carroll Baker']",34075,2022-04-17 15:11:55.112,2022-04-17 15:11:55.112
625c2c5cf0a5bc6c426c08c8,Network,1976,121 min,Drama,8.1,3.852851228576771,A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit.,83.0,Sidney Lumet,"['Faye Dunaway', 'William Holden', 'Peter Finch', 'Robert Duvall']",144911,2022-04-17 15:03:56.937,2022-04-17 15:03:56.937
625c2c6df0a5bc6c426c08ea,Jungfrukällan,1960,89 min,Drama,8.1,2.507184166174472,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",,Ingmar Bergman,"['Max von Sydow', 'Birgitta Valberg', 'Gunnel Lindblom', 'Birgitta Pettersson']",26697,2022-04-17 15:04:13.842,2022-04-17 15:04:13.842
625c2d60f0a5bc6c426c0b4a,Kokuhaku,2010,106 min,"Drama, Thriller",7.8,0.43141034546324675,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,,Tetsuya Nakashima,"['Takako Matsu', 'Yoshino Kimura', 'Masaki Okada', 'Yukito Nishii']",35713,2022-04-17 15:08:16.190,2022-04-17 15:08:16.190
