_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2ccff0a5bc6c426c09a4,Knockin' on Heaven's Door,1997,87 min,"Action, Crime, Comedy",8.0,4.141609081568889,"Two terminally ill patients escape from a hospital, steal a car and rush towards the sea.",,Thomas Jahn,"['Til Schweiger', 'Jan Josef Liefers', 'Thierry van Werveke', 'Moritz Bleibtreu']",27721,2022-04-17 15:05:51.975,2022-04-17 15:05:51.975
625c2be6f0a5bc6c426c07b0,Gangs of Wasseypur,2012,321 min,"Action, Comedy, Crime",8.2,1.873128667645274,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",89.0,Anurag Kashyap,"['Manoj Bajpayee', 'Richa Chadha', 'Nawazuddin Siddiqui', 'Tigmanshu Dhulia']",82365,2022-04-17 15:01:58.692,2022-04-17 15:01:58.692
625c2d4df0a5bc6c426c0b0a,The Gentlemen,2019,113 min,"Action, Comedy, Crime",7.8,2.287320980540566,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",51.0,Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']",237392,2022-04-17 15:07:57.302,2022-04-17 15:07:57.302
625c2c6cf0a5bc6c426c08e4,Sanjuro,1962,96 min,"Action, Comedy, Crime",8.1,0.7360385032867023,"A crafty samurai helps a young man and his fellow clansmen save his uncle, who has been framed and imprisoned by a corrupt superintendent.",,Akira Kurosawa,"['Toshirô Mifune', 'Tatsuya Nakadai', 'Keiju Kobayashi', 'Yûnosuke Itô']",33044,2022-04-17 15:04:12.706,2022-04-17 15:04:12.706
625c2e16f0a5bc6c426c0db0,Kick-Ass,2010,117 min,"Action, Comedy, Crime",7.6,1.4353691332385898,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",66.0,Matthew Vaughn,"['Aaron Taylor-Johnson', 'Nicolas Cage', 'Chloë Grace Moretz', 'Garrett M. Brown']",524081,2022-04-17 15:11:18.860,2022-04-17 15:11:18.860
625c2bfaf0a5bc6c426c07d8,Hera Pheri,2000,156 min,"Action, Comedy, Crime",8.2,4.348669871350208,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",,Priyadarshan,"['Akshay Kumar', 'Sunil Shetty', 'Paresh Rawal', 'Tabu']",57057,2022-04-17 15:02:18.973,2022-04-17 15:02:18.973
625c2db0f0a5bc6c426c0c14,Bonnie and Clyde,1967,111 min,"Action, Biography, Crime",7.8,2.269327449447406,"Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",86.0,Arthur Penn,"['Warren Beatty', 'Faye Dunaway', 'Michael J. Pollard', 'Gene Hackman']",102415,2022-04-17 15:09:36.014,2022-04-17 15:09:36.014
625c2e0ef0a5bc6c426c0d98,Hell or High Water,2016,102 min,"Action, Crime, Drama",7.6,3.011146454407485,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,88.0,David Mackenzie,"['Chris Pine', 'Ben Foster', 'Jeff Bridges', 'Gil Birmingham']",204175,2022-04-17 15:11:10.447,2022-04-17 15:11:10.447
625c2b7af0a5bc6c426c0706,Vikram Vedha,2017,147 min,"Action, Crime, Drama",8.4,0.24758548754079568,"Vikram, a no-nonsense police officer, accompanied by Simon, his partner, is on the hunt to capture Vedha, a smuggler and a murderer. Vedha tries to change Vikram's life, which leads to a conflict.",,Gayatri,"['Pushkar', 'Madhavan', 'Vijay Sethupathi', 'Shraddha Srinath']",28401,2022-04-17 15:00:10.907,2022-04-17 15:00:10.907
625c2dd6f0a5bc6c426c0c98,Lucky Number Slevin,2006,110 min,"Action, Crime, Drama",7.7,0.6850494718156053,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",53.0,Paul McGuigan,"['Josh Hartnett', 'Ben Kingsley', 'Morgan Freeman', 'Lucy Liu']",299524,2022-04-17 15:10:14.074,2022-04-17 15:10:14.074
625c2dc1f0a5bc6c426c0c4c,Kingsman: The Secret Service,2014,129 min,"Action, Adventure, Comedy",7.7,2.5981185253792383,"A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.",60.0,Matthew Vaughn,"['Colin Firth', 'Taron Egerton', 'Samuel L. Jackson', 'Michael Caine']",590440,2022-04-17 15:09:53.456,2022-04-17 15:09:53.456
625c2be9f0a5bc6c426c07b4,Paan Singh Tomar,2012,135 min,"Action, Biography, Crime",8.2,2.035103983603772,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",,Tigmanshu Dhulia,"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']",33237,2022-04-17 15:02:01.339,2022-04-17 15:02:01.339
625c2c1ef0a5bc6c426c083a,The Grand Budapest Hotel,2014,99 min,"Adventure, Comedy, Crime",8.1,1.8642273981520052,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",88.0,Wes Anderson,"['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric', 'Adrien Brody']",707630,2022-04-17 15:02:54.727,2022-04-17 15:02:54.727
625c2b48f0a5bc6c426c069c,The Dark Knight,2008,152 min,"Action, Crime, Drama",9.0,1.169399698222372,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84.0,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",2303232,2022-04-17 14:59:20.618,2022-04-17 14:59:20.618
625c2cb7f0a5bc6c426c094a,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 min,"Action, Crime, Drama",8.0,3.0995381918906837,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",71.0,José Padilha,"['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz']",79200,2022-04-17 15:05:27.121,2022-04-17 15:05:27.121
