_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2de0f0a5bc6c426c0cd2,"O Brother, Where Art Thou?",2000,107 min,"Adventure, Comedy, Crime",7.7,2.1492583166137114,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",69.0,Joel Coen,"['Ethan Coen', 'George Clooney', 'John Turturro', 'Tim Blake Nelson']",286742,2022-04-17 15:10:24.195,2022-04-17 15:10:24.195
625c2d60f0a5bc6c426c0b50,Captain Phillips,2013,134 min,"Adventure, Biography, Crime",7.8,3.4604700277048384,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",82.0,Paul Greengrass,"['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman', 'Catherine Keener']",421244,2022-04-17 15:08:16.843,2022-04-17 15:08:16.843
625c2d99f0a5bc6c426c0bea,The Goonies,1985,114 min,"Adventure, Comedy, Family",7.8,3.207553765594622,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,62.0,Richard Donner,"['Sean Astin', 'Josh Brolin', 'Jeff Cohen', 'Corey Feldman']",244430,2022-04-17 15:09:13.016,2022-04-17 15:09:13.016
625c2c08f0a5bc6c426c07fc,Monty Python and the Holy Grail,1975,91 min,"Adventure, Comedy, Fantasy",8.2,1.2279592436887432,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",91.0,Terry Gilliam,"['Terry Jones', 'Graham Chapman', 'John Cleese', 'Eric Idle']",500875,2022-04-17 15:02:32.109,2022-04-17 15:02:32.109
625c2c11f0a5bc6c426c081a,The Gold Rush,1925,95 min,"Adventure, Comedy, Drama",8.2,1.6142532033985169,A prospector goes to the Klondike in search of gold and finds it and more.,,Charles Chaplin,"['Charles Chaplin', 'Mack Swain', 'Tom Murray', 'Henry Bergman']",101053,2022-04-17 15:02:41.368,2022-04-17 15:02:41.368
625c2e09f0a5bc6c426c0d80,The Peanut Butter Falcon,2019,97 min,"Adventure, Comedy, Drama",7.6,3.5878341802601676,Zak runs away from his care home to make his dream of becoming a wrestler come true.,70.0,Tyler Nilson,"['Michael Schwartz', 'Zack Gottsagen', 'Ann Owens', 'Dakota Johnson']",66346,2022-04-17 15:11:05.819,2022-04-17 15:11:05.819
625c2e2ef0a5bc6c426c0e12,Fear and Loathing in Las Vegas,1998,118 min,"Adventure, Comedy, Drama",7.6,1.8306311624978389,An oddball journalist and his psychopathic lawyer travel to Las Vegas for a series of psychedelic escapades.,41.0,Terry Gilliam,"['Johnny Depp', 'Benicio Del Toro', 'Tobey Maguire', 'Michael Lee Gogin']",259753,2022-04-17 15:11:42.689,2022-04-17 15:11:42.689
625c2e36f0a5bc6c426c0e48,The Muppet Movie,1979,95 min,"Adventure, Comedy, Family",7.6,4.7545949059237795,"Kermit and his newfound friends trek across America to find success in Hollywood, but a frog legs merchant is after Kermit.",74.0,James Frawley,"['Jim Henson', 'Frank Oz', 'Jerry Nelson', 'Richard Hunt']",32802,2022-04-17 15:11:50.865,2022-04-17 15:11:50.865
625c2cf8f0a5bc6c426c0a44,Hunt for the Wilderpeople,2016,101 min,"Adventure, Comedy, Drama",7.9,0.7640630074896559,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,81.0,Taika Waititi,"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']",111483,2022-04-17 15:06:32.350,2022-04-17 15:06:32.350
625c2cc5f0a5bc6c426c0974,G.O.R.A.,2004,127 min,"Adventure, Comedy, Sci-Fi",8.0,3.560327873604102,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,,Ömer Faruk Sorak,"['Cem Yilmaz', 'Özge Özberk', 'Ozan Güven', 'Safak Sezer']",56960,2022-04-17 15:05:41.964,2022-04-17 15:05:41.964
625c2be5f0a5bc6c426c07aa,Queen,2013,146 min,"Adventure, Comedy, Drama",8.2,1.739595894614402,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,,Vikas Bahl,"['Kangana Ranaut', 'Rajkummar Rao', 'Lisa Haydon', 'Jeffrey Ho']",60701,2022-04-17 15:01:57.517,2022-04-17 15:01:57.517
625c2dc9f0a5bc6c426c0c5e,Nebraska,2013,115 min,"Adventure, Comedy, Drama",7.7,4.255920613717246,"An aging, booze-addled father makes the trip from Montana to Nebraska with his estranged son in order to claim a million-dollar Mega Sweepstakes Marketing prize.",87.0,Alexander Payne,"['Bruce Dern', 'Will Forte', 'June Squibb', 'Bob Odenkirk']",112298,2022-04-17 15:10:01.379,2022-04-17 15:10:01.379
625c2de0f0a5bc6c426c0cd4,Interstate 60: Episodes of the Road,2002,116 min,"Adventure, Comedy, Drama",7.7,2.8655283255721264,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",,Bob Gale,"['James Marsden', 'Gary Oldman', 'Kurt Russell', 'Matthew Edison']",29999,2022-04-17 15:10:24.390,2022-04-17 15:10:24.390
625c2d4df0a5bc6c426c0b0a,The Gentlemen,2019,113 min,"Action, Comedy, Crime",7.8,2.287320980540566,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.",51.0,Guy Ritchie,"['Matthew McConaughey', 'Charlie Hunnam', 'Michelle Dockery', 'Jeremy Strong']",237392,2022-04-17 15:07:57.302,2022-04-17 15:07:57.302
