_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c54f0a5bc6c426c08a8,Ba wang bie ji,1993,171 min,"Drama, Music, Romance",8.1,2.746375539692807,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,,Kaige Chen,"['Leslie Cheung', 'Fengyi Zhang', 'Gong Li', 'You Ge']",25088,2022-04-17 15:03:48.672,2022-04-17 15:03:48.672
625c2c75f0a5bc6c426c0904,The Red Shoes,1948,135 min,"Drama, Music, Romance",8.1,0.5685666044611248,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,,Michael Powell,"['Emeric Pressburger', 'Anton Walbrook', 'Marius Goring', 'Moira Shearer']",30935,2022-04-17 15:04:21.882,2022-04-17 15:04:21.882
625c2dc8f0a5bc6c426c0c58,The Broken Circle Breakdown,2012,111 min,"Drama, Music, Romance",7.7,3.4938023251678842,"Elise and Didier fall in love at first sight, in spite of their differences. He talks, she listens. He's a romantic atheist, she's a religious realist. When their daughter becomes seriously ill, their love is put on trial.",70.0,Felix van Groeningen,"['Veerle Baetens', 'Johan Heldenbergh', 'Nell Cattrysse', 'Geert Van Rampelberg']",39379,2022-04-17 15:10:00.129,2022-04-17 15:10:00.129
625c2c82f0a5bc6c426c0934,Gully Boy,2019,154 min,"Drama, Music, Romance",8.0,3.31353091501003,A coming-of-age story based on the lives of street rappers in Mumbai.,65.0,Zoya Akhtar,"['Vijay Varma', 'Nakul Roshan Sahdev', 'Ranveer Singh', 'Vijay Raaz']",31886,2022-04-17 15:04:34.019,2022-04-17 15:04:34.019
625c2c13f0a5bc6c426c081e,Portrait de la jeune fille en feu,2019,122 min,"Drama, Romance",8.1,4.587971402846379,"On an isolated island in Brittany at the end of the eighteenth century, a female painter is obliged to paint a wedding portrait of a young woman.",95.0,Céline Sciamma,"['Noémie Merlant', 'Adèle Haenel', 'Luàna Bajrami', 'Valeria Golino']",63134,2022-04-17 15:02:43.005,2022-04-17 15:02:43.005
625c2dc2f0a5bc6c426c0c54,La vie d'Adèle,2013,180 min,"Drama, Romance",7.7,3.602921311529782,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",89.0,Abdellatif Kechiche,"['Léa Seydoux', 'Adèle Exarchopoulos', 'Salim Kechiouche', 'Aurélien Recoing']",138741,2022-04-17 15:09:54.243,2022-04-17 15:09:54.243
625c2e15f0a5bc6c426c0da6,A Star Is Born,2018,136 min,"Drama, Music, Romance",7.6,4.5475557190476925,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,88.0,Bradley Cooper,"['Lady Gaga', 'Bradley Cooper', 'Sam Elliott', 'Greg Grunberg']",334312,2022-04-17 15:11:17.081,2022-04-17 15:11:17.081
625c2dfdf0a5bc6c426c0d4a,Belle de jour,1967,100 min,"Drama, Romance",7.7,4.22587405202126,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,,Luis Buñuel,"['Catherine Deneuve', 'Jean Sorel', 'Michel Piccoli', 'Geneviève Page']",40274,2022-04-17 15:10:53.932,2022-04-17 15:10:53.932
625c2b71f0a5bc6c426c06f2,Nuovo Cinema Paradiso,1988,155 min,"Drama, Romance",8.5,2.6788782327982164,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,80.0,Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']",230763,2022-04-17 15:00:01.104,2022-04-17 15:00:01.104
625c2cd7f0a5bc6c426c09c6,Der Himmel über Berlin,1987,128 min,"Drama, Fantasy, Romance",8.0,2.9996835652463183,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,79.0,Wim Wenders,"['Bruno Ganz', 'Solveig Dommartin', 'Otto Sander', 'Curt Bois']",64722,2022-04-17 15:05:59.361,2022-04-17 15:05:59.361
625c2d7ef0a5bc6c426c0b80,The Curious Case of Benjamin Button,2008,166 min,"Drama, Fantasy, Romance",7.8,1.0792730632497038,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",70.0,David Fincher,"['Brad Pitt', 'Cate Blanchett', 'Tilda Swinton', 'Julia Ormond']",589160,2022-04-17 15:08:46.147,2022-04-17 15:08:46.147
625c2e30f0a5bc6c426c0e22,The Bridges of Madison County,1995,135 min,"Drama, Romance",7.6,0.2894932051535615,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,69.0,Clint Eastwood,"['Clint Eastwood', 'Meryl Streep', 'Annie Corley', 'Victor Slezak']",73172,2022-04-17 15:11:44.423,2022-04-17 15:11:44.423
625c2cc6f0a5bc6c426c097e,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103 min,"Drama, Romance",8.0,3.7262320306777355,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,85.0,Ki-duk Kim,"['Ki-duk Kim', 'Yeong-su Oh', 'Jong-ho Kim', 'Kim Young-Min']",77520,2022-04-17 15:05:42.946,2022-04-17 15:05:42.946
625c2ce2f0a5bc6c426c09e2,The Last Picture Show,1971,118 min,"Drama, Romance",8.0,0.7830669710354965,"In 1951, a group of high schoolers come of age in a bleak, isolated, atrophied North Texas town that is slowly dying, both culturally and economically.",93.0,Peter Bogdanovich,"['Timothy Bottoms', 'Jeff Bridges', 'Cybill Shepherd', 'Ben Johnson']",42456,2022-04-17 15:06:10.649,2022-04-17 15:06:10.649
625c2c4cf0a5bc6c426c0892,Fa yeung nin wah,2000,98 min,"Drama, Romance",8.1,2.390005178737753,"Two neighbors, a woman and a man, form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",85.0,Kar-Wai Wong,"['Tony Chiu-Wai Leung', 'Maggie Cheung', 'Ping Lam Siu', ""Tung Cho 'Joe' Cheung""]",124383,2022-04-17 15:03:40.631,2022-04-17 15:03:40.631
625c2be9f0a5bc6c426c07b6,El secreto de sus ojos,2009,129 min,"Drama, Mystery, Romance",8.2,2.234094293029915,A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.,80.0,Juan José Campanella,"['Ricardo Darín', 'Soledad Villamil', 'Pablo Rago', 'Carla Quevedo']",193217,2022-04-17 15:02:01.547,2022-04-17 15:02:01.547
625c2cf1f0a5bc6c426c0a20,Brief Encounter,1945,86 min,"Drama, Romance",8.0,4.237002622780704,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",92.0,David Lean,"['Celia Johnson', 'Trevor Howard', 'Stanley Holloway', 'Joyce Carey']",35601,2022-04-17 15:06:25.209,2022-04-17 15:06:25.209
625c2b54f0a5bc6c426c06ae,Forrest Gump,1994,142 min,"Drama, Romance",8.8,4.476678813544045,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",82.0,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",1809221,2022-04-17 14:59:32.773,2022-04-17 14:59:32.773
625c2c4ff0a5bc6c426c089c,Dilwale Dulhania Le Jayenge,1995,189 min,"Drama, Romance",8.1,0.5831313825144835,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",,Aditya Chopra,"['Shah Rukh Khan', 'Kajol', 'Amrish Puri', 'Farida Jalal']",63516,2022-04-17 15:03:43.609,2022-04-17 15:03:43.609
625c2d67f0a5bc6c426c0b6a,Once,2007,86 min,"Drama, Music, Romance",7.8,4.601642050325693,"A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.",88.0,John Carney,"['Glen Hansard', 'Markéta Irglová', 'Hugh Walsh', 'Gerard Hendrick']",110656,2022-04-17 15:08:23.323,2022-04-17 15:08:23.323
