_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2d13f0a5bc6c426c0a68,District 9,2009,112 min,"Action, Sci-Fi, Thriller",7.9,1.2188541888019433,Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,81.0,Neill Blomkamp,"['Sharlto Copley', 'David James', 'Jason Cope', 'Nathalie Boltt']",638202,2022-04-17 15:06:59.159,2022-04-17 15:06:59.159
625c2e2ff0a5bc6c426c0e16,Dark City,1998,100 min,"Mystery, Sci-Fi, Thriller",7.6,1.5999137168804722,"A man struggles with memories of his past, which include a wife he cannot remember and a nightmarish world no one else ever seems to wake up from.",66.0,Alex Proyas,"['Rufus Sewell', 'Kiefer Sutherland', 'Jennifer Connelly', 'William Hurt']",187927,2022-04-17 15:11:43.114,2022-04-17 15:11:43.114
625c2d1df0a5bc6c426c0a72,Star Trek,2009,127 min,"Action, Adventure, Sci-Fi",7.9,0.43416366983295873,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,82.0,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Simon Pegg', 'Leonard Nimoy']",577336,2022-04-17 15:07:09.420,2022-04-17 15:07:09.420
625c2cc6f0a5bc6c426c0978,Casino Royale,2006,144 min,"Action, Adventure, Thriller",8.0,3.7507263564760818,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",80.0,Martin Campbell,"['Daniel Craig', 'Eva Green', 'Judi Dench', 'Jeffrey Wright']",582239,2022-04-17 15:05:42.357,2022-04-17 15:05:42.357
625c2dc8f0a5bc6c426c0c5a,Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi",7.7,2.0318290997880184,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",70.0,Anthony Russo,"['Joe Russo', 'Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']",736182,2022-04-17 15:10:00.342,2022-04-17 15:10:00.342
625c2d06f0a5bc6c426c0a52,Star Wars: Episode VII - The Force Awakens,2015,138 min,"Action, Adventure, Sci-Fi",7.9,0.3378700271753343,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",80.0,J.J. Abrams,"['Daisy Ridley', 'John Boyega', 'Oscar Isaac', 'Domhnall Gleeson']",860823,2022-04-17 15:06:46.779,2022-04-17 15:06:46.779
625c2e35f0a5bc6c426c0e3e,Lethal Weapon,1987,109 min,"Action, Crime, Thriller",7.6,4.045014003507644,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,68.0,Richard Donner,"['Mel Gibson', 'Danny Glover', 'Gary Busey', 'Mitchell Ryan']",236894,2022-04-17 15:11:49.291,2022-04-17 15:11:49.291
625c2d83f0a5bc6c426c0b8c,Serenity,2005,119 min,"Action, Adventure, Sci-Fi",7.8,3.203980562975448,The crew of the ship Serenity try to evade an assassin sent to recapture one of their members who is telepathic.,74.0,Joss Whedon,"['Nathan Fillion', 'Gina Torres', 'Chiwetel Ejiofor', 'Alan Tudyk']",283310,2022-04-17 15:08:51.664,2022-04-17 15:08:51.664
625c2d22f0a5bc6c426c0a84,Iron Man,2008,126 min,"Action, Adventure, Sci-Fi",7.9,0.33870228928470136,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",79.0,Jon Favreau,"['Robert Downey Jr.', 'Gwyneth Paltrow', 'Terrence Howard', 'Jeff Bridges']",939644,2022-04-17 15:07:14.806,2022-04-17 15:07:14.806
625c2c53f0a5bc6c426c08a4,Jurassic Park,1993,127 min,"Action, Adventure, Sci-Fi",8.1,2.97622520078653,A pragmatic paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,68.0,Steven Spielberg,"['Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough']",867615,2022-04-17 15:03:47.740,2022-04-17 15:03:47.740
625c2b70f0a5bc6c426c06f0,Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi",8.5,4.241836289655357,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",75.0,James Cameron,"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']",995506,2022-04-17 15:00:00.857,2022-04-17 15:00:00.857
625c2ba9f0a5bc6c426c0710,Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi",8.4,1.6284819178819432,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,68.0,Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",834477,2022-04-17 15:00:57.331,2022-04-17 15:00:57.331
625c2dcbf0a5bc6c426c0c6c,Star Trek Into Darkness,2013,132 min,"Action, Adventure, Sci-Fi",7.7,4.597755901762404,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",72.0,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Zoe Saldana', 'Benedict Cumberbatch']",463188,2022-04-17 15:10:03.478,2022-04-17 15:10:03.478
625c2dccf0a5bc6c426c0c72,X: First Class,2011,131 min,"Action, Adventure, Sci-Fi",7.7,4.994365316918015,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.",65.0,Matthew Vaughn,"['James McAvoy', 'Michael Fassbender', 'Jennifer Lawrence', 'Kevin Bacon']",645512,2022-04-17 15:10:04.102,2022-04-17 15:10:04.102
625c2dcdf0a5bc6c426c0c76,Skyfall,2012,143 min,"Action, Adventure, Thriller",7.7,3.608847537813775,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",81.0,Sam Mendes,"['Daniel Craig', 'Javier Bardem', 'Naomie Harris', 'Judi Dench']",630614,2022-04-17 15:10:05.010,2022-04-17 15:10:05.010
625c2c08f0a5bc6c426c0802,Yôjinbô,1961,110 min,"Action, Drama, Thriller",8.2,4.337841290326461,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,,Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']",111244,2022-04-17 15:02:32.715,2022-04-17 15:02:32.715
625c2cd0f0a5bc6c426c09aa,Twelve Monkeys,1995,129 min,"Mystery, Sci-Fi, Thriller",8.0,3.4040948318837594,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",74.0,Terry Gilliam,"['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Joseph Melito']",578443,2022-04-17 15:05:52.605,2022-04-17 15:05:52.605
625c2e29f0a5bc6c426c0df4,The Butterfly Effect,2004,113 min,"Drama, Sci-Fi, Thriller",7.6,3.6054422187657753,"Evan Treborn suffers blackouts during significant events of his life. As he grows up, he finds a way to remember these lost memories and a supernatural way to alter his life by reading his journal.",30.0,Eric Bress,"['J. Mackye Gruber', 'Ashton Kutcher', 'Amy Smart', 'Melora Walters']",451479,2022-04-17 15:11:37.772,2022-04-17 15:11:37.772
625c2dcbf0a5bc6c426c0c6a,Gravity,2013,91 min,"Drama, Sci-Fi, Thriller",7.7,3.7862962570043326,Two astronauts work together to survive after an accident leaves them stranded in space.,96.0,Alfonso Cuarón,"['Sandra Bullock', 'George Clooney', 'Ed Harris', 'Orto Ignatiussen']",769145,2022-04-17 15:10:03.267,2022-04-17 15:10:03.267
