_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2df4f0a5bc6c426c0d1e,The Purple Rose of Cairo,1985,82 min,"Comedy, Fantasy, Romance",7.7,1.3199617820048914,"In New Jersey in 1935, a movie character walks off the screen and into the real world.",75.0,Woody Allen,"['Mia Farrow', 'Jeff Daniels', 'Danny Aiello', 'Irving Metzman']",47102,2022-04-17 15:10:44.076,2022-04-17 15:10:44.076
625c2d93f0a5bc6c426c0bce,Night on Earth,1991,129 min,"Comedy, Drama",7.8,4.161643098692561,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,68.0,Jim Jarmusch,"['Winona Ryder', 'Gena Rowlands', 'Lisanne Falk', 'Alan Randolph Scott']",55362,2022-04-17 15:09:07.963,2022-04-17 15:09:07.963
625c2d24f0a5bc6c426c0a86,Shaun of the Dead,2004,99 min,"Comedy, Horror",7.9,1.4597482147770002,A man's uneventful life is disrupted by the zombie apocalypse.,76.0,Edgar Wright,"['Simon Pegg', 'Nick Frost', 'Kate Ashfield', 'Lucy Davis']",512249,2022-04-17 15:07:16.047,2022-04-17 15:07:16.047
625c2cf0f0a5bc6c426c0a1a,Kind Hearts and Coronets,1949,106 min,"Comedy, Crime",8.0,0.3183557833483963,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,,Robert Hamer,"['Dennis Price', 'Alec Guinness', 'Valerie Hobson', 'Joan Greenwood']",34485,2022-04-17 15:06:24.624,2022-04-17 15:06:24.624
625c2e08f0a5bc6c426c0d76,Once Upon a Time... in Hollywood,2019,161 min,"Comedy, Drama",7.6,2.0921399892452297,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,83.0,Quentin Tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch']",551309,2022-04-17 15:11:04.191,2022-04-17 15:11:04.191
625c2cd0f0a5bc6c426c09a8,Secrets & Lies,1996,136 min,"Comedy, Drama",8.0,0.0995103028620925,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",91.0,Mike Leigh,"['Timothy Spall', 'Brenda Blethyn', 'Phyllis Logan', 'Claire Rushbrook']",37564,2022-04-17 15:05:52.396,2022-04-17 15:05:52.396
625c2dfaf0a5bc6c426c0d34,Love and Death,1975,85 min,"Comedy, War",7.7,3.5339738280594037,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",89.0,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Georges Adet', 'Frank Adu']",36037,2022-04-17 15:10:50.075,2022-04-17 15:10:50.075
625c2da1f0a5bc6c426c0bf6,The King of Comedy,1982,109 min,"Comedy, Crime, Drama",7.8,3.61142330620709,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",73.0,Martin Scorsese,"['Robert De Niro', 'Jerry Lewis', 'Diahnne Abbott', 'Sandra Bernhard']",88511,2022-04-17 15:09:21.120,2022-04-17 15:09:21.120
625c2ddaf0a5bc6c426c0cb0,Lost in Translation,2003,102 min,"Comedy, Drama",7.7,4.701286041039832,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,89.0,Sofia Coppola,"['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi', 'Anna Faris']",415074,2022-04-17 15:10:18.781,2022-04-17 15:10:18.781
625c2dcaf0a5bc6c426c0c66,Midnight in Paris,2011,96 min,"Comedy, Fantasy, Romance",7.7,0.6365339394331049,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",81.0,Woody Allen,"['Owen Wilson', 'Rachel McAdams', 'Kathy Bates', 'Kurt Fuller']",388089,2022-04-17 15:10:02.222,2022-04-17 15:10:02.222
