_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2b77f0a5bc6c426c0702,Capharnaüm,2018,126 min,Drama,8.4,1.5905239703404994,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",75.0,Nadine Labaki,"['Zain Al Rafeea', 'Yordanos Shiferaw', 'Boluwatife Treasure Bankole', 'Kawsar Al Haddad']",62635,2022-04-17 15:00:07.726,2022-04-17 15:00:07.726
625c2debf0a5bc6c426c0cfc,Philadelphia,1993,125 min,Drama,7.7,1.4984271079705747,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",66.0,Jonathan Demme,"['Tom Hanks', 'Denzel Washington', 'Roberta Maxwell', 'Buzz Kilman']",224169,2022-04-17 15:10:35.495,2022-04-17 15:10:35.495
625c2c6df0a5bc6c426c08ea,Jungfrukällan,1960,89 min,Drama,8.1,2.507184166174472,"An innocent yet pampered young virgin and her family's pregnant and jealous servant set out to deliver candles to church, but only one returns from events that transpire in the woods along the way.",,Ingmar Bergman,"['Max von Sydow', 'Birgitta Valberg', 'Gunnel Lindblom', 'Birgitta Pettersson']",26697,2022-04-17 15:04:13.842,2022-04-17 15:04:13.842
625c2e3bf0a5bc6c426c0e64,Lifeboat,1944,97 min,"Drama, War",7.6,3.1802582533367563,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.,78.0,Alfred Hitchcock,"['Tallulah Bankhead', 'John Hodiak', 'Walter Slezak', 'William Bendix']",26471,2022-04-17 15:11:55.530,2022-04-17 15:11:55.530
625c2d60f0a5bc6c426c0b4a,Kokuhaku,2010,106 min,"Drama, Thriller",7.8,0.43141034546324675,A psychological thriller of a grieving mother turned cold-blooded avenger with a twisty master plan to pay back those who were responsible for her daughter's death.,,Tetsuya Nakashima,"['Takako Matsu', 'Yoshino Kimura', 'Masaki Okada', 'Yukito Nishii']",35713,2022-04-17 15:08:16.190,2022-04-17 15:08:16.190
625c2d4cf0a5bc6c426c0b06,Freaks,1932,64 min,"Drama, Horror",7.9,0.06943144729484652,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",80.0,Tod Browning,"['Wallace Ford', 'Leila Hyams', 'Olga Baclanova', 'Roscoe Ates']",42117,2022-04-17 15:07:56.694,2022-04-17 15:07:56.694
625c2c39f0a5bc6c426c085e,Okuribito,2008,130 min,"Drama, Music",8.1,0.22324078080189547,A newly unemployed cellist takes a job preparing the dead for funerals.,68.0,Yôjirô Takita,"['Masahiro Motoki', 'Ryôko Hirosue', 'Tsutomu Yamazaki', 'Kazuko Yoshiyuki']",48582,2022-04-17 15:03:21.714,2022-04-17 15:03:21.714
625c2da2f0a5bc6c426c0bfa,Kramer vs. Kramer,1979,105 min,Drama,7.8,1.223801397438511,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation.",77.0,Robert Benton,"['Dustin Hoffman', 'Meryl Streep', 'Jane Alexander', 'Justin Henry']",133351,2022-04-17 15:09:22.189,2022-04-17 15:09:22.189
625c2dcaf0a5bc6c426c0c64,Detachment,2011,98 min,Drama,7.7,2.905118128670966,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,52.0,Tony Kaye,"['Adrien Brody', 'Christina Hendricks', 'Marcia Gay Harden', 'Lucy Liu']",77071,2022-04-17 15:10:02.007,2022-04-17 15:10:02.007
625c2cc6f0a5bc6c426c097c,Vozvrashchenie,2003,110 min,Drama,8.0,3.689387860596409,"In the Russian wilderness, two brothers face a range of new, conflicting emotions when their father - a man they know only through a single photograph - resurfaces.",82.0,Andrey Zvyagintsev,"['Vladimir Garin', 'Ivan Dobronravov', 'Konstantin Lavronenko', 'Nataliya Vdovina']",42399,2022-04-17 15:05:42.743,2022-04-17 15:05:42.743
625c2be9f0a5bc6c426c07b2,Udaan,2010,134 min,Drama,8.2,3.3079790437553855,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",,Vikramaditya Motwane,"['Rajat Barmecha', 'Ronit Roy', 'Manjot Singh', 'Ram Kapoor']",42341,2022-04-17 15:02:01.137,2022-04-17 15:02:01.137
625c2ccdf0a5bc6c426c0996,Magnolia,1999,188 min,Drama,8.0,3.3104407125138016,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",77.0,Paul Thomas Anderson,"['Tom Cruise', 'Jason Robards', 'Julianne Moore', 'Philip Seymour Hoffman']",289742,2022-04-17 15:05:49.911,2022-04-17 15:05:49.911
625c2d06f0a5bc6c426c0a50,Arrival,2016,116 min,"Drama, Sci-Fi",7.9,4.181641793661651,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecrafts appear around the world.,81.0,Denis Villeneuve,"['Amy Adams', 'Jeremy Renner', 'Forest Whitaker', 'Michael Stuhlbarg']",594181,2022-04-17 15:06:46.569,2022-04-17 15:06:46.569
625c2c1af0a5bc6c426c082e,Room,2015,118 min,"Drama, Thriller",8.1,1.8917269608571097,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",86.0,Lenny Abrahamson,"['Brie Larson', 'Jacob Tremblay', 'Sean Bridgers', 'Wendy Crewson']",371538,2022-04-17 15:02:50.074,2022-04-17 15:02:50.074
625c2db7f0a5bc6c426c0c38,Roma,2018,135 min,Drama,7.7,4.479173475976166,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,96.0,Alfonso Cuarón,"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey', 'Carlos Peralta']",140375,2022-04-17 15:09:43.490,2022-04-17 15:09:43.490
625c2c04f0a5bc6c426c07f6,Höstsonaten,1978,99 min,"Drama, Music",8.2,4.085435837347583,"A married daughter who longs for her mother's love is visited by the latter, a successful concert pianist.",,Ingmar Bergman,"['Ingrid Bergman', 'Liv Ullmann', 'Lena Nyman', 'Halvar Björk']",26875,2022-04-17 15:02:28.995,2022-04-17 15:02:28.995
625c2daef0a5bc6c426c0c0e,Midnight Cowboy,1969,113 min,Drama,7.8,4.224138388021959,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",79.0,John Schlesinger,"['Dustin Hoffman', 'Jon Voight', 'Sylvia Miles', 'John McGiver']",101124,2022-04-17 15:09:34.643,2022-04-17 15:09:34.643
625c2e08f0a5bc6c426c0d78,Nelyubov,2017,127 min,Drama,7.6,2.3858908223095887,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,86.0,Andrey Zvyagintsev,"['Maryana Spivak', 'Aleksey Rozin', 'Matvey Novikov', 'Marina Vasileva']",29765,2022-04-17 15:11:04.397,2022-04-17 15:11:04.397
