_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2dd7f0a5bc6c426c0c9c,Control,2007,122 min,"Biography, Drama, Music",7.7,4.19866778976083,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.",78.0,Anton Corbijn,"['Sam Riley', 'Samantha Morton', 'Craig Parkinson', 'Alexandra Maria Lara']",61609,2022-04-17 15:10:15.004,2022-04-17 15:10:15.004
625c2ce2f0a5bc6c426c09dc,Papillon,1973,151 min,"Biography, Crime, Drama",8.0,4.79559527106749,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",58.0,Franklin J. Schaffner,"['Steve McQueen', 'Dustin Hoffman', 'Victor Jory', 'Don Gordon']",121627,2022-04-17 15:06:10.018,2022-04-17 15:06:10.018
625c2c80f0a5bc6c426c0928,Lion,2016,118 min,"Biography, Drama",8.0,1.9582404243878238,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",69.0,Garth Davis,"['Dev Patel', 'Nicole Kidman', 'Rooney Mara', 'Sunny Pawar']",213970,2022-04-17 15:04:32.578,2022-04-17 15:04:32.578
625c2b57f0a5bc6c426c06b6,Goodfellas,1990,146 min,"Biography, Crime, Drama",8.7,0.9320208590213308,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",90.0,Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",1020727,2022-04-17 14:59:35.256,2022-04-17 14:59:35.256
625c2c2cf0a5bc6c426c084c,Spotlight,2015,129 min,"Biography, Crime, Drama",8.1,3.2704524436781335,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",93.0,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",420316,2022-04-17 15:03:08.199,2022-04-17 15:03:08.199
625c2d96f0a5bc6c426c0bda,Glory,1989,122 min,"Biography, Drama, History",7.8,1.724455022660084,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",78.0,Edward Zwick,"['Matthew Broderick', 'Denzel Washington', 'Cary Elwes', 'Morgan Freeman']",122779,2022-04-17 15:09:10.830,2022-04-17 15:09:10.830
625c2bcaf0a5bc6c426c076e,Amadeus,1984,160 min,"Biography, Drama, History",8.3,1.3485540924977124,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.",88.0,Milos Forman,"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']",369007,2022-04-17 15:01:30.786,2022-04-17 15:01:30.786
625c2ddaf0a5bc6c426c0cae,Ray,2004,152 min,"Biography, Drama, Music",7.7,2.359722815799458,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.",73.0,Taylor Hackford,"['Jamie Foxx', 'Regina King', 'Kerry Washington', 'Clifton Powell']",138356,2022-04-17 15:10:18.589,2022-04-17 15:10:18.589
625c2b5af0a5bc6c426c06bc,Hamilton,2020,160 min,"Biography, Drama, History",8.6,2.2094065692805422,"The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.",90.0,Thomas Kail,"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']",55291,2022-04-17 14:59:38.228,2022-04-17 14:59:38.228
625c2dfaf0a5bc6c426c0d3a,Serpico,1973,130 min,"Biography, Crime, Drama",7.7,1.064349282245547,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,87.0,Sidney Lumet,"['Al Pacino', 'John Randolph', 'Jack Kehoe', 'Biff McGuire']",109941,2022-04-17 15:10:50.613,2022-04-17 15:10:50.613
625c2bfaf0a5bc6c426c07d6,A Beautiful Mind,2001,135 min,"Biography, Drama",8.2,3.361926545587991,"After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",72.0,Ron Howard,"['Russell Crowe', 'Ed Harris', 'Jennifer Connelly', 'Christopher Plummer']",848920,2022-04-17 15:02:18.321,2022-04-17 15:02:18.321
625c2cc7f0a5bc6c426c0980,Mar adentro,2014,126 min,"Biography, Drama",8.0,1.4312562176014243,"The factual story of Spaniard Ramon Sampedro, who fought a thirty-year campaign in favor of euthanasia and his own right to die.",74.0,Alejandro Amenábar,"['Javier Bardem', 'Belén Rueda', 'Lola Dueñas', 'Mabel Rivera']",77554,2022-04-17 15:05:43.149,2022-04-17 15:05:43.149
625c2decf0a5bc6c426c0d00,Malcolm X,1992,202 min,"Biography, Drama, History",7.7,4.619424228654964,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.",73.0,Spike Lee,"['Denzel Washington', 'Angela Bassett', 'Delroy Lindo', 'Spike Lee']",85819,2022-04-17 15:10:36.826,2022-04-17 15:10:36.826
625c2dcef0a5bc6c426c0c7a,Argo,2012,120 min,"Biography, Drama, Thriller",7.7,2.7662923509444717,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",86.0,Ben Affleck,"['Ben Affleck', 'Bryan Cranston', 'John Goodman', 'Alan Arkin']",572581,2022-04-17 15:10:06.018,2022-04-17 15:10:06.018
625c2cd9f0a5bc6c426c09ce,Gandhi,1982,191 min,"Biography, Drama, History",8.0,2.7066713981185577,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,79.0,Richard Attenborough,"['Ben Kingsley', 'John Gielgud', 'Rohini Hattangadi', 'Roshan Seth']",217664,2022-04-17 15:06:01.180,2022-04-17 15:06:01.180
625c2c40f0a5bc6c426c086e,Hotel Rwanda,2004,121 min,"Biography, Drama, History",8.1,1.6392188208885738,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",79.0,Terry George,"['Don Cheadle', 'Sophie Okonedo', 'Joaquin Phoenix', 'Xolani Mali']",334320,2022-04-17 15:03:28.677,2022-04-17 15:03:28.677
625c2e2cf0a5bc6c426c0e08,The Hurricane,1999,146 min,"Biography, Drama, Sport",7.6,0.8635636846535011,"The story of Rubin 'Hurricane' Carter, a boxer wrongly imprisoned for murder, and the people who aided in his fight to prove his innocence.",74.0,Norman Jewison,"['Denzel Washington', 'Vicellous Shannon', 'Deborah Kara Unger', 'Liev Schreiber']",91557,2022-04-17 15:11:40.233,2022-04-17 15:11:40.233
625c2d5bf0a5bc6c426c0b2e,Pride,2014,119 min,"Biography, Comedy, Drama",7.8,3.2129165578376586,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,79.0,Matthew Warchus,"['Bill Nighy', 'Imelda Staunton', 'Dominic West', 'Paddy Considine']",51841,2022-04-17 15:08:11.858,2022-04-17 15:08:11.858
625c2cb7f0a5bc6c426c094c,The King's Speech,2010,118 min,"Biography, Drama, History",8.0,0.004753147470143437,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",88.0,Tom Hooper,"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Derek Jacobi']",639603,2022-04-17 15:05:27.308,2022-04-17 15:05:27.308
625c2e0ef0a5bc6c426c0d9a,Philomena,2013,98 min,"Biography, Comedy, Drama",7.6,4.020541062522661,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",77.0,Stephen Frears,"['Judi Dench', 'Steve Coogan', 'Sophie Kennedy Clark', 'Mare Winningham']",94212,2022-04-17 15:11:10.655,2022-04-17 15:11:10.655
