_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2cd8f0a5bc6c426c09c8,Au revoir les enfants,1987,104 min,"Drama, War",8.0,1.5687426903323765,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. He becomes the roommate of the top student in his class. Rivals at first, the roommates form a bond and share a secret.",88.0,Louis Malle,"['Gaspard Manesse', 'Raphael Fejtö', 'Francine Racette', 'Stanislas Carré de Malberg']",31163,2022-04-17 15:06:00.095,2022-04-17 15:06:00.095
625c2e38f0a5bc6c426c0e54,Giù la testa,1971,157 min,"Drama, War, Western",7.6,4.005714617615426,A low-life bandit and an I.R.A. explosives expert rebel against the government and become heroes of the Mexican Revolution.,77.0,Sergio Leone,"['Rod Steiger', 'James Coburn', 'Romolo Valli', 'Maria Monti']",30144,2022-04-17 15:11:52.930,2022-04-17 15:11:52.930
625c2c5cf0a5bc6c426c08c4,The Deer Hunter,1978,183 min,"Drama, War",8.1,3.6124131829337225,An in-depth examination of the ways in which the U.S. Vietnam War impacts and disrupts the lives of people in a small industrial town in Pennsylvania.,86.0,Michael Cimino,"['Robert De Niro', 'Christopher Walken', 'John Cazale', 'John Savage']",311361,2022-04-17 15:03:56.431,2022-04-17 15:03:56.431
625c2e3bf0a5bc6c426c0e64,Lifeboat,1944,97 min,"Drama, War",7.6,3.1802582533367563,Several survivors of a torpedoed merchant ship in World War II find themselves in the same lifeboat with one of the crew members of the U-boat that sank their ship.,78.0,Alfred Hitchcock,"['Tallulah Bankhead', 'John Hodiak', 'Walter Slezak', 'William Bendix']",26471,2022-04-17 15:11:55.530,2022-04-17 15:11:55.530
625c2ce7f0a5bc6c426c09f4,Doctor Zhivago,1965,197 min,"Drama, Romance, War",8.0,2.4804447835608734,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",69.0,David Lean,"['Omar Sharif', 'Julie Christie', 'Geraldine Chaplin', 'Rod Steiger']",69903,2022-04-17 15:06:15.770,2022-04-17 15:06:15.770
625c2c6df0a5bc6c426c08e8,Ivanovo detstvo,1962,95 min,"Drama, War",8.1,2.9519195919980126,"In WW2, twelve year old Soviet orphan Ivan Bondarev works for the Soviet army as a scout behind the German lines and strikes a friendship with three sympathetic Soviet officers.",,Andrei Tarkovsky,"['Eduard Abalov', 'Nikolay Burlyaev', 'Valentin Zubkov', 'Evgeniy Zharikov']",31728,2022-04-17 15:04:13.622,2022-04-17 15:04:13.622
625c2dddf0a5bc6c426c0cc4,Black Hawk Down,2001,144 min,"Drama, History, War",7.7,0.43834779700151816,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,74.0,Ridley Scott,"['Josh Hartnett', 'Ewan McGregor', 'Tom Sizemore', 'Eric Bana']",364254,2022-04-17 15:10:21.928,2022-04-17 15:10:21.928
625c2c79f0a5bc6c426c090e,La Grande Illusion,1937,113 min,"Drama, War",8.1,3.4327681472316787,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",,Jean Renoir,"['Jean Gabin', 'Dita Parlo', 'Pierre Fresnay', 'Erich von Stroheim']",33829,2022-04-17 15:04:25.971,2022-04-17 15:04:25.971
625c2be6f0a5bc6c426c07ac,Mandariinid,2013,87 min,"Drama, War",8.2,3.0435918417087615,"In 1992, war rages in Abkhazia, a breakaway region of Georgia. An Estonian man Ivo has decided to stay behind and harvest his crops of tangerines. In a bloody conflict at his door, a wounded man is left behind, and Ivo takes him in.",73.0,Zaza Urushadze,"['Lembit Ulfsak', 'Elmo Nüganen', 'Giorgi Nakashidze', 'Misha Meskhi']",40382,2022-04-17 15:01:58.285,2022-04-17 15:01:58.285
625c2e2df0a5bc6c426c0e0e,The Thin Red Line,1998,170 min,"Drama, War",7.6,0.7817434491541297,"Adaptation of James Jones' autobiographical 1962 novel, focusing on the conflict at Guadalcanal during the second World War.",78.0,Terrence Malick,"['Jim Caviezel', 'Sean Penn', 'Nick Nolte', 'Kirk Acevedo']",172710,2022-04-17 15:11:41.351,2022-04-17 15:11:41.351
