_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2dfbf0a5bc6c426c0d3e,Deliverance,1972,109 min,"Adventure, Drama, Thriller",7.7,4.638408248721717,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.",80.0,John Boorman,"['Jon Voight', 'Burt Reynolds', 'Ned Beatty', 'Ronny Cox']",98740,2022-04-17 15:10:51.590,2022-04-17 15:10:51.590
625c2cc2f0a5bc6c426c096a,Blood Diamond,2006,143 min,"Adventure, Drama, Thriller",8.0,4.614017206212029,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",64.0,Edward Zwick,"['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers']",499439,2022-04-17 15:05:38.749,2022-04-17 15:05:38.749
625c2bcdf0a5bc6c426c0774,Das Boot,1981,149 min,"Adventure, Drama, Thriller",8.3,3.467463510445814,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.",86.0,Wolfgang Petersen,"['Jürgen Prochnow', 'Herbert Grönemeyer', 'Klaus Wennemann', 'Hubertus Bengsch']",231855,2022-04-17 15:01:33.017,2022-04-17 15:01:33.017
625c2d39f0a5bc6c426c0aca,La montaña sagrada,1973,114 min,"Adventure, Drama, Fantasy",7.9,3.7951437233856167,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",76.0,Alejandro Jodorowsky,"['Alejandro Jodorowsky', 'Horacio Salinas', 'Zamira Saunders', 'Juan Ferrara']",37183,2022-04-17 15:07:37.256,2022-04-17 15:07:37.256
625c2e30f0a5bc6c426c0e20,Dead Man,1995,121 min,"Adventure, Drama, Fantasy",7.6,2.8623587792487095,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",62.0,Jim Jarmusch,"['Johnny Depp', 'Gary Farmer', 'Crispin Glover', 'Lance Henriksen']",90442,2022-04-17 15:11:44.114,2022-04-17 15:11:44.114
625c2bfbf0a5bc6c426c07e0,Heat,1995,170 min,"Crime, Drama, Thriller",8.2,3.958137797978565,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,76.0,Michael Mann,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",577113,2022-04-17 15:02:19.834,2022-04-17 15:02:19.834
625c2d85f0a5bc6c426c0b9a,Gongdong gyeongbi guyeok JSA,2000,110 min,"Action, Drama, Thriller",7.8,0.2943356849388823,"After a shooting incident at the North/South Korean border/DMZ leaves 2 North Korean soldiers dead, a neutral Swiss/Swedish team investigates, what actually happened.",58.0,Chan-wook Park,"['Lee Yeong-ae', 'Lee Byung-Hun', 'Kang-ho Song', 'Kim Tae-Woo']",26518,2022-04-17 15:08:53.953,2022-04-17 15:08:53.953
625c2c5ef0a5bc6c426c08ca,Barry Lyndon,1975,185 min,"Adventure, Drama, History",8.1,1.811410823150179,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,89.0,Stanley Kubrick,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger']",149843,2022-04-17 15:03:58.713,2022-04-17 15:03:58.713
625c2c7cf0a5bc6c426c091e,Togo,2019,113 min,"Adventure, Biography, Drama",8.0,3.8819420842253405,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",69.0,Ericson Core,"['Willem Dafoe', 'Julianne Nicholson', 'Christopher Heyerdahl', 'Richard Dormer']",37556,2022-04-17 15:04:28.769,2022-04-17 15:04:28.769
625c2bc8f0a5bc6c426c0766,Reservoir Dogs,1992,99 min,"Crime, Drama, Thriller",8.3,2.54028073683074,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",79.0,Quentin Tarantino,"['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn']",918562,2022-04-17 15:01:28.908,2022-04-17 15:01:28.908
625c2c08f0a5bc6c426c0802,Yôjinbô,1961,110 min,"Action, Drama, Thriller",8.2,4.337841290326461,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,,Akira Kurosawa,"['Toshirô Mifune', 'Eijirô Tôno', 'Tatsuya Nakadai', 'Yôko Tsukasa']",111244,2022-04-17 15:02:32.715,2022-04-17 15:02:32.715
625c2c0af0a5bc6c426c080c,Du rififi chez les hommes,1955,118 min,"Crime, Drama, Thriller",8.2,4.278959842629829,"Four men plan a technically perfect crime, but the human element intervenes...",97.0,Jules Dassin,"['Jean Servais', 'Carl Möhner', 'Robert Manuel', 'Janine Darcey']",28810,2022-04-17 15:02:34.141,2022-04-17 15:02:34.141
625c2c71f0a5bc6c426c08f8,The Bridge on the River Kwai,1957,161 min,"Adventure, Drama, War",8.1,3.1055210732228424,"British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors, not knowing that the allied forces are planning to destroy it.",87.0,David Lean,"['William Holden', 'Alec Guinness', 'Jack Hawkins', 'Sessue Hayakawa']",203463,2022-04-17 15:04:17.274,2022-04-17 15:04:17.274
625c2d84f0a5bc6c426c0b94,Diarios de motocicleta,2004,126 min,"Adventure, Biography, Drama",7.8,0.9101024559291748,The dramatization of a motorcycle road trip Che Guevara went on in his youth that showed him his life's calling.,75.0,Walter Salles,"['Gael García Bernal', 'Rodrigo De la Serna', 'Mía Maestro', 'Mercedes Morán']",96703,2022-04-17 15:08:52.774,2022-04-17 15:08:52.774
625c2e29f0a5bc6c426c0dee,Boksuneun naui geot,2002,129 min,"Crime, Drama, Thriller",7.6,3.179737002803803,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",56.0,Chan-wook Park,"['Kang-ho Song', 'Shin Ha-kyun', 'Bae Doona', 'Ji-Eun Lim']",62659,2022-04-17 15:11:37.126,2022-04-17 15:11:37.126
625c2c57f0a5bc6c426c08ba,Fitzcarraldo,1982,158 min,"Adventure, Drama",8.1,3.8126210455364262,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",,Werner Herzog,"['Klaus Kinski', 'Claudia Cardinale', 'José Lewgoy', 'Miguel Ángel Fuentes']",31595,2022-04-17 15:03:52.000,2022-04-17 15:03:52.000
625c2c6ff0a5bc6c426c08f2,Kakushi-toride no san-akunin,1958,139 min,"Adventure, Drama",8.1,0.7344966395143482,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",,Akira Kurosawa,"['Toshirô Mifune', 'Misa Uehara', 'Minoru Chiaki', 'Kamatari Fujiwara']",34797,2022-04-17 15:04:15.649,2022-04-17 15:04:15.649
625c2cf8f0a5bc6c426c0a44,Hunt for the Wilderpeople,2016,101 min,"Adventure, Comedy, Drama",7.9,0.7640630074896559,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,81.0,Taika Waititi,"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']",111483,2022-04-17 15:06:32.350,2022-04-17 15:06:32.350
625c2be5f0a5bc6c426c07aa,Queen,2013,146 min,"Adventure, Comedy, Drama",8.2,1.739595894614402,A Delhi girl from a traditional family sets out on a solo honeymoon after her marriage gets cancelled.,,Vikas Bahl,"['Kangana Ranaut', 'Rajkummar Rao', 'Lisa Haydon', 'Jeffrey Ho']",60701,2022-04-17 15:01:57.517,2022-04-17 15:01:57.517
625c2e09f0a5bc6c426c0d80,The Peanut Butter Falcon,2019,97 min,"Adventure, Comedy, Drama",7.6,3.5878341802601676,Zak runs away from his care home to make his dream of becoming a wrestler come true.,70.0,Tyler Nilson,"['Michael Schwartz', 'Zack Gottsagen', 'Ann Owens', 'Dakota Johnson']",66346,2022-04-17 15:11:05.819,2022-04-17 15:11:05.819
