_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2cb6f0a5bc6c426c0948,The Perks of Being a Wallflower,2012,103 min,"Drama, Romance",8.0,4.12409085836103,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,67.0,Stephen Chbosky,"['Logan Lerman', 'Emma Watson', 'Ezra Miller', 'Paul Rudd']",462252,2022-04-17 15:05:26.938,2022-04-17 15:05:26.938
625c2b71f0a5bc6c426c06f2,Nuovo Cinema Paradiso,1988,155 min,"Drama, Romance",8.5,2.6788782327982164,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,80.0,Giuseppe Tornatore,"['Philippe Noiret', 'Enzo Cannavale', 'Antonella Attili', 'Isa Danieli']",230763,2022-04-17 15:00:01.104,2022-04-17 15:00:01.104
625c2d5cf0a5bc6c426c0b34,The Lunchbox,2013,104 min,"Drama, Romance",7.8,0.3264388998341605,A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,76.0,Ritesh Batra,"['Irrfan Khan', 'Nimrat Kaur', 'Nawazuddin Siddiqui', 'Lillete Dubey']",50523,2022-04-17 15:08:12.492,2022-04-17 15:08:12.492
625c2cc6f0a5bc6c426c097e,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,2003,103 min,"Drama, Romance",8.0,3.7262320306777355,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,85.0,Ki-duk Kim,"['Ki-duk Kim', 'Yeong-su Oh', 'Jong-ho Kim', 'Kim Young-Min']",77520,2022-04-17 15:05:42.946,2022-04-17 15:05:42.946
625c2e30f0a5bc6c426c0e22,The Bridges of Madison County,1995,135 min,"Drama, Romance",7.6,0.2894932051535615,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,69.0,Clint Eastwood,"['Clint Eastwood', 'Meryl Streep', 'Annie Corley', 'Victor Slezak']",73172,2022-04-17 15:11:44.423,2022-04-17 15:11:44.423
625c2e15f0a5bc6c426c0daa,Hævnen,2010,118 min,"Drama, Romance",7.6,0.8152034985683609,"The lives of two Danish families cross each other, and an extraordinary but risky friendship comes into bud. But loneliness, frailty and sorrow lie in wait.",65.0,Susanne Bier,"['Mikael Persbrandt', 'Trine Dyrholm', 'Markus Rygaard', 'Wil Johnson']",38491,2022-04-17 15:11:17.799,2022-04-17 15:11:17.799
625c2d84f0a5bc6c426c0b92,The Notebook,2004,123 min,"Drama, Romance",7.8,4.811816390170578,"A poor yet passionate young man falls in love with a rich young woman, giving her a sense of freedom, but they are soon separated because of their social differences.",53.0,Nick Cassavetes,"['Gena Rowlands', 'James Garner', 'Rachel McAdams', 'Ryan Gosling']",520284,2022-04-17 15:08:52.563,2022-04-17 15:08:52.563
625c2c75f0a5bc6c426c0904,The Red Shoes,1948,135 min,"Drama, Music, Romance",8.1,0.5685666044611248,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,,Michael Powell,"['Emeric Pressburger', 'Anton Walbrook', 'Marius Goring', 'Moira Shearer']",30935,2022-04-17 15:04:21.882,2022-04-17 15:04:21.882
625c2dc1f0a5bc6c426c0c4e,The Fault in Our Stars,2014,126 min,"Drama, Romance",7.7,1.8846504309046053,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,69.0,Josh Boone,"['Shailene Woodley', 'Ansel Elgort', 'Nat Wolff', 'Laura Dern']",344312,2022-04-17 15:09:53.667,2022-04-17 15:09:53.667
625c2e2ff0a5bc6c426c0e1c,Sense and Sensibility,1995,136 min,"Drama, Romance",7.6,2.917972245288408,"Rich Mr. Dashwood dies, leaving his second wife and her three daughters poor by the rules of inheritance. The two eldest daughters are the title opposites.",84.0,Ang Lee,"['Emma Thompson', 'Kate Winslet', 'James Fleet', 'Tom Wilkinson']",102598,2022-04-17 15:11:43.728,2022-04-17 15:11:43.728
625c2db7f0a5bc6c426c0c3a,God's Own Country,2017,104 min,"Drama, Romance",7.7,0.8823427683595797,"Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",85.0,Francis Lee,"[""Josh O'Connor"", 'Alec Secareanu', 'Gemma Jones', 'Ian Hart']",25198,2022-04-17 15:09:43.696,2022-04-17 15:09:43.696
625c2d7ef0a5bc6c426c0b80,The Curious Case of Benjamin Button,2008,166 min,"Drama, Fantasy, Romance",7.8,1.0792730632497038,"Tells the story of Benjamin Button, a man who starts aging backwards with consequences.",70.0,David Fincher,"['Brad Pitt', 'Cate Blanchett', 'Tilda Swinton', 'Julia Ormond']",589160,2022-04-17 15:08:46.147,2022-04-17 15:08:46.147
625c2b54f0a5bc6c426c06ae,Forrest Gump,1994,142 min,"Drama, Romance",8.8,4.476678813544045,"The presidencies of Kennedy and Johnson, the events of Vietnam, Watergate and other historical events unfold through the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.",82.0,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']",1809221,2022-04-17 14:59:32.773,2022-04-17 14:59:32.773
625c2bc3f0a5bc6c426c0754,Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi",8.3,0.00921502275041508,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.",89.0,Michel Gondry,"['Jim Carrey', 'Kate Winslet', 'Tom Wilkinson', 'Gerry Robert Byrne']",911664,2022-04-17 15:01:23.822,2022-04-17 15:01:23.822
625c2d92f0a5bc6c426c0bc2,The Remains of the Day,1993,134 min,"Drama, Romance",7.8,4.99885732754575,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,84.0,James Ivory,"['Anthony Hopkins', 'Emma Thompson', 'John Haycraft', 'Christopher Reeve']",66065,2022-04-17 15:09:06.014,2022-04-17 15:09:06.014
625c2da2f0a5bc6c426c0bfc,Days of Heaven,1978,94 min,"Drama, Romance",7.8,0.4110232523207591,A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,93.0,Terrence Malick,"['Richard Gere', 'Brooke Adams', 'Sam Shepard', 'Linda Manz']",52852,2022-04-17 15:09:22.403,2022-04-17 15:09:22.403
625c2dd8f0a5bc6c426c0ca2,Brokeback Mountain,2005,134 min,"Drama, Romance",7.7,1.3978929170308418,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",87.0,Ang Lee,"['Jake Gyllenhaal', 'Heath Ledger', 'Michelle Williams', 'Randy Quaid']",323103,2022-04-17 15:10:16.680,2022-04-17 15:10:16.680
625c2db1f0a5bc6c426c0c1c,Jules et Jim,1962,105 min,"Drama, Romance",7.8,3.9598925815221886,Decades of a love triangle concerning two friends and an impulsive woman.,97.0,François Truffaut,"['Jeanne Moreau', 'Oskar Werner', 'Henri Serre', 'Vanna Urbino']",37605,2022-04-17 15:09:37.584,2022-04-17 15:09:37.584
