_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2bdef0a5bc6c426c079a,Uri: The Surgical Strike,2018,138 min,"Action, Drama, War",8.2,1.945032388442085,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",,Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']",43444,2022-04-17 15:01:50.445,2022-04-17 15:01:50.445
625c2bdff0a5bc6c426c079c,K.G.F: Chapter 1,2018,156 min,"Action, Drama",8.2,2.031586741323016,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",,Prashanth Neel,"['Yash', 'Srinidhi Shetty', 'Ramachandra Raju', 'Archana Jois']",36680,2022-04-17 15:01:51.549,2022-04-17 15:01:51.549
625c2b55f0a5bc6c426c06b2,The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",8.7,4.581141589278673,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",87.0,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']",1485555,2022-04-17 14:59:33.779,2022-04-17 14:59:33.779
625c2db6f0a5bc6c426c0c34,Scarface: The Shame of the Nation,1932,93 min,"Action, Crime, Drama",7.8,1.0122598425791884,"An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",87.0,Howard Hawks,"['Richard Rosson', 'Paul Muni', 'Ann Dvorak', 'Karen Morley']",25312,2022-04-17 15:09:42.671,2022-04-17 15:09:42.671
625c2d92f0a5bc6c426c0bc6,The Fugitive,1993,130 min,"Action, Crime, Drama",7.8,4.058623089063243,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",87.0,Andrew Davis,"['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward', 'Julianne Moore']",267684,2022-04-17 15:09:06.523,2022-04-17 15:09:06.523
625c2cb6f0a5bc6c426c0946,The Revenant,2015,156 min,"Action, Adventure, Drama",8.0,1.0066501383954096,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,76.0,Alejandro G. Iñárritu,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson']",705589,2022-04-17 15:05:26.747,2022-04-17 15:05:26.747
625c2d54f0a5bc6c426c0b1a,Udta Punjab,2016,148 min,"Action, Crime, Drama",7.8,3.6522573054091767,A story that revolves around drug abuse in the affluent north Indian State of Punjab and how the youth there have succumbed to it en-masse resulting in a socio-economic decline.,,Abhishek Chaubey,"['Shahid Kapoor', 'Alia Bhatt', 'Kareena Kapoor', 'Diljit Dosanjh']",27175,2022-04-17 15:08:04.060,2022-04-17 15:08:04.060
625c2cb7f0a5bc6c426c094a,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 min,"Action, Crime, Drama",8.0,3.0995381918906837,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",71.0,José Padilha,"['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz']",79200,2022-04-17 15:05:27.121,2022-04-17 15:05:27.121
625c2be1f0a5bc6c426c07a4,Baahubali 2: The Conclusion,2017,167 min,"Action, Drama",8.2,2.4993116785348626,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",,S.S. Rajamouli,"['Prabhas', 'Rana Daggubati', 'Anushka Shetty', 'Tamannaah Bhatia']",75348,2022-04-17 15:01:53.893,2022-04-17 15:01:53.893
625c2b48f0a5bc6c426c069c,The Dark Knight,2008,152 min,"Action, Crime, Drama",9.0,1.169399698222372,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84.0,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",2303232,2022-04-17 14:59:20.618,2022-04-17 14:59:20.618
