_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c82f0a5bc6c426c093a,Serbuan maut 2: Berandal,2014,150 min,"Action, Crime, Thriller",8.0,1.2011263955245233,"Only a short time after the first raid, Rama goes undercover with the thugs of Jakarta and plans to bring down the syndicate and uncover the corruption within his police force.",71.0,Gareth Evans,"['Iko Uwais', 'Yayan Ruhian', 'Arifin Putra', 'Oka Antara']",114316,2022-04-17 15:04:34.828,2022-04-17 15:04:34.828
625c2d93f0a5bc6c426c0bcc,Lat sau san taam,1992,128 min,"Action, Crime, Thriller",7.8,0.974785003648081,A tough-as-nails cop teams up with an undercover agent to shut down a sinister mobster and his crew.,,John Woo,"['Yun-Fat Chow', 'Tony Chiu-Wai Leung', 'Teresa Mo', 'Philip Chan']",46700,2022-04-17 15:09:07.764,2022-04-17 15:09:07.764
625c2dfcf0a5bc6c426c0d42,Dirty Harry,1971,102 min,"Action, Crime, Thriller",7.7,2.891500040832317,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.",90.0,Don Siegel,"['Clint Eastwood', 'Andrew Robinson', 'Harry Guardino', 'Reni Santoni']",143292,2022-04-17 15:10:52.527,2022-04-17 15:10:52.527
625c2c42f0a5bc6c426c087a,Kill Bill: Vol. 1,2003,111 min,"Action, Crime, Drama",8.1,3.452438236538349,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",69.0,Quentin Tarantino,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']",1000639,2022-04-17 15:03:30.525,2022-04-17 15:03:30.525
625c2c7df0a5bc6c426c0924,Baby,2015,159 min,"Action, Crime, Thriller",8.0,0.176076261442617,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",,Neeraj Pandey,"['Akshay Kumar', 'Danny Denzongpa', 'Rana Daggubati', 'Taapsee Pannu']",52848,2022-04-17 15:04:29.383,2022-04-17 15:04:29.383
625c2d62f0a5bc6c426c0b58,Chugyeokja,2008,125 min,"Action, Crime, Thriller",7.8,4.564022626044695,A disgraced ex-policeman who runs a small ring of prostitutes finds himself in a race against time when one of his women goes missing.,64.0,Hong-jin Na,"['Kim Yoon-seok', 'Jung-woo Ha', 'Yeong-hie Seo', 'Yoo-Jeong Kim']",58468,2022-04-17 15:08:18.396,2022-04-17 15:08:18.396
625c2d8af0a5bc6c426c0ba8,The Boondock Saints,1999,108 min,"Action, Crime, Thriller",7.8,0.4136619232518324,Two Irish Catholic brothers become vigilantes and wipe out Boston's criminal underworld in the name of God.,44.0,Troy Duffy,"['Willem Dafoe', 'Sean Patrick Flanery', 'Norman Reedus', 'David Della Rocco']",227143,2022-04-17 15:08:58.294,2022-04-17 15:08:58.294
625c2cb7f0a5bc6c426c094a,Tropa de Elite 2: O Inimigo Agora é Outro,2010,115 min,"Action, Crime, Drama",8.0,3.0995381918906837,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",71.0,José Padilha,"['Wagner Moura', 'Irandhir Santos', 'André Ramiro', 'Milhem Cortaz']",79200,2022-04-17 15:05:27.121,2022-04-17 15:05:27.121
625c2e35f0a5bc6c426c0e3e,Lethal Weapon,1987,109 min,"Action, Crime, Thriller",7.6,4.045014003507644,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,68.0,Richard Donner,"['Mel Gibson', 'Danny Glover', 'Gary Busey', 'Mitchell Ryan']",236894,2022-04-17 15:11:49.291,2022-04-17 15:11:49.291
625c2be9f0a5bc6c426c07b4,Paan Singh Tomar,2012,135 min,"Action, Biography, Crime",8.2,2.035103983603772,"The story of Paan Singh Tomar, an Indian athlete and seven-time national steeplechase champion who becomes one of the most feared dacoits in Chambal Valley after his retirement.",,Tigmanshu Dhulia,"['Irrfan Khan', 'Mahie Gill', 'Rajesh Abhay', 'Hemendra Dandotiya']",33237,2022-04-17 15:02:01.339,2022-04-17 15:02:01.339
