_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2e35f0a5bc6c426c0e3c,"Planes, Trains & Automobiles",1987,93 min,"Comedy, Drama",7.6,1.5886605681607313,A man must struggle to travel home for Thanksgiving with a lovable oaf of a shower curtain ring salesman as his only companion.,72.0,John Hughes,"['Steve Martin', 'John Candy', 'Laila Robins', 'Michael McKean']",124773,2022-04-17 15:11:49.096,2022-04-17 15:11:49.096
625c2d36f0a5bc6c426c0ab4,Crimes and Misdemeanors,1989,104 min,"Comedy, Drama",7.9,4.249972624003453,An ophthalmologist's mistress threatens to reveal their affair to his wife while a married documentary filmmaker is infatuated with another woman.,77.0,Woody Allen,"['Martin Landau', 'Woody Allen', 'Bill Bernstein', 'Claire Bloom']",54670,2022-04-17 15:07:34.158,2022-04-17 15:07:34.158
625c2df0f0a5bc6c426c0d14,Withnail & I,1987,107 min,"Comedy, Drama",7.7,1.92257452757706,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",84.0,Bruce Robinson,"['Richard E. Grant', 'Paul McGann', 'Richard Griffiths', 'Ralph Brown']",40396,2022-04-17 15:10:40.872,2022-04-17 15:10:40.872
625c2e2af0a5bc6c426c0dfa,The Royal Tenenbaums,2001,110 min,"Comedy, Drama",7.6,4.470595798673232,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,76.0,Wes Anderson,"['Gene Hackman', 'Gwyneth Paltrow', 'Anjelica Huston', 'Ben Stiller']",266842,2022-04-17 15:11:38.383,2022-04-17 15:11:38.383
625c2ceaf0a5bc6c426c09fe,La dolce vita,1960,174 min,"Comedy, Drama",8.0,2.5968532759262377,A series of stories following a week in the life of a philandering paparazzo journalist living in Rome.,95.0,Federico Fellini,"['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux']",66621,2022-04-17 15:06:18.642,2022-04-17 15:06:18.642
625c2d7df0a5bc6c426c0b7c,Little Miss Sunshine,2006,101 min,"Comedy, Drama",7.8,3.547795617340049,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,80.0,Jonathan Dayton,"['Valerie Faris', 'Steve Carell', 'Toni Collette', 'Greg Kinnear']",439856,2022-04-17 15:08:45.694,2022-04-17 15:08:45.694
625c2cfbf0a5bc6c426c0a46,Captain Fantastic,2016,118 min,"Comedy, Drama",7.9,3.5701799330001927,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",72.0,Matt Ross,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']",189400,2022-04-17 15:06:35.672,2022-04-17 15:06:35.672
625c2d22f0a5bc6c426c0a80,C.R.A.Z.Y.,2005,129 min,"Comedy, Drama",7.9,4.813812645866239,"A young French-Canadian, growing up in the 1960s and 1970s, struggles to reconcile his emerging homosexuality with his father's conservative values and his own Catholic beliefs.",81.0,Jean-Marc Vallée,"['Michel Côté', 'Marc-André Grondin', 'Danielle Proulx', 'Émile Vallée']",31476,2022-04-17 15:07:14.361,2022-04-17 15:07:14.361
625c2b75f0a5bc6c426c06fe,Modern Times,1936,87 min,"Comedy, Drama, Family",8.5,1.8900338552463936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,96.0,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']",217881,2022-04-17 15:00:05.978,2022-04-17 15:00:05.978
625c2cf3f0a5bc6c426c0a2e,La règle du jeu,1939,110 min,"Comedy, Drama",8.0,4.752221594103673,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau.",,Jean Renoir,"['Marcel Dalio', 'Nora Gregor', 'Paulette Dubost', 'Mila Parély']",26725,2022-04-17 15:06:27.065,2022-04-17 15:06:27.065
625c2dc2f0a5bc6c426c0c52,Birdman or (The Unexpected Virtue of Ignorance),2014,119 min,"Comedy, Drama",7.7,4.553679555103512,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",87.0,Alejandro G. Iñárritu,"['Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough']",580291,2022-04-17 15:09:54.052,2022-04-17 15:09:54.052
625c2e28f0a5bc6c426c0dea,The Station Agent,2003,89 min,"Comedy, Drama",7.6,1.6071186781185098,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",81.0,Tom McCarthy,"['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale', 'Paul Benjamin']",67370,2022-04-17 15:11:36.717,2022-04-17 15:11:36.717
625c2dc1f0a5bc6c426c0c50,Me and Earl and the Dying Girl,2015,105 min,"Comedy, Drama",7.7,2.728453884274172,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",74.0,Alfonso Gomez-Rejon,"['Thomas Mann', 'RJ Cyler', 'Olivia Cooke', 'Nick Offerman']",123210,2022-04-17 15:09:53.862,2022-04-17 15:09:53.862
625c2d36f0a5bc6c426c0ab8,Hannah and Her Sisters,1986,107 min,"Comedy, Drama",7.9,4.642597871772004,"Between two Thanksgivings two years apart, Hannah's husband falls in love with her sister Lee, while her hypochondriac ex-husband rekindles his relationship with her sister Holly.",90.0,Woody Allen,"['Mia Farrow', 'Dianne Wiest', 'Michael Caine', 'Barbara Hershey']",67176,2022-04-17 15:07:34.584,2022-04-17 15:07:34.584
625c2d25f0a5bc6c426c0a92,No Man's Land,2001,98 min,"Comedy, Drama, War",7.9,4.755106435844839,"Bosnia and Herzegovina during 1993 at the time of the heaviest fighting between the two warring sides. Two soldiers from opposing sides in the conflict, Nino and Ciki, become trapped in no man's land, whilst a third soldier becomes a living booby trap.",84.0,Danis Tanovic,"['Branko Djuric', 'Rene Bitorajac', 'Filip Sovagovic', 'Georges Siatidis']",44618,2022-04-17 15:07:17.902,2022-04-17 15:07:17.902
625c2e3af0a5bc6c426c0e5e,Breakfast at Tiffany's,1961,115 min,"Comedy, Drama, Romance",7.6,4.500083626690996,"A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.",76.0,Blake Edwards,"['Audrey Hepburn', 'George Peppard', 'Patricia Neal', 'Buddy Ebsen']",166544,2022-04-17 15:11:54.560,2022-04-17 15:11:54.560
625c2e08f0a5bc6c426c0d76,Once Upon a Time... in Hollywood,2019,161 min,"Comedy, Drama",7.6,2.0921399892452297,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,83.0,Quentin Tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch']",551309,2022-04-17 15:11:04.191,2022-04-17 15:11:04.191
625c2c52f0a5bc6c426c08a2,Chung Hing sam lam,1994,102 min,"Comedy, Crime, Drama",8.1,4.7931157129214155,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.",77.0,Kar-Wai Wong,"['Brigitte Lin', 'Takeshi Kaneshiro', 'Tony Chiu-Wai Leung', 'Faye Wong']",63122,2022-04-17 15:03:46.968,2022-04-17 15:03:46.968
625c2decf0a5bc6c426c0cfe,The Muppet Christmas Carol,1992,85 min,"Comedy, Drama, Family",7.7,4.436602821247333,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,64.0,Brian Henson,"['Michael Caine', 'Kermit the Frog', 'Dave Goelz', 'Miss Piggy']",50298,2022-04-17 15:10:36.560,2022-04-17 15:10:36.560
625c2d93f0a5bc6c426c0bce,Night on Earth,1991,129 min,"Comedy, Drama",7.8,4.161643098692561,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,68.0,Jim Jarmusch,"['Winona Ryder', 'Gena Rowlands', 'Lisanne Falk', 'Alan Randolph Scott']",55362,2022-04-17 15:09:07.963,2022-04-17 15:09:07.963
