_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2bb2f0a5bc6c426c0726,Once Upon a Time in America,1984,229 min,"Crime, Drama",8.4,1.3927572089042162,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan over thirty years later, where he once again must confront the ghosts and regrets of his old life.",,Sergio Leone,"['Robert De Niro', 'James Woods', 'Elizabeth McGovern', 'Treat Williams']",311365,2022-04-17 15:01:06.276,2022-04-17 15:01:06.276
625c2c08f0a5bc6c426c0800,To Kill a Mockingbird,1962,129 min,"Crime, Drama",8.2,1.7370790796341418,"Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.",88.0,Robert Mulligan,"['Gregory Peck', 'John Megna', 'Frank Overton', 'Rosemary Murphy']",293811,2022-04-17 15:02:32.506,2022-04-17 15:02:32.506
625c2ccef0a5bc6c426c0998,Dancer in the Dark,2000,140 min,"Crime, Drama, Musical",8.0,2.603224951332841,"An East European girl travels to the United States with her young son, expecting it to be like a Hollywood film.",61.0,Lars von Trier,"['Björk', 'Catherine Deneuve', 'David Morse', 'Peter Stormare']",102285,2022-04-17 15:05:50.637,2022-04-17 15:05:50.637
625c2d95f0a5bc6c426c0bd2,Boyz n the Hood,1991,112 min,"Crime, Drama",7.8,2.2531176555395604,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",76.0,John Singleton,"['Cuba Gooding Jr.', 'Laurence Fishburne', 'Hudhail Al-Amir', 'Lloyd Avery II']",126082,2022-04-17 15:09:09.508,2022-04-17 15:09:09.508
625c2cf1f0a5bc6c426c0a1e,Out of the Past,1947,97 min,"Crime, Drama, Film-Noir",8.0,4.244052706923034,"A private eye escapes his past to run a gas station in a small town, but his past catches up with him. Now he must return to the big city world of danger, corruption, double crosses and duplicitous dames.",,Jacques Tourneur,"['Robert Mitchum', 'Jane Greer', 'Kirk Douglas', 'Rhonda Fleming']",32784,2022-04-17 15:06:25.014,2022-04-17 15:06:25.014
625c2c72f0a5bc6c426c08fa,On the Waterfront,1954,108 min,"Crime, Drama, Thriller",8.1,1.8318265745719575,An ex-prize fighter turned longshoreman struggles to stand up to his corrupt union bosses.,91.0,Elia Kazan,"['Marlon Brando', 'Karl Malden', 'Lee J. Cobb', 'Rod Steiger']",142107,2022-04-17 15:04:18.681,2022-04-17 15:04:18.681
625c2ddef0a5bc6c426c0cc6,Road to Perdition,2002,117 min,"Crime, Drama, Thriller",7.7,3.097118581499317,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.",72.0,Sam Mendes,"['Tom Hanks', 'Tyler Hoechlin', 'Rob Maxey', 'Liam Aiken']",246840,2022-04-17 15:10:22.140,2022-04-17 15:10:22.140
625c2e23f0a5bc6c426c0dca,Inside Man,2006,129 min,"Crime, Drama, Mystery",7.6,1.3746465846292977,"A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation.",76.0,Spike Lee,"['Denzel Washington', 'Clive Owen', 'Jodie Foster', 'Christopher Plummer']",339757,2022-04-17 15:11:31.860,2022-04-17 15:11:31.860
625c2d3bf0a5bc6c426c0adc,In the Heat of the Night,1967,110 min,"Crime, Drama, Mystery",7.9,2.760959040196221,A black police detective is asked to investigate a murder in a racially hostile southern town.,75.0,Norman Jewison,"['Sidney Poitier', 'Rod Steiger', 'Warren Oates', 'Lee Grant']",67804,2022-04-17 15:07:39.696,2022-04-17 15:07:39.696
625c2b4cf0a5bc6c426c069e,The Godfather: Part II,1974,202 min,"Crime, Drama",9.0,4.8909190356088175,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",90.0,Francis Ford Coppola,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",1129952,2022-04-17 14:59:24.973,2022-04-17 14:59:24.973
625c2cecf0a5bc6c426c0a04,Touch of Evil,1958,95 min,"Crime, Drama, Film-Noir",8.0,4.724336272815243,"A stark, perverse story of murder, kidnapping, and police corruption in a Mexican border town.",99.0,Orson Welles,"['Charlton Heston', 'Orson Welles', 'Janet Leigh', 'Joseph Calleia']",98431,2022-04-17 15:06:20.976,2022-04-17 15:06:20.976
625c2d60f0a5bc6c426c0b4e,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",7.8,1.4927004395228083,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",71.0,David Fincher,"['Daniel Craig', 'Rooney Mara', 'Christopher Plummer', 'Stellan Skarsgård']",423010,2022-04-17 15:08:16.635,2022-04-17 15:08:16.635
625c2dabf0a5bc6c426c0c06,The Day of the Jackal,1973,143 min,"Crime, Drama, Thriller",7.8,2.653651100401495,"A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",80.0,Fred Zinnemann,"['Edward Fox', 'Terence Alexander', 'Michel Auclair', 'Alan Badel']",37445,2022-04-17 15:09:31.922,2022-04-17 15:09:31.922
625c2bcdf0a5bc6c426c0776,Taxi Driver,1976,114 min,"Crime, Drama",8.3,3.9121916868713837,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action by attempting to liberate a presidential campaign worker and an underage prostitute.",94.0,Martin Scorsese,"['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']",724636,2022-04-17 15:01:33.218,2022-04-17 15:01:33.218
