_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2e33f0a5bc6c426c0e38,The Little Mermaid,1989,83 min,"Animation, Family, Fantasy",7.6,3.783456984683742,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,88.0,Ron Clements,"['John Musker', 'Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois']",237696,2022-04-17 15:11:47.627,2022-04-17 15:11:47.627
625c2c02f0a5bc6c426c07ec,Tonari no Totoro,1988,86 min,"Animation, Family, Fantasy",8.2,4.553388014379108,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",86.0,Hayao Miyazaki,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi']",291180,2022-04-17 15:02:26.521,2022-04-17 15:02:26.521
625c2cd1f0a5bc6c426c09ae,The Nightmare Before Christmas,1993,76 min,"Animation, Family, Fantasy",8.0,3.62962422253314,"Jack Skellington, king of Halloween Town, discovers Christmas Town, but his attempts to bring Christmas to his home causes confusion.",82.0,Henry Selick,"['Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey']",300208,2022-04-17 15:05:53.503,2022-04-17 15:05:53.503
625c2ddaf0a5bc6c426c0cb2,Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",7.7,0.5576747502305979,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",81.0,Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']",548619,2022-04-17 15:10:18.979,2022-04-17 15:10:18.979
625c2e04f0a5bc6c426c0d6e,Fantasia,1940,125 min,"Animation, Family, Fantasy",7.7,3.8447569862340316,A collection of animated interpretations of great works of Western classical music.,96.0,James Algar,"['Samuel Armstrong', 'Ford Beebe Jr.', 'Norman Ferguson', 'David Hand']",88662,2022-04-17 15:11:00.202,2022-04-17 15:11:00.202
625c2e23f0a5bc6c426c0dc8,The Secret of Kells,2009,71 min,"Animation, Adventure, Family",7.6,4.344502342295135,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",81.0,Tomm Moore,"['Nora Twomey', 'Evan McGuire', 'Brendan Gleeson', 'Mick Lally']",31779,2022-04-17 15:11:31.651,2022-04-17 15:11:31.651
625c2cf2f0a5bc6c426c0a2c,The Wizard of Oz,1939,102 min,"Adventure, Family, Fantasy",8.0,0.66838051222605,Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,92.0,Victor Fleming,"['George Cukor', 'Mervyn LeRoy', 'Norman Taurog', 'Richard Thorpe']",371379,2022-04-17 15:06:26.422,2022-04-17 15:06:26.422
625c2e2af0a5bc6c426c0dfe,Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",7.6,4.3078390977915095,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",64.0,Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint', 'Richard Harris', 'Maggie Smith']",658185,2022-04-17 15:11:38.799,2022-04-17 15:11:38.799
625c2d25f0a5bc6c426c0a8c,Harry Potter and the Prisoner of Azkaban,2004,142 min,"Adventure, Family, Fantasy",7.9,1.6095415323142759,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",82.0,Alfonso Cuarón,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Richard Griffiths']",552493,2022-04-17 15:07:17.267,2022-04-17 15:07:17.267
625c2e39f0a5bc6c426c0e58,The Jungle Book,1967,78 min,"Animation, Adventure, Family",7.6,4.563968988509217,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,65.0,Wolfgang Reitherman,"['Phil Harris', 'Sebastian Cabot', 'Louis Prima', 'Bruce Reitherman']",166409,2022-04-17 15:11:53.922,2022-04-17 15:11:53.922
