_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c74f0a5bc6c426c08fe,Ace in the Hole,1951,111 min,"Drama, Film-Noir",8.1,0.516348350253335,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",72.0,Billy Wilder,"['Kirk Douglas', 'Jan Sterling', 'Robert Arthur', 'Porter Hall']",31568,2022-04-17 15:04:20.214,2022-04-17 15:04:20.214
625c2bbdf0a5bc6c426c073c,Sunset Blvd.,1950,110 min,"Drama, Film-Noir",8.4,2.4851408637275707,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,,Billy Wilder,"['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']",201632,2022-04-17 15:01:17.844,2022-04-17 15:01:17.844
625c2e03f0a5bc6c426c0d6c,Gilda,1946,110 min,"Drama, Film-Noir, Romance",7.7,1.6665187617327104,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,,Charles Vidor,"['Rita Hayworth', 'Glenn Ford', 'George Macready', 'Joseph Calleia']",27991,2022-04-17 15:10:59.995,2022-04-17 15:10:59.995
625c2d49f0a5bc6c426c0afa,The Lost Weekend,1945,101 min,"Drama, Film-Noir",7.9,4.3549087251654495,The desperate life of a chronic alcoholic is followed through a four-day drinking bout.,,Billy Wilder,"['Ray Milland', 'Jane Wyman', 'Phillip Terry', 'Howard Da Silva']",33549,2022-04-17 15:07:53.759,2022-04-17 15:07:53.759
625c2bc9f0a5bc6c426c0768,Full Metal Jacket,1987,116 min,"Drama, War",8.3,3.5406088506166844,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,76.0,Stanley Kubrick,"['Matthew Modine', 'R. Lee Ermey', ""Vincent D'Onofrio"", 'Adam Baldwin']",675146,2022-04-17 15:01:29.583,2022-04-17 15:01:29.583
625c2cf0f0a5bc6c426c0a18,In a Lonely Place,1950,94 min,"Drama, Film-Noir, Mystery",8.0,3.254007532307134,"A potentially violent screenwriter is a murder suspect until his lovely neighbor clears him. However, she soon starts to have her doubts.",,Nicholas Ray,"['Humphrey Bogart', 'Gloria Grahame', 'Frank Lovejoy', 'Carl Benton Reid']",26784,2022-04-17 15:06:24.431,2022-04-17 15:06:24.431
625c2c34f0a5bc6c426c085a,Gran Torino,2008,116 min,Drama,8.1,0.9276259140771848,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",72.0,Clint Eastwood,"['Clint Eastwood', 'Bee Vang', 'Christopher Carley', 'Ahney Her']",720450,2022-04-17 15:03:16.928,2022-04-17 15:03:16.928
625c2cf1f0a5bc6c426c0a22,Laura,1944,88 min,"Drama, Film-Noir, Mystery",8.0,1.8554926281634043,A police detective falls in love with the woman whose murder he is investigating.,,Otto Preminger,"['Gene Tierney', 'Dana Andrews', 'Clifton Webb', 'Vincent Price']",42725,2022-04-17 15:06:25.405,2022-04-17 15:06:25.405
625c2daef0a5bc6c426c0c0e,Midnight Cowboy,1969,113 min,Drama,7.8,4.224138388021959,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",79.0,John Schlesinger,"['Dustin Hoffman', 'Jon Voight', 'Sylvia Miles', 'John McGiver']",101124,2022-04-17 15:09:34.643,2022-04-17 15:09:34.643
625c2e30f0a5bc6c426c0e22,The Bridges of Madison County,1995,135 min,"Drama, Romance",7.6,0.2894932051535615,Photographer Robert Kincaid wanders into the life of housewife Francesca Johnson for four days in the 1960s.,69.0,Clint Eastwood,"['Clint Eastwood', 'Meryl Streep', 'Annie Corley', 'Victor Slezak']",73172,2022-04-17 15:11:44.423,2022-04-17 15:11:44.423
625c2cedf0a5bc6c426c0a06,Cat on a Hot Tin Roof,1958,108 min,Drama,8.0,2.822216147247852,Brick is an alcoholic ex-football player who drinks his days away and resists the affections of his wife. A reunion with his terminal father jogs a host of memories and revelations for both father and son.,84.0,Richard Brooks,"['Elizabeth Taylor', 'Paul Newman', 'Burl Ives', 'Jack Carson']",45062,2022-04-17 15:06:21.724,2022-04-17 15:06:21.724
625c2bc5f0a5bc6c426c075c,American Beauty,1999,122 min,Drama,8.3,3.079981612315301,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,84.0,Sam Mendes,"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']",1069738,2022-04-17 15:01:25.820,2022-04-17 15:01:25.820
625c2cd4f0a5bc6c426c09c0,Rain Man,1988,133 min,Drama,8.0,1.7469463745237956,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,65.0,Barry Levinson,"['Dustin Hoffman', 'Tom Cruise', 'Valeria Golino', 'Gerald R. Molen']",473064,2022-04-17 15:05:56.706,2022-04-17 15:05:56.706
625c2e36f0a5bc6c426c0e42,On Golden Pond,1981,109 min,Drama,7.6,0.766619410123125,"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",68.0,Mark Rydell,"['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda', 'Doug McKeon']",27650,2022-04-17 15:11:50.237,2022-04-17 15:11:50.237
625c2e38f0a5bc6c426c0e50,Close Encounters of the Third Kind,1977,138 min,"Drama, Sci-Fi",7.6,3.8491081058614585,"Roy Neary, an electric lineman, watches how his quiet and ordinary daily life turns upside down after a close encounter with a UFO.",90.0,Steven Spielberg,"['Richard Dreyfuss', 'François Truffaut', 'Teri Garr', 'Melinda Dillon']",184966,2022-04-17 15:11:52.513,2022-04-17 15:11:52.513
625c2b6df0a5bc6c426c06e8,American History X,1998,119 min,Drama,8.5,1.2834472896333238,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,62.0,Tony Kaye,"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']",1034705,2022-04-17 14:59:57.054,2022-04-17 14:59:57.054
625c2d46f0a5bc6c426c0aec,East of Eden,1955,118 min,Drama,7.9,3.4296128120583482,"Two brothers struggle to maintain their strict, Bible-toting father's favor.",72.0,Elia Kazan,"['James Dean', 'Raymond Massey', 'Julie Harris', 'Burl Ives']",40313,2022-04-17 15:07:50.301,2022-04-17 15:07:50.301
625c2cd0f0a5bc6c426c09a6,Sling Blade,1996,135 min,Drama,8.0,0.21053433873782001,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",84.0,Billy Bob Thornton,"['Billy Bob Thornton', 'Dwight Yoakam', 'J.T. Walsh', 'John Ritter']",86838,2022-04-17 15:05:52.184,2022-04-17 15:05:52.184
625c2b5cf0a5bc6c426c06c0,Soorarai Pottru,2020,153 min,Drama,8.6,4.333727614180858,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way.",,Sudha Kongara,"['Suriya', 'Madhavan', 'Paresh Rawal', 'Aparna Balamurali']",54995,2022-04-17 14:59:40.370,2022-04-17 14:59:40.370
625c2cf2f0a5bc6c426c0a2a,The Grapes of Wrath,1940,129 min,"Drama, History",8.0,0.8981540500842844,"A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",96.0,John Ford,"['Henry Fonda', 'Jane Darwell', 'John Carradine', 'Charley Grapewin']",85559,2022-04-17 15:06:26.210,2022-04-17 15:06:26.210
