_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2bf4f0a5bc6c426c07ca,Rang De Basanti,2006,167 min,"Comedy, Crime, Drama",8.2,3.0051668426589027,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",,Rakeysh Omprakash Mehra,"['Aamir Khan', 'Soha Ali Khan', 'Siddharth', 'Sharman Joshi']",111937,2022-04-17 15:02:12.934,2022-04-17 15:02:12.934
625c2e02f0a5bc6c426c0d62,The Ladykillers,1955,91 min,"Comedy, Crime",7.7,0.05569297756779501,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,91.0,Alexander Mackendrick,"['Alec Guinness', 'Peter Sellers', 'Cecil Parker', 'Herbert Lom']",26464,2022-04-17 15:10:58.489,2022-04-17 15:10:58.489
625c2da1f0a5bc6c426c0bf6,The King of Comedy,1982,109 min,"Comedy, Crime, Drama",7.8,3.61142330620709,"Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",73.0,Martin Scorsese,"['Robert De Niro', 'Jerry Lewis', 'Diahnne Abbott', 'Sandra Bernhard']",88511,2022-04-17 15:09:21.120,2022-04-17 15:09:21.120
625c2e32f0a5bc6c426c0e30,Delicatessen,1991,99 min,"Comedy, Crime",7.6,3.4287653322426284,Post-apocalyptic surrealist black comedy about the landlord of an apartment building who occasionally prepares a delicacy for his odd tenants.,66.0,Marc Caro,"['Jean-Pierre Jeunet', 'Marie-Laure Dougnac', 'Dominique Pinon', 'Pascal Benezech']",80487,2022-04-17 15:11:46.820,2022-04-17 15:11:46.820
625c2cf1f0a5bc6c426c0a26,Arsenic and Old Lace,1942,118 min,"Comedy, Crime, Thriller",8.0,4.749346992956993,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,,Frank Capra,"['Cary Grant', 'Priscilla Lane', 'Raymond Massey', 'Jack Carson']",65101,2022-04-17 15:06:25.791,2022-04-17 15:06:25.791
625c2c4bf0a5bc6c426c088e,"Crna macka, beli macor",1998,127 min,"Comedy, Crime, Romance",8.1,2.3608544799729803,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,73.0,Emir Kusturica,"['Bajram Severdzan', ""Srdjan 'Zika' Todorovic"", 'Branka Katic', 'Florijan Ajdini']",50862,2022-04-17 15:03:39.599,2022-04-17 15:03:39.599
625c2be0f0a5bc6c426c07a0,"Three Billboards Outside Ebbing, Missouri",2017,115 min,"Comedy, Crime, Drama",8.2,3.6723246719935334,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,88.0,Martin McDonagh,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell', 'Caleb Landry Jones']",432610,2022-04-17 15:01:52.409,2022-04-17 15:01:52.409
625c2cf3f0a5bc6c426c0a30,The Thin Man,1934,91 min,"Comedy, Crime, Mystery",8.0,2.6256588020968454,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",86.0,W.S. Van Dyke,"['William Powell', 'Myrna Loy', ""Maureen O'Sullivan"", 'Nat Pendleton']",26642,2022-04-17 15:06:27.272,2022-04-17 15:06:27.272
625c2e32f0a5bc6c426c0e2c,My Cousin Vinny,1992,120 min,"Comedy, Crime",7.6,0.5908041969536992,"Two New Yorkers accused of murder in rural Alabama while on their way back to college call in the help of one of their cousins, a loudmouth lawyer with no trial experience.",68.0,Jonathan Lynn,"['Joe Pesci', 'Marisa Tomei', 'Ralph Macchio', 'Mitchell Whitfield']",107325,2022-04-17 15:11:46.411,2022-04-17 15:11:46.411
625c2cf4f0a5bc6c426c0a36,Knives Out,2019,130 min,"Comedy, Crime, Drama",7.9,3.34868093095418,"A detective investigates the death of a patriarch of an eccentric, combative family.",82.0,Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis']",454203,2022-04-17 15:06:28.899,2022-04-17 15:06:28.899
