_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c7df0a5bc6c426c0926,La La Land,2016,128 min,"Comedy, Drama, Music",8.0,2.762712765898799,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",94.0,Damien Chazelle,"['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt', 'J.K. Simmons']",505918,2022-04-17 15:04:29.583,2022-04-17 15:04:29.583
625c2ddff0a5bc6c426c0ccc,Hedwig and the Angry Inch,2001,95 min,"Comedy, Drama, Music",7.7,0.9544452226354516,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,85.0,John Cameron Mitchell,"['John Cameron Mitchell', 'Miriam Shor', 'Stephen Trask', 'Theodore Liscinski']",31957,2022-04-17 15:10:23.227,2022-04-17 15:10:23.227
625c2d7df0a5bc6c426c0b7c,Little Miss Sunshine,2006,101 min,"Comedy, Drama",7.8,3.547795617340049,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,80.0,Jonathan Dayton,"['Valerie Faris', 'Steve Carell', 'Toni Collette', 'Greg Kinnear']",439856,2022-04-17 15:08:45.694,2022-04-17 15:08:45.694
625c2cfbf0a5bc6c426c0a46,Captain Fantastic,2016,118 min,"Comedy, Drama",7.9,3.5701799330001927,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",72.0,Matt Ross,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']",189400,2022-04-17 15:06:35.672,2022-04-17 15:06:35.672
625c2d06f0a5bc6c426c0a4e,Jojo Rabbit,2019,108 min,"Comedy, Drama, War",7.9,3.136792486596881,A young boy in Hitler's army finds out his mother is hiding a Jewish girl in their home.,58.0,Taika Waititi,"['Roman Griffin Davis', 'Thomasin McKenzie', 'Scarlett Johansson', 'Taika Waititi']",297918,2022-04-17 15:06:46.367,2022-04-17 15:06:46.367
625c2d5ff0a5bc6c426c0b44,Moonrise Kingdom,2012,94 min,"Comedy, Drama, Romance",7.8,0.4394409345655559,"A pair of young lovers flee their New England town, which causes a local search party to fan out to find them.",84.0,Wes Anderson,"['Jared Gilman', 'Kara Hayward', 'Bruce Willis', 'Bill Murray']",318789,2022-04-17 15:08:15.015,2022-04-17 15:08:15.015
625c2cccf0a5bc6c426c098e,Yeopgijeogin geunyeo,2001,137 min,"Comedy, Drama, Romance",8.0,4.538894738124434,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",,Jae-young Kwak,"['Tae-Hyun Cha', 'Jun Ji-Hyun', 'In-mun Kim', 'Song Wok-suk']",45403,2022-04-17 15:05:48.984,2022-04-17 15:05:48.984
625c2c79f0a5bc6c426c090a,Mr. Smith Goes to Washington,1939,129 min,"Comedy, Drama",8.1,3.2016330807813667,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",73.0,Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold']",107017,2022-04-17 15:04:25.537,2022-04-17 15:04:25.537
625c2de6f0a5bc6c426c0cf4,Do lok tin si,1995,99 min,"Comedy, Crime, Drama",7.7,4.0601891351292805,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.",71.0,Kar-Wai Wong,"['Leon Lai', 'Michelle Reis', 'Takeshi Kaneshiro', 'Charlie Yeung']",26429,2022-04-17 15:10:30.809,2022-04-17 15:10:30.809
625c2e28f0a5bc6c426c0dea,The Station Agent,2003,89 min,"Comedy, Drama",7.6,1.6071186781185098,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",81.0,Tom McCarthy,"['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale', 'Paul Benjamin']",67370,2022-04-17 15:11:36.717,2022-04-17 15:11:36.717
625c2c55f0a5bc6c426c08ac,Dead Poets Society,1989,128 min,"Comedy, Drama",8.1,0.7805170389942628,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,79.0,Peter Weir,"['Robin Williams', 'Robert Sean Leonard', 'Ethan Hawke', 'Josh Charles']",425457,2022-04-17 15:03:49.587,2022-04-17 15:03:49.587
625c2e24f0a5bc6c426c0dce,La Vie En Rose,2007,140 min,"Biography, Drama, Music",7.6,1.4344738995326378,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",66.0,Olivier Dahan,"['Marion Cotillard', 'Sylvie Testud', 'Pascal Greggory', 'Emmanuelle Seigner']",82781,2022-04-17 15:11:32.339,2022-04-17 15:11:32.339
625c2deef0a5bc6c426c0d0c,Barton Fink,1991,116 min,"Comedy, Drama, Thriller",7.7,4.833752045658408,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,69.0,Joel Coen,"['Ethan Coen', 'John Turturro', 'John Goodman', 'Judy Davis']",113240,2022-04-17 15:10:38.872,2022-04-17 15:10:38.872
625c2c30f0a5bc6c426c0852,Zindagi Na Milegi Dobara,2011,155 min,"Comedy, Drama",8.1,0.7234510822379614,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,,Zoya Akhtar,"['Hrithik Roshan', 'Farhan Akhtar', 'Abhay Deol', 'Katrina Kaif']",67927,2022-04-17 15:03:12.403,2022-04-17 15:03:12.403
625c2c4af0a5bc6c426c088c,The Truman Show,1998,103 min,"Comedy, Drama",8.1,4.568644947204023,An insurance salesman discovers his whole life is actually a reality TV show.,90.0,Peter Weir,"['Jim Carrey', 'Ed Harris', 'Laura Linney', 'Noah Emmerich']",939631,2022-04-17 15:03:38.781,2022-04-17 15:03:38.781
625c2d65f0a5bc6c426c0b62,Druk,2020,117 min,"Comedy, Drama",7.8,2.5716716518311244,"Four friends, all high school teachers, test a theory that they will improve their lives by maintaining a constant level of alcohol in their blood.",81.0,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Magnus Millang', 'Lars Ranthe']",33931,2022-04-17 15:08:21.845,2022-04-17 15:08:21.845
