_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2ccbf0a5bc6c426c098a,Big Fish,2003,125 min,"Adventure, Drama, Fantasy",8.0,3.6834999545863223,A frustrated son tries to determine the fact from fiction in his dying father's life.,58.0,Tim Burton,"['Ewan McGregor', 'Albert Finney', 'Billy Crudup', 'Jessica Lange']",415218,2022-04-17 15:05:47.714,2022-04-17 15:05:47.714
625c2e30f0a5bc6c426c0e20,Dead Man,1995,121 min,"Adventure, Drama, Fantasy",7.6,2.8623587792487095,"On the run after murdering a man, accountant William Blake encounters a strange aboriginal American man named Nobody who prepares him for his journey into the spiritual world.",62.0,Jim Jarmusch,"['Johnny Depp', 'Gary Farmer', 'Crispin Glover', 'Lance Henriksen']",90442,2022-04-17 15:11:44.114,2022-04-17 15:11:44.114
625c2c35f0a5bc6c426c085c,Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Drama, Fantasy",8.1,3.5987871565392346,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",85.0,David Yates,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Michael Gambon']",764493,2022-04-17 15:03:17.139,2022-04-17 15:03:17.139
625c2d39f0a5bc6c426c0aca,La montaña sagrada,1973,114 min,"Adventure, Drama, Fantasy",7.9,3.7951437233856167,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",76.0,Alejandro Jodorowsky,"['Alejandro Jodorowsky', 'Horacio Salinas', 'Zamira Saunders', 'Juan Ferrara']",37183,2022-04-17 15:07:37.256,2022-04-17 15:07:37.256
625c2d20f0a5bc6c426c0a7c,Life of Pi,2012,127 min,"Adventure, Drama, Fantasy",7.9,1.6113241614736495,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",79.0,Ang Lee,"['Suraj Sharma', 'Irrfan Khan', 'Adil Hussain', 'Tabu']",580708,2022-04-17 15:07:12.758,2022-04-17 15:07:12.758
625c2d67f0a5bc6c426c0b6c,The Hobbit: An Unexpected Journey,2012,169 min,"Adventure, Fantasy",7.8,0.09753728796126016,"A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.",58.0,Peter Jackson,"['Martin Freeman', 'Ian McKellen', 'Richard Armitage', 'Andy Serkis']",757377,2022-04-17 15:08:23.618,2022-04-17 15:08:23.618
625c2d44f0a5bc6c426c0ae8,The Ten Commandments,1956,220 min,"Adventure, Drama",7.9,4.876003666433251,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",,Cecil B. DeMille,"['Charlton Heston', 'Yul Brynner', 'Anne Baxter', 'Edward G. Robinson']",63560,2022-04-17 15:07:48.544,2022-04-17 15:07:48.544
625c2c08f0a5bc6c426c07fe,The Great Escape,1963,172 min,"Adventure, Drama, History",8.2,4.298792008488299,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,86.0,John Sturges,"['Steve McQueen', 'James Garner', 'Richard Attenborough', 'Charles Bronson']",224730,2022-04-17 15:02:32.303,2022-04-17 15:02:32.303
625c2b62f0a5bc6c426c06ca,The Green Mile,1999,189 min,"Crime, Drama, Fantasy",8.6,0.08676333883240961,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.",61.0,Frank Darabont,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']",1147794,2022-04-17 14:59:46.061,2022-04-17 14:59:46.061
625c2d46f0a5bc6c426c0aea,The Searchers,1956,119 min,"Adventure, Drama, Western",7.9,2.877130297415611,An American Civil War veteran embarks on a journey to rescue his niece from the Comanches.,94.0,John Ford,"['John Wayne', 'Jeffrey Hunter', 'Vera Miles', 'Ward Bond']",80316,2022-04-17 15:07:50.084,2022-04-17 15:07:50.084
625c2d63f0a5bc6c426c0b5a,The Hobbit: The Desolation of Smaug,2013,161 min,"Adventure, Fantasy",7.8,2.3199206160037344,"The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",66.0,Peter Jackson,"['Ian McKellen', 'Martin Freeman', 'Richard Armitage', 'Ken Stott']",601408,2022-04-17 15:08:19.168,2022-04-17 15:08:19.168
625c2e03f0a5bc6c426c0d6a,The African Queen,1951,105 min,"Adventure, Drama, Romance",7.7,2.7685233387690724,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.",91.0,John Huston,"['Humphrey Bogart', 'Katharine Hepburn', 'Robert Morley', 'Peter Bull']",71481,2022-04-17 15:10:59.786,2022-04-17 15:10:59.786
625c2d9ef0a5bc6c426c0bf4,The Right Stuff,1983,193 min,"Adventure, Biography, Drama",7.8,3.779896850079727,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",91.0,Philip Kaufman,"['Sam Shepard', 'Scott Glenn', 'Ed Harris', 'Dennis Quaid']",56235,2022-04-17 15:09:18.617,2022-04-17 15:09:18.617
625c2c11f0a5bc6c426c081a,The Gold Rush,1925,95 min,"Adventure, Comedy, Drama",8.2,1.6142532033985169,A prospector goes to the Klondike in search of gold and finds it and more.,,Charles Chaplin,"['Charles Chaplin', 'Mack Swain', 'Tom Murray', 'Henry Bergman']",101053,2022-04-17 15:02:41.368,2022-04-17 15:02:41.368
625c2cd7f0a5bc6c426c09c4,The Princess Bride,1987,98 min,"Adventure, Family, Fantasy",8.0,4.609968932014846,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",77.0,Rob Reiner,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright', 'Chris Sarandon']",393899,2022-04-17 15:05:59.156,2022-04-17 15:05:59.156
625c2d48f0a5bc6c426c0af2,Harvey,1950,104 min,"Comedy, Drama, Fantasy",7.9,3.672078736620321,"Due to his insistence that he has an invisible six foot-tall rabbit for a best friend, a whimsical middle-aged man is thought by his family to be insane - but he may be wiser than anyone knows.",,Henry Koster,"['James Stewart', 'Wallace Ford', 'William H. Lynn', 'Victoria Horne']",52573,2022-04-17 15:07:52.918,2022-04-17 15:07:52.918
625c2cc2f0a5bc6c426c096a,Blood Diamond,2006,143 min,"Adventure, Drama, Thriller",8.0,4.614017206212029,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",64.0,Edward Zwick,"['Leonardo DiCaprio', 'Djimon Hounsou', 'Jennifer Connelly', 'Kagiso Kuypers']",499439,2022-04-17 15:05:38.749,2022-04-17 15:05:38.749
625c2d3cf0a5bc6c426c0ae2,Spartacus,1960,197 min,"Adventure, Biography, Drama",7.9,4.6226128435299305,The slave Spartacus leads a violent revolt against the decadent Roman Republic.,87.0,Stanley Kubrick,"['Kirk Douglas', 'Laurence Olivier', 'Jean Simmons', 'Charles Laughton']",124339,2022-04-17 15:07:40.889,2022-04-17 15:07:40.889
625c2cf8f0a5bc6c426c0a44,Hunt for the Wilderpeople,2016,101 min,"Adventure, Comedy, Drama",7.9,0.7640630074896559,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,81.0,Taika Waititi,"['Sam Neill', 'Julian Dennison', 'Rima Te Wiata', 'Rachel House']",111483,2022-04-17 15:06:32.350,2022-04-17 15:06:32.350
625c2e2af0a5bc6c426c0dfe,Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",7.6,4.3078390977915095,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.",64.0,Chris Columbus,"['Daniel Radcliffe', 'Rupert Grint', 'Richard Harris', 'Maggie Smith']",658185,2022-04-17 15:11:38.799,2022-04-17 15:11:38.799
