_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2decf0a5bc6c426c0cfe,The Muppet Christmas Carol,1992,85 min,"Comedy, Drama, Family",7.7,4.436602821247333,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,64.0,Brian Henson,"['Michael Caine', 'Kermit the Frog', 'Dave Goelz', 'Miss Piggy']",50298,2022-04-17 15:10:36.560,2022-04-17 15:10:36.560
625c2d90f0a5bc6c426c0bc0,The Sandlot,1993,101 min,"Comedy, Drama, Family",7.8,4.884789765135508,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",55.0,David Mickey Evans,"['Tom Guiry', 'Mike Vitar', 'Art LaFleur', 'Patrick Renna']",78963,2022-04-17 15:09:04.358,2022-04-17 15:09:04.358
625c2b75f0a5bc6c426c06fe,Modern Times,1936,87 min,"Comedy, Drama, Family",8.5,1.8900338552463936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,96.0,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']",217881,2022-04-17 15:00:05.978,2022-04-17 15:00:05.978
625c2db1f0a5bc6c426c0c18,Mary Poppins,1964,139 min,"Comedy, Family, Fantasy",7.8,4.600533263604142,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",88.0,Robert Stevenson,"['Julie Andrews', 'Dick Van Dyke', 'David Tomlinson', 'Glynis Johns']",158029,2022-04-17 15:09:37.181,2022-04-17 15:09:37.181
625c2bdaf0a5bc6c426c0796,The Kid,1921,68 min,"Comedy, Drama, Family",8.3,2.300001432028865,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']",113314,2022-04-17 15:01:46.833,2022-04-17 15:01:46.833
625c2d5df0a5bc6c426c0b3c,English Vinglish,2012,134 min,"Comedy, Drama, Family",7.8,2.8157440152225712,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",,Gauri Shinde,"['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand']",33618,2022-04-17 15:08:13.394,2022-04-17 15:08:13.394
625c2d49f0a5bc6c426c0af4,Miracle on 34th Street,1947,96 min,"Comedy, Drama, Family",7.9,2.17765834885691,"When a nice old man who claims to be Santa Claus is institutionalized as insane, a young lawyer decides to defend him by arguing in court that he is the real thing.",88.0,George Seaton,"['Edmund Gwenn', ""Maureen O'Hara"", 'John Payne', 'Gene Lockhart']",41625,2022-04-17 15:07:53.137,2022-04-17 15:07:53.137
625c2e28f0a5bc6c426c0dea,The Station Agent,2003,89 min,"Comedy, Drama",7.6,1.6071186781185098,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",81.0,Tom McCarthy,"['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale', 'Paul Benjamin']",67370,2022-04-17 15:11:36.717,2022-04-17 15:11:36.717
625c2e33f0a5bc6c426c0e32,Home Alone,1990,103 min,"Comedy, Family",7.6,1.3696252881007664,An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.,63.0,Chris Columbus,"['Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard']",488817,2022-04-17 15:11:47.012,2022-04-17 15:11:47.012
625c2d39f0a5bc6c426c0acc,Amarcord,1973,123 min,"Comedy, Drama, Family",7.9,4.943002010792977,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,,Federico Fellini,"['Magali Noël', 'Bruno Zanin', 'Pupella Maggio', 'Armando Brancia']",39897,2022-04-17 15:07:37.467,2022-04-17 15:07:37.467
625c2e39f0a5bc6c426c0e58,The Jungle Book,1967,78 min,"Animation, Adventure, Family",7.6,4.563968988509217,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,65.0,Wolfgang Reitherman,"['Phil Harris', 'Sebastian Cabot', 'Louis Prima', 'Bruce Reitherman']",166409,2022-04-17 15:11:53.922,2022-04-17 15:11:53.922
625c2cddf0a5bc6c426c09d4,Annie Hall,1977,93 min,"Comedy, Romance",8.0,0.5285180654865418,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,92.0,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Tony Roberts', 'Carol Kane']",251823,2022-04-17 15:06:05.096,2022-04-17 15:06:05.096
625c2d49f0a5bc6c426c0afc,The Philadelphia Story,1940,112 min,"Comedy, Romance",7.9,2.761918439022785,"When a rich woman's ex-husband and a tabloid-type reporter turn up just before her planned remarriage, she begins to learn the truth about herself.",96.0,George Cukor,"['Cary Grant', 'Katharine Hepburn', 'James Stewart', 'Ruth Hussey']",63550,2022-04-17 15:07:53.955,2022-04-17 15:07:53.955
625c2e2af0a5bc6c426c0dfa,The Royal Tenenbaums,2001,110 min,"Comedy, Drama",7.6,4.470595798673232,The eccentric members of a dysfunctional family reluctantly gather under the same roof for various reasons.,76.0,Wes Anderson,"['Gene Hackman', 'Gwyneth Paltrow', 'Anjelica Huston', 'Ben Stiller']",266842,2022-04-17 15:11:38.383,2022-04-17 15:11:38.383
625c2cf3f0a5bc6c426c0a30,The Thin Man,1934,91 min,"Comedy, Crime, Mystery",8.0,2.6256588020968454,"Former detective Nick Charles and his wealthy wife Nora investigate a murder case, mostly for the fun of it.",86.0,W.S. Van Dyke,"['William Powell', 'Myrna Loy', ""Maureen O'Sullivan"", 'Nat Pendleton']",26642,2022-04-17 15:06:27.272,2022-04-17 15:06:27.272
625c2db3f0a5bc6c426c0c2e,Bringing Up Baby,1938,102 min,"Comedy, Family, Romance",7.8,1.9150934236987227,"While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",91.0,Howard Hawks,"['Katharine Hepburn', 'Cary Grant', 'Charles Ruggles', 'Walter Catlett']",55163,2022-04-17 15:09:39.984,2022-04-17 15:09:39.984
625c2e3af0a5bc6c426c0e5c,A Hard Day's Night,1964,87 min,"Comedy, Music, Musical",7.6,4.383807505325858,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",96.0,Richard Lester,"['John Lennon', 'Paul McCartney', 'George Harrison', 'Ringo Starr']",40351,2022-04-17 15:11:54.332,2022-04-17 15:11:54.332
