_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2de2f0a5bc6c426c0cde,Rushmore,1998,93 min,"Comedy, Drama, Romance",7.7,2.853612588618496,The extracurricular king of Rushmore Preparatory School is put on academic probation.,86.0,Wes Anderson,"['Jason Schwartzman', 'Bill Murray', 'Olivia Williams', 'Seymour Cassel']",169229,2022-04-17 15:10:26.671,2022-04-17 15:10:26.671
625c2d38f0a5bc6c426c0ac2,Manhattan,1979,96 min,"Comedy, Drama, Romance",7.9,1.2750438494021743,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,83.0,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Mariel Hemingway', 'Michael Murphy']",131436,2022-04-17 15:07:36.029,2022-04-17 15:07:36.029
625c2c76f0a5bc6c426c0908,Rebecca,1940,130 min,"Drama, Mystery, Romance",8.1,0.9190577288286628,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,86.0,Alfred Hitchcock,"['Laurence Olivier', 'Joan Fontaine', 'George Sanders', 'Judith Anderson']",123942,2022-04-17 15:04:22.313,2022-04-17 15:04:22.313
625c2d68f0a5bc6c426c0b70,Atonement,2007,123 min,"Drama, Mystery, Romance",7.8,4.5654126115894575,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,85.0,Joe Wright,"['Keira Knightley', 'James McAvoy', 'Brenda Blethyn', 'Saoirse Ronan']",251370,2022-04-17 15:08:24.571,2022-04-17 15:08:24.571
625c2e03f0a5bc6c426c0d64,Sabrina,1954,113 min,"Comedy, Drama, Romance",7.7,3.493505109688775,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",72.0,Billy Wilder,"['Humphrey Bogart', 'Audrey Hepburn', 'William Holden', 'Walter Hampden']",59415,2022-04-17 15:10:59.169,2022-04-17 15:10:59.169
625c2cf0f0a5bc6c426c0a14,Roman Holiday,1953,118 min,"Comedy, Romance",8.0,3.857188631338065,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,78.0,William Wyler,"['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert', 'Hartley Power']",127256,2022-04-17 15:06:24.047,2022-04-17 15:06:24.047
625c2d5cf0a5bc6c426c0b36,Vicky Donor,2012,126 min,"Comedy, Romance",7.8,1.395395141558221,"A man is brought in by an infertility doctor to supply him with his sperm, where he becomes the biggest sperm donor for his clinic.",,Shoojit Sircar,"['Ayushmann Khurrana', 'Yami Gautam', 'Annu Kapoor', 'Dolly Ahluwalia']",39710,2022-04-17 15:08:12.709,2022-04-17 15:08:12.709
625c2b76f0a5bc6c426c0700,City Lights,1931,87 min,"Comedy, Drama, Romance",8.5,0.4001693336818479,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",99.0,Charles Chaplin,"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']",167839,2022-04-17 15:00:06.195,2022-04-17 15:00:06.195
625c2c52f0a5bc6c426c08a0,Trois couleurs: Rouge,1994,99 min,"Drama, Mystery, Romance",8.1,0.8946112152458174,A model discovers a retired judge is keen on invading people's privacy.,100.0,Krzysztof Kieslowski,"['Irène Jacob', 'Jean-Louis Trintignant', 'Frédérique Feder', 'Jean-Pierre Lorit']",90729,2022-04-17 15:03:46.760,2022-04-17 15:03:46.760
625c2d4af0a5bc6c426c0afe,His Girl Friday,1940,92 min,"Comedy, Drama, Romance",7.9,2.6019735422402688,A newspaper editor uses every trick in the book to keep his ace reporter ex-wife from remarrying.,,Howard Hawks,"['Cary Grant', 'Rosalind Russell', 'Ralph Bellamy', 'Gene Lockhart']",53667,2022-04-17 15:07:54.144,2022-04-17 15:07:54.144
