_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2b75f0a5bc6c426c06fe,Modern Times,1936,87 min,"Comedy, Drama, Family",8.5,1.8900338552463936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,96.0,Charles Chaplin,"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']",217881,2022-04-17 15:00:05.978,2022-04-17 15:00:05.978
625c2d5df0a5bc6c426c0b3c,English Vinglish,2012,134 min,"Comedy, Drama, Family",7.8,2.8157440152225712,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",,Gauri Shinde,"['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand']",33618,2022-04-17 15:08:13.394,2022-04-17 15:08:13.394
625c2decf0a5bc6c426c0cfe,The Muppet Christmas Carol,1992,85 min,"Comedy, Drama, Family",7.7,4.436602821247333,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,64.0,Brian Henson,"['Michael Caine', 'Kermit the Frog', 'Dave Goelz', 'Miss Piggy']",50298,2022-04-17 15:10:36.560,2022-04-17 15:10:36.560
625c2d39f0a5bc6c426c0acc,Amarcord,1973,123 min,"Comedy, Drama, Family",7.9,4.943002010792977,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,,Federico Fellini,"['Magali Noël', 'Bruno Zanin', 'Pupella Maggio', 'Armando Brancia']",39897,2022-04-17 15:07:37.467,2022-04-17 15:07:37.467
625c2d90f0a5bc6c426c0bc0,The Sandlot,1993,101 min,"Comedy, Drama, Family",7.8,4.884789765135508,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",55.0,David Mickey Evans,"['Tom Guiry', 'Mike Vitar', 'Art LaFleur', 'Patrick Renna']",78963,2022-04-17 15:09:04.358,2022-04-17 15:09:04.358
625c2bdaf0a5bc6c426c0796,The Kid,1921,68 min,"Comedy, Drama, Family",8.3,2.300001432028865,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']",113314,2022-04-17 15:01:46.833,2022-04-17 15:01:46.833
625c2d38f0a5bc6c426c0ac2,Manhattan,1979,96 min,"Comedy, Drama, Romance",7.9,1.2750438494021743,The life of a divorced television writer dating a teenage girl is further complicated when he falls in love with his best friend's mistress.,83.0,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Mariel Hemingway', 'Michael Murphy']",131436,2022-04-17 15:07:36.029,2022-04-17 15:07:36.029
625c2cfbf0a5bc6c426c0a46,Captain Fantastic,2016,118 min,"Comedy, Drama",7.9,3.5701799330001927,"In the forests of the Pacific Northwest, a father devoted to raising his six kids with a rigorous physical and intellectual education is forced to leave his paradise and enter the world, challenging his idea of what it means to be a parent.",72.0,Matt Ross,"['Viggo Mortensen', 'George MacKay', 'Samantha Isler', 'Annalise Basso']",189400,2022-04-17 15:06:35.672,2022-04-17 15:06:35.672
625c2c79f0a5bc6c426c090a,Mr. Smith Goes to Washington,1939,129 min,"Comedy, Drama",8.1,3.2016330807813667,"A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",73.0,Frank Capra,"['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold']",107017,2022-04-17 15:04:25.537,2022-04-17 15:04:25.537
625c2d7df0a5bc6c426c0b7c,Little Miss Sunshine,2006,101 min,"Comedy, Drama",7.8,3.547795617340049,A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.,80.0,Jonathan Dayton,"['Valerie Faris', 'Steve Carell', 'Toni Collette', 'Greg Kinnear']",439856,2022-04-17 15:08:45.694,2022-04-17 15:08:45.694
625c2d5df0a5bc6c426c0b3a,About Time,2013,123 min,"Comedy, Drama, Fantasy",7.8,1.0398391396640638,"At the age of 21, Tim discovers he can travel in time and change what happens and has happened in his own life. His decision to make his world a better place by getting a girlfriend turns out not to be as easy as you might think.",55.0,Richard Curtis,"['Domhnall Gleeson', 'Rachel McAdams', 'Bill Nighy', 'Lydia Wilson']",303032,2022-04-17 15:08:13.182,2022-04-17 15:08:13.182
625c2d93f0a5bc6c426c0bce,Night on Earth,1991,129 min,"Comedy, Drama",7.8,4.161643098692561,An anthology of 5 different cab drivers in 5 American and European cities and their remarkable fares on the same eventful night.,68.0,Jim Jarmusch,"['Winona Ryder', 'Gena Rowlands', 'Lisanne Falk', 'Alan Randolph Scott']",55362,2022-04-17 15:09:07.963,2022-04-17 15:09:07.963
625c2e28f0a5bc6c426c0dea,The Station Agent,2003,89 min,"Comedy, Drama",7.6,1.6071186781185098,"When his only friend dies, a man born with dwarfism moves to rural New Jersey to live a life of solitude, only to meet a chatty hot dog vendor and a woman dealing with her own personal loss.",81.0,Tom McCarthy,"['Peter Dinklage', 'Patricia Clarkson', 'Bobby Cannavale', 'Paul Benjamin']",67370,2022-04-17 15:11:36.717,2022-04-17 15:11:36.717
625c2e08f0a5bc6c426c0d76,Once Upon a Time... in Hollywood,2019,161 min,"Comedy, Drama",7.6,2.0921399892452297,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,83.0,Quentin Tarantino,"['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie', 'Emile Hirsch']",551309,2022-04-17 15:11:04.191,2022-04-17 15:11:04.191
