_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2deef0a5bc6c426c0d0a,Fried Green Tomatoes,1991,130 min,Drama,7.7,2.7897342332159814,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,64.0,Jon Avnet,"['Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']",66941,2022-04-17 15:10:38.667,2022-04-17 15:10:38.667
625c2dcaf0a5bc6c426c0c64,Detachment,2011,98 min,Drama,7.7,2.905118128670966,A substitute teacher who drifts from classroom to classroom finds a connection to the students and teachers during his latest assignment.,52.0,Tony Kaye,"['Adrien Brody', 'Christina Hendricks', 'Marcia Gay Harden', 'Lucy Liu']",77071,2022-04-17 15:10:02.007,2022-04-17 15:10:02.007
625c2c66f0a5bc6c426c08d2,Viskningar och rop,1972,91 min,Drama,8.1,0.08466549344274821,"When a woman dying of cancer in early twentieth-century Sweden is visited by her two sisters, long-repressed feelings between the siblings rise to the surface.",,Ingmar Bergman,"['Harriet Andersson', 'Liv Ullmann', 'Kari Sylwan', 'Ingrid Thulin']",30206,2022-04-17 15:04:06.943,2022-04-17 15:04:06.943
625c2ddcf0a5bc6c426c0cbe,In America,2002,105 min,Drama,7.7,3.8852672599202243,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,76.0,Jim Sheridan,"['Paddy Considine', 'Samantha Morton', 'Djimon Hounsou', 'Sarah Bolger']",40403,2022-04-17 15:10:20.812,2022-04-17 15:10:20.812
625c2e18f0a5bc6c426c0dba,Die Welle,2008,107 min,"Drama, Thriller",7.6,3.100002143130325,A high school teacher's experiment to demonstrate to his students what life is like under a dictatorship spins horribly out of control when he forms a social unit with a life of its own.,,Dennis Gansel,"['Jürgen Vogel', 'Frederick Lau', 'Max Riemelt', 'Jennifer Ulrich']",102742,2022-04-17 15:11:20.064,2022-04-17 15:11:20.064
625c2e01f0a5bc6c426c0d60,Rebel Without a Cause,1955,111 min,Drama,7.7,2.975204927412171,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",89.0,Nicholas Ray,"['James Dean', 'Natalie Wood', 'Sal Mineo', 'Jim Backus']",83363,2022-04-17 15:10:57.334,2022-04-17 15:10:57.334
625c2bbbf0a5bc6c426c073a,Rear Window,1954,112 min,"Mystery, Thriller",8.4,4.339334821863256,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,100.0,Alfred Hitchcock,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']",444074,2022-04-17 15:01:15.688,2022-04-17 15:01:15.688
625c2b72f0a5bc6c426c06f8,Once Upon a Time in the West,1968,165 min,Western,8.5,2.7898385553278904,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,80.0,Sergio Leone,"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']",302844,2022-04-17 15:00:02.242,2022-04-17 15:00:02.242
625c2bc5f0a5bc6c426c075a,Requiem for a Dream,2000,102 min,Drama,8.3,0.15058949412441902,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,68.0,Darren Aronofsky,"['Ellen Burstyn', 'Jared Leto', 'Jennifer Connelly', 'Marlon Wayans']",766870,2022-04-17 15:01:25.602,2022-04-17 15:01:25.602
625c2b50f0a5bc6c426c06aa,Fight Club,1999,139 min,Drama,8.8,2.335835468743367,"An insomniac office worker and a devil-may-care soapmaker form an underground fight club that evolves into something much, much more.",66.0,David Fincher,"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']",1854740,2022-04-17 14:59:28.494,2022-04-17 14:59:28.494
625c2e36f0a5bc6c426c0e42,On Golden Pond,1981,109 min,Drama,7.6,0.766619410123125,"Norman is a curmudgeon with an estranged relationship with his daughter Chelsea. At Golden Pond, he and his wife nevertheless agree to care for Billy, the son of Chelsea's new boyfriend, and a most unexpected relationship blooms.",68.0,Mark Rydell,"['Katharine Hepburn', 'Henry Fonda', 'Jane Fonda', 'Doug McKeon']",27650,2022-04-17 15:11:50.237,2022-04-17 15:11:50.237
625c2db7f0a5bc6c426c0c38,Roma,2018,135 min,Drama,7.7,4.479173475976166,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,96.0,Alfonso Cuarón,"['Yalitza Aparicio', 'Marina de Tavira', 'Diego Cortina Autrey', 'Carlos Peralta']",140375,2022-04-17 15:09:43.490,2022-04-17 15:09:43.490
625c2bc2f0a5bc6c426c074a,Jodaeiye Nader az Simin,2011,123 min,Drama,8.3,1.283170311160965,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,95.0,Asghar Farhadi,"['Payman Maadi', 'Leila Hatami', 'Sareh Bayat', 'Shahab Hosseini']",220002,2022-04-17 15:01:22.308,2022-04-17 15:01:22.308
625c2e00f0a5bc6c426c0d56,Cape Fear,1962,106 min,"Drama, Thriller",7.7,3.4616819260258347,A lawyer's family is stalked by a man he once helped put in jail.,76.0,J. Lee Thompson,"['Gregory Peck', 'Robert Mitchum', 'Polly Bergen', 'Lori Martin']",26457,2022-04-17 15:10:56.272,2022-04-17 15:10:56.272
625c2c1ff0a5bc6c426c083c,Gone Girl,2014,149 min,"Drama, Mystery, Thriller",8.1,1.7483286389528752,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",79.0,David Fincher,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris', 'Tyler Perry']",859695,2022-04-17 15:02:55.897,2022-04-17 15:02:55.897
625c2d08f0a5bc6c426c0a54,Before Midnight,2013,109 min,"Drama, Romance",7.9,0.9647006507156553,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,94.0,Richard Linklater,"['Ethan Hawke', 'Julie Delpy', 'Seamus Davey-Fitzpatrick', 'Ariane Labed']",141457,2022-04-17 15:06:48.901,2022-04-17 15:06:48.901
625c2bc1f0a5bc6c426c0748,Jagten,2012,115 min,Drama,8.3,0.6773284923913447,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",77.0,Thomas Vinterberg,"['Mads Mikkelsen', 'Thomas Bo Larsen', 'Annika Wedderkopp', 'Lasse Fogelstrøm']",281623,2022-04-17 15:01:21.623,2022-04-17 15:01:21.623
625c2cf1f0a5bc6c426c0a20,Brief Encounter,1945,86 min,"Drama, Romance",8.0,4.237002622780704,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband.",92.0,David Lean,"['Celia Johnson', 'Trevor Howard', 'Stanley Holloway', 'Joyce Carey']",35601,2022-04-17 15:06:25.209,2022-04-17 15:06:25.209
625c2cfcf0a5bc6c426c0a48,Sing Street,2016,106 min,"Comedy, Drama, Music",7.9,3.0595977257832185,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,79.0,John Carney,"['Ferdia Walsh-Peelo', 'Aidan Gillen', 'Maria Doyle Kennedy', 'Jack Reynor']",85109,2022-04-17 15:06:36.510,2022-04-17 15:06:36.510
625c2baef0a5bc6c426c071a,Taare Zameen Par,2007,165 min,"Drama, Family",8.4,1.6304002487188862,"An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",,Aamir Khan,"['Amole Gupte', 'Darsheel Safary', 'Aamir Khan', 'Tisca Chopra']",168895,2022-04-17 15:01:02.833,2022-04-17 15:01:02.833
