_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2cccf0a5bc6c426c098c,The Incredibles,2004,115 min,"Animation, Action, Adventure",8.0,2.4609636872733667,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",90.0,Brad Bird,"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter', 'Jason Lee']",657047,2022-04-17 15:05:48.789,2022-04-17 15:05:48.789
625c2ccff0a5bc6c426c09a2,The Iron Giant,1999,86 min,"Animation, Action, Adventure",8.0,0.5205153277576857,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,85.0,Brad Bird,"['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel']",172083,2022-04-17 15:05:51.768,2022-04-17 15:05:51.768
625c2d34f0a5bc6c426c0aac,Jûbê ninpûchô,1993,94 min,"Animation, Action, Adventure",7.9,1.9686669820001845,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,,Yoshiaki Kawajiri,"['Kôichi Yamadera', 'Emi Shinohara', 'Takeshi Aono', 'Osamu Saka']",34529,2022-04-17 15:07:32.226,2022-04-17 15:07:32.226
625c2d54f0a5bc6c426c0b1c,Kubo and the Two Strings,2016,101 min,"Animation, Action, Adventure",7.8,2.8165950301119547,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,84.0,Travis Knight,"['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']",118035,2022-04-17 15:08:04.368,2022-04-17 15:08:04.368
625c2c3cf0a5bc6c426c0864,How to Train Your Dragon,2010,98 min,"Animation, Action, Adventure",8.1,3.4108694125585237,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",75.0,Dean DeBlois,"['Chris Sanders', 'Jay Baruchel', 'Gerard Butler', 'Christopher Mintz-Plasse']",666773,2022-04-17 15:03:24.681,2022-04-17 15:03:24.681
625c2b7bf0a5bc6c426c070c,Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure",8.4,0.25935195402954636,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",87.0,Bob Persichetti,"['Peter Ramsey', 'Rodney Rothman', 'Shameik Moore', 'Jake Johnson']",375110,2022-04-17 15:00:11.572,2022-04-17 15:00:11.572
625c2d5cf0a5bc6c426c0b38,Big Hero 6,2014,102 min,"Animation, Action, Adventure",7.8,3.996914129301131,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",74.0,Don Hall,"['Chris Williams', 'Ryan Potter', 'Scott Adsit', 'Jamie Chung']",410983,2022-04-17 15:08:12.970,2022-04-17 15:08:12.970
625c2e39f0a5bc6c426c0e58,The Jungle Book,1967,78 min,"Animation, Adventure, Family",7.6,4.563968988509217,Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.,65.0,Wolfgang Reitherman,"['Phil Harris', 'Sebastian Cabot', 'Louis Prima', 'Bruce Reitherman']",166409,2022-04-17 15:11:53.922,2022-04-17 15:11:53.922
625c2d5ff0a5bc6c426c0b46,How to Train Your Dragon 2,2014,102 min,"Animation, Action, Adventure",7.8,1.2286963626279046,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",76.0,Dean DeBlois,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson']",305611,2022-04-17 15:08:15.208,2022-04-17 15:08:15.208
625c2bb2f0a5bc6c426c0724,Mononoke-hime,1997,134 min,"Animation, Action, Adventure",8.4,3.151744942173548,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",76.0,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']",343171,2022-04-17 15:01:06.072,2022-04-17 15:01:06.072
625c2e0cf0a5bc6c426c0d8e,Incredibles 2,2018,118 min,"Animation, Action, Adventure",7.6,3.2978611521455736,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,80.0,Brad Bird,"['Craig T. Nelson', 'Holly Hunter', 'Sarah Vowell', 'Huck Milner']",250057,2022-04-17 15:11:08.480,2022-04-17 15:11:08.480
625c2bf9f0a5bc6c426c07d4,Hauru no ugoku shiro,2004,119 min,"Animation, Adventure, Family",8.2,3.6686801876152533,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",80.0,Hayao Miyazaki,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']",333915,2022-04-17 15:02:17.255,2022-04-17 15:02:17.255
625c2e23f0a5bc6c426c0dc8,The Secret of Kells,2009,71 min,"Animation, Adventure, Family",7.6,4.344502342295135,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",81.0,Tomm Moore,"['Nora Twomey', 'Evan McGuire', 'Brendan Gleeson', 'Mick Lally']",31779,2022-04-17 15:11:31.651,2022-04-17 15:11:31.651
625c2dc9f0a5bc6c426c0c62,Le Petit Prince,2015,108 min,"Animation, Adventure, Drama",7.7,0.09538220839389266,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",70.0,Mark Osborne,"['Jeff Bridges', 'Mackenzie Foy', 'Rachel McAdams', 'Marion Cotillard']",56720,2022-04-17 15:10:01.801,2022-04-17 15:10:01.801
625c2d29f0a5bc6c426c0a94,Cowboy Bebop: Tengoku no tobira,2001,115 min,"Animation, Action, Crime",7.9,3.353932440604842,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",61.0,Shin'ichirô Watanabe,"['Tensai Okamura', 'Hiroyuki Okiura', 'Yoshiyuki Takei', 'Beau Billingslea']",42897,2022-04-17 15:07:21.767,2022-04-17 15:07:21.767
