_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2d2ff0a5bc6c426c0aa4,Mimi wo sumaseba,1995,111 min,"Animation, Drama, Family",7.9,4.038990925710298,"A love story between a girl who loves reading books, and a boy who has previously checked out all of the library books she chooses.",75.0,Yoshifumi Kondô,"['Yoko Honna', 'Issey Takahashi', 'Takashi Tachibana', 'Shigeru Muroi']",51943,2022-04-17 15:07:28.000,2022-04-17 15:07:28.000
625c2c15f0a5bc6c426c0822,Koe no katachi,2016,130 min,"Animation, Drama, Family",8.1,2.693217650579175,"A young man is ostracized by his classmates after he bullies a deaf girl to the point where she moves away. Years later, he sets off on a path for redemption.",78.0,Naoko Yamada,"['Miyu Irino', 'Saori Hayami', 'Aoi Yûki', 'Kenshô Ono']",47708,2022-04-17 15:02:45.239,2022-04-17 15:02:45.239
625c2baaf0a5bc6c426c0712,Coco,2017,105 min,"Animation, Adventure, Family",8.4,0.749865263545495,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.",81.0,Lee Unkrich,"['Adrian Molina', 'Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt']",384171,2022-04-17 15:00:58.255,2022-04-17 15:00:58.255
625c2dbff0a5bc6c426c0c48,Omoide no Mânî,2014,103 min,"Animation, Drama, Family",7.7,0.8574170177985396,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.",72.0,James Simone,"['Hiromasa Yonebayashi', 'Sara Takatsuki', 'Kasumi Arimura', 'Nanako Matsushima']",32798,2022-04-17 15:09:51.604,2022-04-17 15:09:51.604
625c2d39f0a5bc6c426c0acc,Amarcord,1973,123 min,"Comedy, Drama, Family",7.9,4.943002010792977,A series of comedic and nostalgic vignettes set in a 1930s Italian coastal town.,,Federico Fellini,"['Magali Noël', 'Bruno Zanin', 'Pupella Maggio', 'Armando Brancia']",39897,2022-04-17 15:07:37.467,2022-04-17 15:07:37.467
625c2bb1f0a5bc6c426c071c,WALL·E,2008,98 min,"Animation, Adventure, Family",8.4,3.999722658289996,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",95.0,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']",999790,2022-04-17 15:01:05.218,2022-04-17 15:01:05.218
625c2e04f0a5bc6c426c0d6e,Fantasia,1940,125 min,"Animation, Family, Fantasy",7.7,3.8447569862340316,A collection of animated interpretations of great works of Western classical music.,96.0,James Algar,"['Samuel Armstrong', 'Ford Beebe Jr.', 'Norman Ferguson', 'David Hand']",88662,2022-04-17 15:11:00.202,2022-04-17 15:11:00.202
625c2df6f0a5bc6c426c0d2e,Rupan sansei: Kariosutoro no shiro,1979,100 min,"Animation, Adventure, Family",7.7,4.264036475891585,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.",71.0,Hayao Miyazaki,"['Yasuo Yamada', 'Eiko Masuyama', 'Kiyoshi Kobayashi', 'Makio Inoue']",27014,2022-04-17 15:10:46.567,2022-04-17 15:10:46.567
625c2bf9f0a5bc6c426c07d4,Hauru no ugoku shiro,2004,119 min,"Animation, Adventure, Family",8.2,3.6686801876152533,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",80.0,Hayao Miyazaki,"['Chieko Baishô', 'Takuya Kimura', 'Tatsuya Gashûin', 'Akihiro Miwa']",333915,2022-04-17 15:02:17.255,2022-04-17 15:02:17.255
625c2d5df0a5bc6c426c0b3c,English Vinglish,2012,134 min,"Comedy, Drama, Family",7.8,2.8157440152225712,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",,Gauri Shinde,"['Sridevi', 'Adil Hussain', 'Mehdi Nebbou', 'Priya Anand']",33618,2022-04-17 15:08:13.394,2022-04-17 15:08:13.394
625c2e2ef0a5bc6c426c0e10,Mulan,1998,88 min,"Animation, Adventure, Family",7.6,2.1190827090458395,"To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.",71.0,Tony Bancroft,"['Barry Cook', 'Ming-Na Wen', 'Eddie Murphy', 'BD Wong']",256906,2022-04-17 15:11:42.478,2022-04-17 15:11:42.478
625c2cc2f0a5bc6c426c0964,Persepolis,2007,96 min,"Animation, Biography, Drama",8.0,3.6571592195238067,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,90.0,Vincent Paronnaud,"['Marjane Satrapi', 'Chiara Mastroianni', 'Catherine Deneuve', 'Gena Rowlands']",88656,2022-04-17 15:05:38.200,2022-04-17 15:05:38.200
625c2d96f0a5bc6c426c0bd8,Majo no takkyûbin,1989,103 min,"Animation, Adventure, Drama",7.8,3.5753197990935948,"A young witch, on her mandatory year of independent life, finds fitting into a new community difficult while she supports herself by running an air courier service.",83.0,Hayao Miyazaki,"['Kirsten Dunst', 'Minami Takayama', 'Rei Sakuma', 'Kappei Yamaguchi']",124193,2022-04-17 15:09:10.642,2022-04-17 15:09:10.642
625c2d8af0a5bc6c426c0bac,October Sky,1999,108 min,"Biography, Drama, Family",7.8,1.4756045304490895,"The true story of Homer Hickam, a coal miner's son who was inspired by the first Sputnik launch to take up rocketry against his father's wishes.",71.0,Joe Johnston,"['Jake Gyllenhaal', 'Chris Cooper', 'Laura Dern', 'Chris Owen']",82855,2022-04-17 15:08:58.712,2022-04-17 15:08:58.712
625c2e14f0a5bc6c426c0da4,Kari-gurashi no Arietti,2010,94 min,"Animation, Adventure, Family",7.6,1.029372292213514,"The Clock family are four-inch-tall people who live anonymously in another family's residence, borrowing simple items to make their home. Life changes for the Clocks when their teenage daughter, Arrietty, is discovered.",80.0,Hiromasa Yonebayashi,"['Amy Poehler', 'Mirai Shida', 'Ryûnosuke Kamiki', 'Tatsuya Fujiwara']",80939,2022-04-17 15:11:16.877,2022-04-17 15:11:16.877
625c2dc9f0a5bc6c426c0c62,Le Petit Prince,2015,108 min,"Animation, Adventure, Drama",7.7,0.09538220839389266,"A little girl lives in a very grown-up world with her mother, who tries to prepare her for it. Her neighbor, the Aviator, introduces the girl to an extraordinary world where anything is possible, the world of the Little Prince.",70.0,Mark Osborne,"['Jeff Bridges', 'Mackenzie Foy', 'Rachel McAdams', 'Marion Cotillard']",56720,2022-04-17 15:10:01.801,2022-04-17 15:10:01.801
625c2e32f0a5bc6c426c0e2e,Omohide poro poro,1991,118 min,"Animation, Drama, Romance",7.6,3.0582231325571154,A twenty-seven-year-old office worker travels to the countryside while reminiscing about her childhood in Tokyo.,90.0,Isao Takahata,"['Miki Imai', 'Toshirô Yanagiba', 'Yoko Honna', 'Mayumi Izuka']",27071,2022-04-17 15:11:46.618,2022-04-17 15:11:46.618
625c2bdaf0a5bc6c426c0796,The Kid,1921,68 min,"Comedy, Drama, Family",8.3,2.300001432028865,"The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",,Charles Chaplin,"['Charles Chaplin', 'Edna Purviance', 'Jackie Coogan', 'Carl Miller']",113314,2022-04-17 15:01:46.833,2022-04-17 15:01:46.833
625c2c39f0a5bc6c426c0860,Hachi: A Dog's Tale,2009,93 min,"Biography, Drama, Family",8.1,0.5833799169000464,A college professor bonds with an abandoned dog he takes into his home.,,Lasse Hallström,"['Richard Gere', 'Joan Allen', 'Cary-Hiroyuki Tagawa', 'Sarah Roemer']",253575,2022-04-17 15:03:21.939,2022-04-17 15:03:21.939
625c2e33f0a5bc6c426c0e38,The Little Mermaid,1989,83 min,"Animation, Family, Fantasy",7.6,3.783456984683742,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,88.0,Ron Clements,"['John Musker', 'Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois']",237696,2022-04-17 15:11:47.627,2022-04-17 15:11:47.627
