_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2d29f0a5bc6c426c0a94,Cowboy Bebop: Tengoku no tobira,2001,115 min,"Animation, Action, Crime",7.9,3.353932440604842,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",61.0,Shin'ichirô Watanabe,"['Tensai Okamura', 'Hiroyuki Okiura', 'Yoshiyuki Takei', 'Beau Billingslea']",42897,2022-04-17 15:07:21.767,2022-04-17 15:07:21.767
625c2d34f0a5bc6c426c0aac,Jûbê ninpûchô,1993,94 min,"Animation, Action, Adventure",7.9,1.9686669820001845,A vagabond swordsman is aided by a beautiful ninja girl and a crafty spy in confronting a demonic clan of killers - with a ghost from his past as their leader - who are bent on overthrowing the Tokugawa Shogunate.,,Yoshiaki Kawajiri,"['Kôichi Yamadera', 'Emi Shinohara', 'Takeshi Aono', 'Osamu Saka']",34529,2022-04-17 15:07:32.226,2022-04-17 15:07:32.226
625c2d93f0a5bc6c426c0bca,Batman: Mask of the Phantasm,1993,76 min,"Animation, Action, Crime",7.8,0.16720325517934786,Batman is wrongly implicated in a series of murders of mob bosses actually done by a new vigilante assassin.,,Kevin Altieri,"['Boyd Kirkland', 'Frank Paur', 'Dan Riba', 'Eric Radomski']",43690,2022-04-17 15:09:07.548,2022-04-17 15:09:07.548
625c2dcbf0a5bc6c426c0c68,The Lego Movie,2014,100 min,"Animation, Action, Adventure",7.7,2.984869968454864,"An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",83.0,Christopher Miller,"['Phil Lord', 'Chris Pratt', 'Will Ferrell', 'Elizabeth Banks']",323982,2022-04-17 15:10:03.059,2022-04-17 15:10:03.059
625c2e33f0a5bc6c426c0e38,The Little Mermaid,1989,83 min,"Animation, Family, Fantasy",7.6,3.783456984683742,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,88.0,Ron Clements,"['John Musker', 'Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois']",237696,2022-04-17 15:11:47.627,2022-04-17 15:11:47.627
625c2cd5f0a5bc6c426c09c2,Akira,1988,124 min,"Animation, Action, Sci-Fi",8.0,0.12689751269910343,A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by two teenagers and a group of psychics.,,Katsuhiro Ôtomo,"['Mitsuo Iwata', 'Nozomu Sasaki', 'Mami Koyama', 'Tesshô Genda']",164918,2022-04-17 15:05:57.337,2022-04-17 15:05:57.337
625c2ccff0a5bc6c426c09a2,The Iron Giant,1999,86 min,"Animation, Action, Adventure",8.0,0.5205153277576857,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,85.0,Brad Bird,"['Eli Marienthal', 'Harry Connick Jr.', 'Jennifer Aniston', 'Vin Diesel']",172083,2022-04-17 15:05:51.768,2022-04-17 15:05:51.768
625c2b7bf0a5bc6c426c0708,Kimi no na wa.,2016,106 min,"Animation, Drama, Fantasy",8.4,1.0761842316770842,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",79.0,Makoto Shinkai,"['Ryûnosuke Kamiki', 'Mone Kamishiraishi', 'Ryô Narita', 'Aoi Yûki']",194838,2022-04-17 15:00:11.131,2022-04-17 15:00:11.131
625c2d5cf0a5bc6c426c0b38,Big Hero 6,2014,102 min,"Animation, Action, Adventure",7.8,3.996914129301131,"A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.",74.0,Don Hall,"['Chris Williams', 'Ryan Potter', 'Scott Adsit', 'Jamie Chung']",410983,2022-04-17 15:08:12.970,2022-04-17 15:08:12.970
625c2c02f0a5bc6c426c07ec,Tonari no Totoro,1988,86 min,"Animation, Family, Fantasy",8.2,4.553388014379108,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",86.0,Hayao Miyazaki,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi']",291180,2022-04-17 15:02:26.521,2022-04-17 15:02:26.521
625c2c20f0a5bc6c426c083e,Ôkami kodomo no Ame to Yuki,2012,117 min,"Animation, Drama, Fantasy",8.1,2.503668080502713,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",71.0,Mamoru Hosoda,"['Aoi Miyazaki', 'Takao Osawa', 'Haru Kuroki', 'Yukito Nishii']",38803,2022-04-17 15:02:56.221,2022-04-17 15:02:56.221
625c2cd0f0a5bc6c426c09ac,Kôkaku Kidôtai,1995,83 min,"Animation, Action, Crime",8.0,1.8605605911411094,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,76.0,Mamoru Oshii,"['Atsuko Tanaka', 'Iemasa Kayumi', 'Akio Ôtsuka', 'Kôichi Yamadera']",129231,2022-04-17 15:05:52.821,2022-04-17 15:05:52.821
625c2d89f0a5bc6c426c0b9e,Waking Life,2001,99 min,"Animation, Drama, Fantasy",7.8,4.9524967135366404,A man shuffles through a dream meeting various people and discussing the meanings and purposes of the universe.,83.0,Richard Linklater,"['Ethan Hawke', 'Trevor Jack Brooks', 'Lorelei Linklater', 'Wiley Wiggins']",60684,2022-04-17 15:08:57.262,2022-04-17 15:08:57.262
625c2c48f0a5bc6c426c0884,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,87 min,"Animation, Action, Drama",8.1,3.4756313086775337,Concurrent theatrical ending of the TV series Shin seiki evangerion (1995).,,Hideaki Anno,"['Kazuya Tsurumaki', 'Megumi Ogata', 'Megumi Hayashibara', 'Yûko Miyamura']",38847,2022-04-17 15:03:36.561,2022-04-17 15:03:36.561
625c2d54f0a5bc6c426c0b1c,Kubo and the Two Strings,2016,101 min,"Animation, Action, Adventure",7.8,2.8165950301119547,A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past.,84.0,Travis Knight,"['Charlize Theron', 'Art Parkinson', 'Matthew McConaughey', 'Ralph Fiennes']",118035,2022-04-17 15:08:04.368,2022-04-17 15:08:04.368
625c2b7bf0a5bc6c426c070c,Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure",8.4,0.25935195402954636,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",87.0,Bob Persichetti,"['Peter Ramsey', 'Rodney Rothman', 'Shameik Moore', 'Jake Johnson']",375110,2022-04-17 15:00:11.572,2022-04-17 15:00:11.572
625c2de0f0a5bc6c426c0cd6,"South Park: Bigger, Longer & Uncut",1999,81 min,"Animation, Comedy, Fantasy",7.7,0.9246462565442037,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",73.0,Trey Parker,"['Trey Parker', 'Matt Stone', 'Mary Kay Bergman', 'Isaac Hayes']",192112,2022-04-17 15:10:24.593,2022-04-17 15:10:24.593
625c2bb2f0a5bc6c426c0724,Mononoke-hime,1997,134 min,"Animation, Action, Adventure",8.4,3.151744942173548,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime.",76.0,Hayao Miyazaki,"['Yôji Matsuda', 'Yuriko Ishida', 'Yûko Tanaka', 'Billy Crudup']",343171,2022-04-17 15:01:06.072,2022-04-17 15:01:06.072
625c2d5ff0a5bc6c426c0b46,How to Train Your Dragon 2,2014,102 min,"Animation, Action, Adventure",7.8,1.2286963626279046,"When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.",76.0,Dean DeBlois,"['Jay Baruchel', 'Cate Blanchett', 'Gerard Butler', 'Craig Ferguson']",305611,2022-04-17 15:08:15.208,2022-04-17 15:08:15.208
625c2cccf0a5bc6c426c098c,The Incredibles,2004,115 min,"Animation, Action, Adventure",8.0,2.4609636872733667,"A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.",90.0,Brad Bird,"['Craig T. Nelson', 'Samuel L. Jackson', 'Holly Hunter', 'Jason Lee']",657047,2022-04-17 15:05:48.789,2022-04-17 15:05:48.789
