_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2bf0f0a5bc6c426c07be,The Wolf of Wall Street,2013,180 min,"Biography, Crime, Drama",8.2,3.7408662442265115,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",75.0,Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie', 'Matthew McConaughey']",1187498,2022-04-17 15:02:08.465,2022-04-17 15:02:08.465
625c2ce3f0a5bc6c426c09e8,Butch Cassidy and the Sundance Kid,1969,110 min,"Biography, Crime, Drama",8.0,2.699302871540775,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",66.0,George Roy Hill,"['Paul Newman', 'Robert Redford', 'Katharine Ross', 'Strother Martin']",201888,2022-04-17 15:06:11.355,2022-04-17 15:06:11.355
625c2dfaf0a5bc6c426c0d3a,Serpico,1973,130 min,"Biography, Crime, Drama",7.7,1.064349282245547,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,87.0,Sidney Lumet,"['Al Pacino', 'John Randolph', 'Jack Kehoe', 'Biff McGuire']",109941,2022-04-17 15:10:50.613,2022-04-17 15:10:50.613
625c2d77f0a5bc6c426c0b74,American Gangster,2007,157 min,"Biography, Crime, Drama",7.8,1.1277604495050264,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",76.0,Ridley Scott,"['Denzel Washington', 'Russell Crowe', 'Chiwetel Ejiofor', 'Josh Brolin']",392449,2022-04-17 15:08:39.184,2022-04-17 15:08:39.184
625c2b57f0a5bc6c426c06b6,Goodfellas,1990,146 min,"Biography, Crime, Drama",8.7,0.9320208590213308,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",90.0,Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']",1020727,2022-04-17 14:59:35.256,2022-04-17 14:59:35.256
625c2cdff0a5bc6c426c09d8,Dog Day Afternoon,1975,125 min,"Biography, Crime, Drama",8.0,0.0152864562452526,"Three amateur bank robbers plan to hold up a bank. A nice simple robbery: Walk in, take the money, and run. Unfortunately, the supposedly uncomplicated heist suddenly becomes a bizarre nightmare as everything that could go wrong does.",86.0,Sidney Lumet,"['Al Pacino', 'John Cazale', 'Penelope Allen', 'Sully Boyar']",235652,2022-04-17 15:06:07.690,2022-04-17 15:06:07.690
625c2c2cf0a5bc6c426c084c,Spotlight,2015,129 min,"Biography, Crime, Drama",8.1,3.2704524436781335,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",93.0,Tom McCarthy,"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']",420316,2022-04-17 15:03:08.199,2022-04-17 15:03:08.199
625c2e37f0a5bc6c426c0e4e,Midnight Express,1978,121 min,"Biography, Crime, Drama",7.6,2.508495387332138,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",59.0,Alan Parker,"['Brad Davis', 'Irene Miracle', 'Bo Hopkins', 'Paolo Bonacelli']",73662,2022-04-17 15:11:51.736,2022-04-17 15:11:51.736
625c2d10f0a5bc6c426c0a60,The Irishman,2019,209 min,"Biography, Crime, Drama",7.9,1.376115076036012,"An old man recalls his time painting houses for his friend, Jimmy Hoffa, through the 1950-70s.",94.0,Martin Scorsese,"['Robert De Niro', 'Al Pacino', 'Joe Pesci', 'Harvey Keitel']",324720,2022-04-17 15:06:56.689,2022-04-17 15:06:56.689
625c2c74f0a5bc6c426c0900,White Heat,1949,114 min,"Action, Crime, Drama",8.1,0.7181003180845069,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,,Raoul Walsh,"['James Cagney', 'Virginia Mayo', ""Edmond O'Brien"", 'Margaret Wycherly']",29807,2022-04-17 15:04:20.429,2022-04-17 15:04:20.429
625c2c53f0a5bc6c426c08a6,In the Name of the Father,1993,133 min,"Biography, Crime, Drama",8.1,2.3257092398550547,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,84.0,Jim Sheridan,"['Daniel Day-Lewis', 'Pete Postlethwaite', 'Alison Crosbie', 'Philip King']",156842,2022-04-17 15:03:47.946,2022-04-17 15:03:47.946
625c2ce2f0a5bc6c426c09dc,Papillon,1973,151 min,"Biography, Crime, Drama",8.0,4.79559527106749,"A man befriends a fellow criminal as the two of them begin serving their sentence on a dreadful prison island, which inspires the man to plot his escape.",58.0,Franklin J. Schaffner,"['Steve McQueen', 'Dustin Hoffman', 'Victor Jory', 'Don Gordon']",121627,2022-04-17 15:06:10.018,2022-04-17 15:06:10.018
625c2e07f0a5bc6c426c0d72,Dark Waters,2019,126 min,"Biography, Drama, History",7.6,4.596929284715828,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,73.0,Todd Haynes,"['Mark Ruffalo', 'Anne Hathaway', 'Tim Robbins', 'Bill Pullman']",60408,2022-04-17 15:11:03.360,2022-04-17 15:11:03.360
625c2bf4f0a5bc6c426c07ca,Rang De Basanti,2006,167 min,"Comedy, Crime, Drama",8.2,3.0051668426589027,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",,Rakeysh Omprakash Mehra,"['Aamir Khan', 'Soha Ali Khan', 'Siddharth', 'Sharman Joshi']",111937,2022-04-17 15:02:12.934,2022-04-17 15:02:12.934
625c2db2f0a5bc6c426c0c24,Key Largo,1948,100 min,"Action, Crime, Drama",7.8,0.7806542295300312,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",,John Huston,"['Humphrey Bogart', 'Edward G. Robinson', 'Lauren Bacall', 'Lionel Barrymore']",36995,2022-04-17 15:09:38.400,2022-04-17 15:09:38.400
625c2dd1f0a5bc6c426c0c86,Changeling,2008,141 min,"Biography, Crime, Drama",7.7,4.032166413721093,Grief-stricken mother Christine Collins (Angelina Jolie) takes on the L.A.P.D. to her own detriment when it tries to pass off an obvious impostor as her missing child.,63.0,Clint Eastwood,"['Angelina Jolie', 'Colm Feore', 'Amy Ryan', 'Gattlin Griffith']",239203,2022-04-17 15:10:09.881,2022-04-17 15:10:09.881
625c2d61f0a5bc6c426c0b54,Straight Outta Compton,2015,147 min,"Biography, Drama, History",7.8,3.9561889449815366,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",72.0,F. Gary Gray,"[""O'Shea Jackson Jr."", 'Corey Hawkins', 'Jason Mitchell', 'Neil Brown Jr.']",179264,2022-04-17 15:08:17.891,2022-04-17 15:08:17.891
625c2ccef0a5bc6c426c099a,The Straight Story,1999,112 min,"Biography, Drama",8.0,1.6968238998981777,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,86.0,David Lynch,"['Richard Farnsworth', 'Sissy Spacek', 'Jane Galloway Heitz', 'Joseph A. Carpenter']",82002,2022-04-17 15:05:50.833,2022-04-17 15:05:50.833
625c2cc2f0a5bc6c426c0966,Dallas Buyers Club,2013,117 min,"Biography, Drama",8.0,1.6002576709964955,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",80.0,Jean-Marc Vallée,"['Matthew McConaughey', 'Jennifer Garner', 'Jared Leto', 'Steve Zahn']",441614,2022-04-17 15:05:38.380,2022-04-17 15:05:38.380
625c2e23f0a5bc6c426c0dc4,Eastern Promises,2007,100 min,"Action, Crime, Drama",7.6,3.128470768038756,A teenager who dies during childbirth leaves clues in her journal that could tie her child to a rape involving a violent Russian mob family.,82.0,David Cronenberg,"['Naomi Watts', 'Viggo Mortensen', 'Armin Mueller-Stahl', 'Josef Altin']",227760,2022-04-17 15:11:31.214,2022-04-17 15:11:31.214
