_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2b66f0a5bc6c426c06d8,It's a Wonderful Life,1946,130 min,"Drama, Family, Fantasy",8.6,1.6404428795773984,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,89.0,Frank Capra,"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']",405801,2022-04-17 14:59:50.380,2022-04-17 14:59:50.380
625c2e33f0a5bc6c426c0e38,The Little Mermaid,1989,83 min,"Animation, Family, Fantasy",7.6,3.783456984683742,A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.,88.0,Ron Clements,"['John Musker', 'Jodi Benson', 'Samuel E. Wright', 'Rene Auberjonois']",237696,2022-04-17 15:11:47.627,2022-04-17 15:11:47.627
625c2d7df0a5bc6c426c0b78,Mr. Nobody,2009,141 min,"Drama, Fantasy, Romance",7.8,2.489776081254292,"A boy stands on a station platform as a train is about to leave. Should he go with his mother or stay with his father? Infinite possibilities arise from this decision. As long as he doesn't choose, anything is possible.",63.0,Jaco Van Dormael,"['Jared Leto', 'Sarah Polley', 'Diane Kruger', 'Linh Dan Pham']",216421,2022-04-17 15:08:45.287,2022-04-17 15:08:45.287
625c2cd7f0a5bc6c426c09c4,The Princess Bride,1987,98 min,"Adventure, Family, Fantasy",8.0,4.609968932014846,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",77.0,Rob Reiner,"['Cary Elwes', 'Mandy Patinkin', 'Robin Wright', 'Chris Sarandon']",393899,2022-04-17 15:05:59.156,2022-04-17 15:05:59.156
625c2cd7f0a5bc6c426c09c6,Der Himmel über Berlin,1987,128 min,"Drama, Fantasy, Romance",8.0,2.9996835652463183,An angel tires of overseeing human activity and wishes to become human when he falls in love with a mortal.,79.0,Wim Wenders,"['Bruno Ganz', 'Solveig Dommartin', 'Otto Sander', 'Curt Bois']",64722,2022-04-17 15:05:59.361,2022-04-17 15:05:59.361
625c2c02f0a5bc6c426c07ec,Tonari no Totoro,1988,86 min,"Animation, Family, Fantasy",8.2,4.553388014379108,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",86.0,Hayao Miyazaki,"['Hitoshi Takagi', 'Noriko Hidaka', 'Chika Sakamoto', 'Shigesato Itoi']",291180,2022-04-17 15:02:26.521,2022-04-17 15:02:26.521
625c2d1ef0a5bc6c426c0a76,The Man from Earth,2007,87 min,"Drama, Fantasy, Mystery",7.9,0.40599835566297426,An impromptu goodbye party for Professor John Oldman becomes a mysterious interrogation after the retiring scholar reveals to his colleagues he has a longer and stranger past than they can imagine.,,Richard Schenkman,"['David Lee Smith', 'Tony Todd', 'John Billingsley', 'Ellen Crawford']",174125,2022-04-17 15:07:10.943,2022-04-17 15:07:10.943
625c2ddaf0a5bc6c426c0cb2,Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",7.7,0.5576747502305979,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",81.0,Mike Newell,"['Daniel Radcliffe', 'Emma Watson', 'Rupert Grint', 'Eric Sykes']",548619,2022-04-17 15:10:18.979,2022-04-17 15:10:18.979
625c2c57f0a5bc6c426c08b8,Pink Floyd: The Wall,1982,95 min,"Drama, Fantasy, Music",8.1,4.495346475356038,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,47.0,Alan Parker,"['Bob Geldof', 'Christine Hargreaves', 'James Laurenson', 'Eleanor David']",76081,2022-04-17 15:03:51.343,2022-04-17 15:03:51.343
625c2d34f0a5bc6c426c0ab0,Edward Scissorhands,1990,105 min,"Drama, Fantasy, Romance",7.9,3.2343459156941936,"An artificial man, who was incompletely constructed and has scissors for hands, leads a solitary life. Then one day, a suburban lady meets him and introduces him to her world.",74.0,Tim Burton,"['Johnny Depp', 'Winona Ryder', 'Dianne Wiest', 'Anthony Michael Hall']",447368,2022-04-17 15:07:32.614,2022-04-17 15:07:32.614
