_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2c29f0a5bc6c426c084a,Ford v Ferrari,2019,152 min,"Action, Biography, Drama",8.1,1.9409899059711255,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,81.0,James Mangold,"['Matt Damon', 'Christian Bale', 'Jon Bernthal', 'Caitriona Balfe']",291289,2022-04-17 15:03:05.128,2022-04-17 15:03:05.128
625c2cb9f0a5bc6c426c0956,Yip Man,2008,106 min,"Action, Biography, Drama",8.0,1.3439128442498882,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",59.0,Wilson Yip,"['Donnie Yen', 'Simon Yam', 'Siu-Wong Fan', 'Ka Tung Lam']",211427,2022-04-17 15:05:29.603,2022-04-17 15:05:29.603
625c2e24f0a5bc6c426c0dd0,Huo Yuan Jia,2006,104 min,"Action, Biography, Drama",7.6,0.20375091104472554,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",70.0,Ronny Yu,"['Jet Li', 'Li Sun', 'Yong Dong', 'Yun Qu']",72863,2022-04-17 15:11:32.543,2022-04-17 15:11:32.543
625c2b7bf0a5bc6c426c070a,Dangal,2016,161 min,"Action, Biography, Drama",8.4,0.5855129463407616,Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.,,Nitesh Tiwari,"['Aamir Khan', 'Sakshi Tanwar', 'Fatima Sana Shaikh', 'Sanya Malhotra']",156479,2022-04-17 15:00:11.349,2022-04-17 15:00:11.349
625c2d90f0a5bc6c426c0bbe,Tombstone,1993,130 min,"Action, Biography, Drama",7.8,0.15030896987843212,"A successful lawman's plans to retire anonymously in Tombstone, Arizona are disrupted by the kind of outlaws he was famous for eliminating.",50.0,George P. Cosmatos,"['Kevin Jarre', 'Kurt Russell', 'Val Kilmer', 'Sam Elliott']",126871,2022-04-17 15:09:04.158,2022-04-17 15:09:04.158
625c2c28f0a5bc6c426c0848,Rush,2013,123 min,"Action, Biography, Drama",8.1,3.324795556198634,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,74.0,Ron Howard,"['Daniel Brühl', 'Chris Hemsworth', 'Olivia Wilde', 'Alexandra Maria Lara']",432811,2022-04-17 15:03:04.312,2022-04-17 15:03:04.312
625c2d92f0a5bc6c426c0bc6,The Fugitive,1993,130 min,"Action, Crime, Drama",7.8,4.058623089063243,"Dr. Richard Kimble, unjustly accused of murdering his wife, must find the real killer while being the target of a nationwide manhunt led by a seasoned U.S. Marshal.",87.0,Andrew Davis,"['Harrison Ford', 'Tommy Lee Jones', 'Sela Ward', 'Julianne Moore']",267684,2022-04-17 15:09:06.523,2022-04-17 15:09:06.523
625c2dfbf0a5bc6c426c0d40,The French Connection,1971,104 min,"Action, Crime, Drama",7.7,2.245755905528295,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,94.0,William Friedkin,"['Gene Hackman', 'Roy Scheider', 'Fernando Rey', 'Tony Lo Bianco']",110075,2022-04-17 15:10:51.801,2022-04-17 15:10:51.801
625c2dedf0a5bc6c426c0d02,The Last of the Mohicans,1992,112 min,"Action, Adventure, Drama",7.7,1.667639548980523,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,76.0,Michael Mann,"['Daniel Day-Lewis', 'Madeleine Stowe', 'Russell Means', 'Eric Schweig']",150409,2022-04-17 15:10:37.840,2022-04-17 15:10:37.840
625c2cb6f0a5bc6c426c0946,The Revenant,2015,156 min,"Action, Adventure, Drama",8.0,1.0066501383954096,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,76.0,Alejandro G. Iñárritu,"['Leonardo DiCaprio', 'Tom Hardy', 'Will Poulter', 'Domhnall Gleeson']",705589,2022-04-17 15:05:26.747,2022-04-17 15:05:26.747
625c2b48f0a5bc6c426c069c,The Dark Knight,2008,152 min,"Action, Crime, Drama",9.0,1.169399698222372,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",84.0,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",2303232,2022-04-17 14:59:20.618,2022-04-17 14:59:20.618
625c2ddcf0a5bc6c426c0cb8,The Last Samurai,2003,154 min,"Action, Drama",7.7,0.22702538624516655,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,55.0,Edward Zwick,"['Tom Cruise', 'Ken Watanabe', 'Billy Connolly', 'William Atherton']",400049,2022-04-17 15:10:20.083,2022-04-17 15:10:20.083
625c2b55f0a5bc6c426c06b2,The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",8.7,4.581141589278673,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",87.0,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']",1485555,2022-04-17 14:59:33.779,2022-04-17 14:59:33.779
625c2bdef0a5bc6c426c079a,Uri: The Surgical Strike,2018,138 min,"Action, Drama, War",8.2,1.945032388442085,"Indian army special forces execute a covert operation, avenging the killing of fellow army men at their base by a terrorist group.",,Aditya Dhar,"['Vicky Kaushal', 'Paresh Rawal', 'Mohit Raina', 'Yami Gautam']",43444,2022-04-17 15:01:50.445,2022-04-17 15:01:50.445
625c2b51f0a5bc6c426c06ac,The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",8.8,2.4774114995908123,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,92.0,Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']",1661481,2022-04-17 14:59:29.234,2022-04-17 14:59:29.234
625c2cecf0a5bc6c426c0a00,Rio Bravo,1959,141 min,"Action, Drama, Western",8.0,3.646574887681707,"A small-town sheriff in the American West enlists the help of a cripple, a drunk, and a young gunfighter in his efforts to hold in jail the brother of the local bad guy.",93.0,Howard Hawks,"['John Wayne', 'Dean Martin', 'Ricky Nelson', 'Angie Dickinson']",56305,2022-04-17 15:06:20.013,2022-04-17 15:06:20.013
625c2dd6f0a5bc6c426c0c98,Lucky Number Slevin,2006,110 min,"Action, Crime, Drama",7.7,0.6850494718156053,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",53.0,Paul McGuigan,"['Josh Hartnett', 'Ben Kingsley', 'Morgan Freeman', 'Lucy Liu']",299524,2022-04-17 15:10:14.074,2022-04-17 15:10:14.074
625c2db1f0a5bc6c426c0c1a,The Longest Day,1962,178 min,"Action, Drama, History",7.8,0.8609656713968294,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",75.0,Ken Annakin,"['Andrew Marton', 'Gerd Oswald', 'Bernhard Wicki', 'Darryl F. Zanuck']",52141,2022-04-17 15:09:37.382,2022-04-17 15:09:37.382
