_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2dbcf0a5bc6c426c0c40,Get Out,2017,104 min,"Horror, Mystery, Thriller",7.7,4.519528641434178,"A young African-American visits his white girlfriend's parents for the weekend, where his simmering uneasiness about their reception of him eventually reaches a boiling point.",85.0,Jordan Peele,"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford', 'Catherine Keener']",492851,2022-04-17 15:09:48.199,2022-04-17 15:09:48.199
625c2ddaf0a5bc6c426c0caa,The Bourne Supremacy,2004,108 min,"Action, Mystery, Thriller",7.7,0.9087410608416424,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",73.0,Paul Greengrass,"['Matt Damon', 'Franka Potente', 'Joan Allen', 'Brian Cox']",434841,2022-04-17 15:10:18.195,2022-04-17 15:10:18.195
625c2b6ef0a5bc6c426c06ea,The Usual Suspects,1995,106 min,"Crime, Mystery, Thriller",8.5,0.5506738739146932,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",77.0,Bryan Singer,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']",991208,2022-04-17 14:59:58.362,2022-04-17 14:59:58.362
625c2da4f0a5bc6c426c0c02,The Conversation,1974,113 min,"Drama, Mystery, Thriller",7.8,1.7054814445563382,"A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",85.0,Francis Ford Coppola,"['Gene Hackman', 'John Cazale', 'Allen Garfield', 'Frederic Forrest']",98611,2022-04-17 15:09:24.759,2022-04-17 15:09:24.759
625c2b73f0a5bc6c426c06fa,Psycho,1960,109 min,"Horror, Mystery, Thriller",8.5,3.077473193408405,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",97.0,Alfred Hitchcock,"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']",604211,2022-04-17 15:00:03.375,2022-04-17 15:00:03.375
625c2cc2f0a5bc6c426c096c,The Bourne Ultimatum,2007,115 min,"Action, Mystery, Thriller",8.0,4.986239548051403,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,85.0,Paul Greengrass,"['Matt Damon', 'Edgar Ramírez', 'Joan Allen', 'Julia Stiles']",604694,2022-04-17 15:05:38.941,2022-04-17 15:05:38.941
625c2c57f0a5bc6c426c08b6,The Thing,1982,109 min,"Horror, Mystery, Sci-Fi",8.1,1.4454344869499203,A research team in Antarctica is hunted by a shape-shifting alien that assumes the appearance of its victims.,57.0,John Carpenter,"['Kurt Russell', 'Wilford Brimley', 'Keith David', 'Richard Masur']",371271,2022-04-17 15:03:51.130,2022-04-17 15:03:51.130
625c2c49f0a5bc6c426c0888,The Sixth Sense,1999,107 min,"Drama, Mystery, Thriller",8.1,0.29274374703442185,A boy who communicates with spirits seeks the help of a disheartened child psychologist.,64.0,M. Night Shyamalan,"['Bruce Willis', 'Haley Joel Osment', 'Toni Collette', 'Olivia Williams']",911573,2022-04-17 15:03:37.072,2022-04-17 15:03:37.072
625c2db1f0a5bc6c426c0c1e,The Innocents,1961,100 min,Horror,7.8,3.3458485765402757,A young governess for two children becomes convinced that the house and grounds are haunted.,88.0,Jack Clayton,"['Deborah Kerr', 'Peter Wyngarde', 'Megs Jenkins', 'Michael Redgrave']",27007,2022-04-17 15:09:37.786,2022-04-17 15:09:37.786
625c2bb1f0a5bc6c426c071e,The Lives of Others,2006,137 min,"Drama, Mystery, Thriller",8.4,4.854147988341575,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",89.0,Florian Henckel von Donnersmarck,"['Ulrich Mühe', 'Martina Gedeck', 'Sebastian Koch', 'Ulrich Tukur']",358685,2022-04-17 15:01:05.425,2022-04-17 15:01:05.425
