_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2cc6f0a5bc6c426c0978,Casino Royale,2006,144 min,"Action, Adventure, Thriller",8.0,3.7507263564760818,"After earning 00 status and a licence to kill, Secret Agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",80.0,Martin Campbell,"['Daniel Craig', 'Eva Green', 'Judi Dench', 'Jeffrey Wright']",582239,2022-04-17 15:05:42.357,2022-04-17 15:05:42.357
625c2dbdf0a5bc6c426c0c42,Mission: Impossible - Fallout,2018,147 min,"Action, Adventure, Thriller",7.7,4.398169750263086,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",86.0,Christopher McQuarrie,"['Tom Cruise', 'Henry Cavill', 'Ving Rhames', 'Simon Pegg']",291257,2022-04-17 15:09:49.041,2022-04-17 15:09:49.041
625c2dfff0a5bc6c426c0d52,Goldfinger,1964,110 min,"Action, Adventure, Thriller",7.7,2.5845055640517955,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.",87.0,Guy Hamilton,"['Sean Connery', 'Gert Fröbe', 'Honor Blackman', 'Shirley Eaton']",174119,2022-04-17 15:10:55.765,2022-04-17 15:10:55.765
625c2c02f0a5bc6c426c07ee,Die Hard,1988,132 min,"Action, Thriller",8.2,3.02654634639096,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,72.0,John McTiernan,"['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson']",793164,2022-04-17 15:02:26.733,2022-04-17 15:02:26.733
625c2dcdf0a5bc6c426c0c76,Skyfall,2012,143 min,"Action, Adventure, Thriller",7.7,3.608847537813775,"James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",81.0,Sam Mendes,"['Daniel Craig', 'Javier Bardem', 'Naomie Harris', 'Judi Dench']",630614,2022-04-17 15:10:05.010,2022-04-17 15:10:05.010
625c2d57f0a5bc6c426c0b26,Captain America: Civil War,2016,147 min,"Action, Adventure, Sci-Fi",7.8,0.21920675345824314,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,75.0,Anthony Russo,"['Joe Russo', 'Chris Evans', 'Robert Downey Jr.', 'Scarlett Johansson']",663649,2022-04-17 15:08:07.418,2022-04-17 15:08:07.418
625c2dc8f0a5bc6c426c0c5a,Captain America: The Winter Soldier,2014,136 min,"Action, Adventure, Sci-Fi",7.7,2.0318290997880184,"As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.",70.0,Anthony Russo,"['Joe Russo', 'Chris Evans', 'Samuel L. Jackson', 'Scarlett Johansson']",736182,2022-04-17 15:10:00.342,2022-04-17 15:10:00.342
625c2df5f0a5bc6c426c0d26,Star Trek II: The Wrath of Khan,1982,113 min,"Action, Adventure, Sci-Fi",7.7,0.5026481135816119,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.",67.0,Nicholas Meyer,"['William Shatner', 'Leonard Nimoy', 'DeForest Kelley', 'James Doohan']",112704,2022-04-17 15:10:45.133,2022-04-17 15:10:45.133
625c2b59f0a5bc6c426c06b8,Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy",8.7,4.803374457188991,"After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader and a bounty hunter named Boba Fett all over the galaxy.",82.0,Irvin Kershner,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",1159315,2022-04-17 14:59:37.063,2022-04-17 14:59:37.063
625c2bcbf0a5bc6c426c0772,Star Wars: Episode VI - Return of the Jedi,1983,131 min,"Action, Adventure, Fantasy",8.3,2.875737100533411,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",58.0,Richard Marquand,"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']",950470,2022-04-17 15:01:31.739,2022-04-17 15:01:31.739
