_id,title,release,duration,gerne,IMDB_Rating,rating,overview,metaScore,director,stars,noOfVotes,createdAt,updatedAt
625c2dfaf0a5bc6c426c0d34,Love and Death,1975,85 min,"Comedy, War",7.7,3.5339738280594037,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",89.0,Woody Allen,"['Woody Allen', 'Diane Keaton', 'Georges Adet', 'Frank Adu']",36037,2022-04-17 15:10:50.075,2022-04-17 15:10:50.075
625c2cf0f0a5bc6c426c0a1a,Kind Hearts and Coronets,1949,106 min,"Comedy, Crime",8.0,0.3183557833483963,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,,Robert Hamer,"['Dennis Price', 'Alec Guinness', 'Valerie Hobson', 'Joan Greenwood']",34485,2022-04-17 15:06:24.624,2022-04-17 15:06:24.624
625c2cd0f0a5bc6c426c09a8,Secrets & Lies,1996,136 min,"Comedy, Drama",8.0,0.0995103028620925,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",91.0,Mike Leigh,"['Timothy Spall', 'Brenda Blethyn', 'Phyllis Logan', 'Claire Rushbrook']",37564,2022-04-17 15:05:52.396,2022-04-17 15:05:52.396
625c2bb6f0a5bc6c426c0734,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,Comedy,8.4,4.762989367719896,An insane general triggers a path to nuclear holocaust that a War Room full of politicians and generals frantically tries to stop.,97.0,Stanley Kubrick,"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']",450474,2022-04-17 15:01:10.011,2022-04-17 15:01:10.011
625c2c5bf0a5bc6c426c08c2,Life of Brian,1979,94 min,Comedy,8.1,1.1085439458516022,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",77.0,Terry Jones,"['Graham Chapman', 'John Cleese', 'Michael Palin', 'Terry Gilliam']",367250,2022-04-17 15:03:55.545,2022-04-17 15:03:55.545
625c2e35f0a5bc6c426c0e3c,"Planes, Trains & Automobiles",1987,93 min,"Comedy, Drama",7.6,1.5886605681607313,A man must struggle to travel home for Thanksgiving with a lovable oaf of a shower curtain ring salesman as his only companion.,72.0,John Hughes,"['Steve Martin', 'John Candy', 'Laila Robins', 'Michael McKean']",124773,2022-04-17 15:11:49.096,2022-04-17 15:11:49.096
625c2cf1f0a5bc6c426c0a26,Arsenic and Old Lace,1942,118 min,"Comedy, Crime, Thriller",8.0,4.749346992956993,A writer of books on the futility of marriage risks his reputation when he decides to get married. Things get even more complicated when he learns on his wedding day that his beloved maiden aunts are habitual murderers.,,Frank Capra,"['Cary Grant', 'Priscilla Lane', 'Raymond Massey', 'Jack Carson']",65101,2022-04-17 15:06:25.791,2022-04-17 15:06:25.791
625c2df0f0a5bc6c426c0d14,Withnail & I,1987,107 min,"Comedy, Drama",7.7,1.92257452757706,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.",84.0,Bruce Robinson,"['Richard E. Grant', 'Paul McGann', 'Richard Griffiths', 'Ralph Brown']",40396,2022-04-17 15:10:40.872,2022-04-17 15:10:40.872
625c2c7af0a5bc6c426c0910,It Happened One Night,1934,105 min,"Comedy, Romance",8.1,1.9634954192362764,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",87.0,Frank Capra,"['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",94016,2022-04-17 15:04:26.626,2022-04-17 15:04:26.626
625c2cf0f0a5bc6c426c0a14,Roman Holiday,1953,118 min,"Comedy, Romance",8.0,3.857188631338065,A bored and sheltered princess escapes her guardians and falls in love with an American newsman in Rome.,78.0,William Wyler,"['Gregory Peck', 'Audrey Hepburn', 'Eddie Albert', 'Hartley Power']",127256,2022-04-17 15:06:24.047,2022-04-17 15:06:24.047
